ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,theta_rake,psi_dip,beta_crossing
1,-118.50202374940392,34.2863413839527,-118.5020270016175,34.285650825882165,-118.5020253755,34.2859961049,0.076787,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,1,,38.4,-118.5020253755,34.28599610490001,0.25,45,45,90
2,-118.5020270016175,34.285650825882165,-118.50203025383112,34.28496026781163,-118.5020286277,34.2853055468,0.076787,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,2,,115.2,-118.50202862770001,34.2853055468,0.25,45,45,90
3,-118.50203025383112,34.28496026781163,-118.5020335060447,34.28426970974109,-118.5020318799,34.2846149888,0.076787,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,3,,192.0,-118.50203187989999,34.2846149888,0.25,45,45,90
4,-118.5020335060447,34.28426970974109,-118.5020335060447,34.28381353056396,-118.502033506,34.2840416202,0.050725,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,4,,255.7,-118.502033506,34.2840416202,0.25,45,45,90
5,-118.5020335060447,34.28381353056396,-118.5020335060447,34.28335735138684,-118.502033506,34.283585441,0.050725,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,5,,273.9,-118.502033506,34.283585441,0.25,45,45,90
6,-118.5020335060447,34.28335735138684,-118.50214678685631,34.283204052668616,-118.5020901465,34.283280702,0.019972,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,6,,238.6,-118.5020901465,34.283280702,0.25,45,45,90
7,-118.50214678685631,34.283204052668616,-118.50215082752726,34.282518775090104,-118.5021488072,34.2828614139,0.0762,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,7,,190.5,-118.5021488072,34.2828614139,0.25,45,45,90
8,-118.50215082752726,34.282518775090104,-118.5021548681982,34.28183349751159,-118.5021528479,34.2821761363,0.0762,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,8,,114.3,-118.50215284790002,34.2821761363,0.25,45,45,90
9,-118.5021548681982,34.28183349751159,-118.50215890886912,34.28114821993308,-118.5021568885,34.2814908587,0.0762,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,9,,38.1,-118.5021568885,34.28149085869999,0.25,45,45,90
10,-118.50215890886912,34.28114821993308,-118.502819355596,34.28115100946724,-118.5024891322,34.2811496147,0.060682,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,10,,30.3,-118.50248913219998,34.2811496147,0.25,45,45,90
