ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID
22,-118.50197536926548,34.283914097826724,-118.50198633840532,34.28310883988562,-118.5019808538,34.2835114689,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,4
23,-118.50198633840532,34.28310883988562,-118.50206997547808,34.282929638723424,-118.5020281569,34.2830192393,0.021357,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,5
24,-118.50206997547808,34.282929638723424,-118.50207214723761,34.28213439633941,-118.5020710614,34.2825320175,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,6
25,-118.50207214723761,34.28213439633941,-118.50207431899716,34.2813391539554,-118.5020732331,34.2817367751,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,7
26,-118.50207431899716,34.2813391539554,-118.5020764907567,34.280543911571385,-118.5020754049,34.2809415328,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,8
27,-118.5020764907567,34.280543911571385,-118.50207866251624,34.27974866918737,-118.5020775766,34.2801462904,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,9
28,-118.50207866251624,34.27974866918737,-118.50208083427577,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10
29,-118.50208083427577,34.27895342680336,-118.50208300603532,34.27815818441935,-118.5020819202,34.2785558056,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,11
30,-118.50214856234126,34.28635373468247,-118.5021557256807,34.28553207065808,-118.502152144,34.2859429027,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,1
31,-118.5021557256807,34.28553207065808,-118.50216288902014,34.284710406633685,-118.5021593074,34.2851212386,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,2
32,-118.50216288902014,34.284710406633685,-118.50217005235957,34.28388874260929,-118.5021664707,34.2842995746,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,3
33,-118.50217005235957,34.28388874260929,-118.50217721569902,34.2830670785849,-118.502173634,34.2834779106,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,4
34,-118.50217721569902,34.2830670785849,-118.50218437903845,34.282245414560506,-118.5021807974,34.2826562466,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,5
35,-118.50218437903845,34.282245414560506,-118.50219154237789,34.281423750536106,-118.5021879607,34.2818345825,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,6
36,-118.50219154237789,34.281423750536106,-118.50219870571733,34.28060208651171,-118.502195124,34.2810129185,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,7
