,5th_elbow,16th_elbow,50th_elbow,84th_elbow,95th_elbow,mean_elbow,elbow_worst_case_joint,5th_tee,16th_tee,50th_tee,84th_tee,95th_tee,mean_tee,tee_worst_case_joint
component_1,0.0,0.0,2.981e-07,1.351e-06,1.555e-06,8.588e-07,jointA,0.0,0.0,3.722e-06,1.996e-05,2.216e-05,1.284e-05,jointA
component_2,0.0,0.0,3.633e-09,2.327e-08,3.352e-08,1.64e-08,jointA,0.0,0.0,1.726e-07,1.431e-06,2.088e-06,1.124e-06,jointA
