,5th_moment_ratio,16th_moment_ratio,50th_moment_ratio,84th_moment_ratio,95th_moment_ratio,mean_moment_ratio
component_1,0.0,3.616e-05,0.0003049,0.001577,0.003261,0.0008317
component_2,0.0,7.436e-06,0.0002716,0.003415,0.008296,0.001779
