,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_165264,0.0,0.0,1.099e-05,5.6475e-05,9.4325e-05,4.71e-05
segment_165265,0.0,0.0,5.0925e-06,2.5725e-05,4.255e-05,2.1495e-05
segment_165266,0.0,0.0,0.00010055,0.00042725,0.001775,0.0005535
segment_165267,0.0,0.0,7.06e-06,3.81e-05,6.48e-05,3.185e-05
segment_165268,0.0,0.0,2.13475e-05,0.000112225,0.000174,9.355e-05
segment_165269,0.0,0.0,4.385e-06,2.237e-05,3.7825e-05,1.88375e-05
segment_165270,0.0,0.0,9.4075e-06,4.7425e-05,7.9525e-05,3.9725e-05
segment_165271,0.0,0.0,4.885e-06,2.4745e-05,4.185e-05,2.08675e-05
segment_165272,0.0,0.0,2.12e-05,0.00011545,0.00017655,0.00010105
segment_165273,0.0,0.0,1.66325e-05,8.4125e-05,0.000136775,7.095e-05
segment_165274,0.0,0.0,1.10775e-05,5.1925e-05,8.7125e-05,4.375e-05
segment_165275,0.0,0.0,6.265e-06,3.5375e-05,4.1925e-05,2.4405e-05
segment_165276,0.0,0.0,9.49e-06,4.87e-05,5.64e-05,3.405e-05
segment_165277,0.0,0.0,9.0325e-06,5.3225e-05,6.33e-05,3.725e-05
segment_165278,0.0,0.0,9.255e-06,5.58e-05,6.585e-05,3.8875e-05
segment_165279,0.0,0.0,0.0,0.0,0.0,0.0
segment_165280,0.0,0.0,0.0,0.0,0.0,0.0
segment_165281,0.0,0.0,0.0,0.0,0.0,0.0
segment_165282,0.0,0.0,0.0,0.0,0.0,0.0
segment_165283,0.0,0.0,0.0,0.0,0.0,0.0
segment_165284,0.0,0.0,0.0,0.0,0.0,0.0
segment_165285,0.0,0.0,0.0,0.0,0.0,0.0
segment_165286,0.0,0.0,7.395e-06,4.105e-05,4.895e-05,2.85e-05
segment_165287,0.0,0.0,5.6275e-06,3.455e-05,4.1225e-05,2.392e-05
segment_165288,0.0,0.0,0.0,0.0,0.0,0.0
segment_165289,0.0,0.0,0.0,0.0,0.0,0.0
segment_165290,0.0,0.0,0.0,0.0,0.0,0.0
segment_165291,0.0,0.0,0.0,0.0,0.0,0.0
segment_165292,0.0,0.0,0.0,0.0,0.0,0.0
segment_165293,0.0,0.0,0.0,0.0,0.0,0.0
segment_165294,0.0,0.0,0.0,0.0,0.0,0.0
segment_165295,0.0,0.0,0.0,0.0,0.0,0.0
segment_165296,0.0,0.0,0.0,0.0,0.0,0.0
segment_165297,0.0,0.0,0.0,0.0,0.0,0.0
segment_165298,0.0,0.0,0.0,0.0,0.0,0.0
segment_165299,0.0,0.0,0.0,0.0,0.0,0.0
segment_165300,0.0,0.0,0.0,0.0,0.0,0.0
segment_165301,0.0,0.0,0.0,0.0,0.0,0.0
segment_165302,0.0,0.0,0.0,0.0,0.0,0.0
segment_165303,0.0,0.0,0.0,0.0,0.0,0.0
segment_165304,0.0,0.0,0.0,0.0,0.0,0.0
segment_165305,0.0,0.0,0.0,0.0,0.0,0.0
segment_165306,0.0,0.0,7.1875e-06,4.0475e-05,4.8475e-05,2.82e-05
segment_165307,0.0,0.0,7.3825e-06,4.1025e-05,4.8925e-05,2.8475e-05
segment_165308,0.0,0.0,8.17e-06,5.0175e-05,5.97e-05,3.4975e-05
segment_165309,0.0,0.0,6.9725e-06,3.7e-05,4.275e-05,2.5475e-05
segment_165310,0.0,0.0,8.2075e-06,4.9475e-05,5.89e-05,3.4625e-05
segment_165311,0.0,0.0,7.5875e-06,4.43e-05,5.2875e-05,3.0925e-05
segment_165312,0.0,0.0,0.0,0.0,0.0,0.0
segment_165313,0.0,0.0,0.0,0.0,0.0,0.0
segment_165314,0.0,0.0,0.0,0.0,0.0,0.0
segment_165315,0.0,0.0,0.0,0.0,0.0,0.0
segment_165316,0.0,0.0,0.0,0.0,0.0,0.0
segment_165317,0.0,0.0,0.0,0.0,0.0,0.0
segment_165318,0.0,0.0,0.0,0.0,0.0,0.0
segment_165319,0.0,0.0,0.0,0.0,0.0,0.0
segment_165320,0.0,0.0,0.0,0.0,0.0,0.0
segment_165321,0.0,0.0,0.0,0.0,0.0,0.0
segment_165322,0.0,0.0,0.0,0.0,0.0,0.0
segment_165323,0.0,0.0,0.0,0.0,0.0,0.0
segment_165324,0.0,0.0,0.0,0.0,0.0,0.0
segment_165325,0.0,0.0,0.0,0.0,0.0,0.0
segment_165326,0.0,0.0,0.0,0.0,0.0,0.0
segment_174872,0.0,0.0,0.0,0.0,0.0,0.0
segment_174873,0.0,0.0,0.0,0.0,0.0,0.0
segment_174874,0.0,0.0,0.0,0.0,0.0,0.0
segment_174875,0.0,0.0,0.0,0.0,0.0,0.0
segment_174876,0.0,0.0,0.0,0.0,0.0,0.0
segment_174877,0.0,0.0,0.0,0.0,0.0,0.0
