,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_4708,0.0,0.0,0.0,0.0,0.0,0.0
segment_4709,0.0,0.0,0.0,0.0,0.0,0.0
segment_4710,0.0,0.0,0.0,0.0,0.0,0.0
segment_4711,0.0,0.0,0.0,0.0,0.0,0.0
segment_4712,0.0,0.0,0.0,0.0,0.0,0.0
segment_4713,0.0,0.0,0.0,0.0,0.0,0.0
segment_4714,0.0,0.0,0.0,0.0,0.0,0.0
segment_4715,0.0,0.0,0.0,0.0,0.0,0.0
segment_4716,0.0,0.0,0.0,0.0,0.0,0.0
segment_4717,0.0,0.0,0.0,0.0,0.0,0.0
segment_4718,0.0,0.0,0.0,0.0,0.0,0.0
segment_4719,0.0,0.0,0.0,0.0,0.0,0.0
segment_4720,0.0,0.0,0.0,0.0,0.0,0.0
segment_4721,0.0,0.0,0.0,0.0,0.0,0.0
segment_4722,0.0,0.0,0.0,0.0,0.0,0.0
segment_4723,0.0,0.0,0.0,0.0,0.0,0.0
segment_4724,0.0,0.0,0.0,0.0,0.0,0.0
segment_4725,0.0,0.0,0.0,0.0,0.0,0.0
segment_4726,0.0,0.0,0.0,0.0,0.0,0.0
segment_4727,0.0,0.0,0.0,0.0,0.0,0.0
segment_4728,0.0,0.0,0.0,0.0,0.0,0.0
segment_4729,0.0,0.0,0.0,0.0,0.0,0.0
segment_4730,0.0,0.0,0.0,0.0,0.0,0.0
segment_4731,0.0,0.0,0.0,0.0,0.0,0.0
segment_4732,0.0,0.0,0.0,0.0,0.0,0.0
segment_4733,0.0,0.0,0.0,0.0,0.0,0.0
segment_4734,0.0,0.0,0.0,0.0,0.0,0.0
segment_4735,0.0,0.0,0.0,0.0,0.0,0.0
segment_4736,0.0,0.0,0.0,0.0,0.0,0.0
segment_4737,0.0,0.0,0.0,0.0,0.0,0.0
segment_4738,0.0,0.0,0.0,0.0,0.0,0.0
segment_4739,0.0,0.0,0.0,0.0,0.0,0.0
segment_4740,0.0,0.0,0.0,0.0,0.0,0.0
segment_4741,0.0,0.0,0.0,0.0,0.0,0.0
segment_4742,0.0,0.0,0.0,0.0,0.0,0.0
segment_8184,0.0,0.0,0.0,0.0,0.0,0.0
segment_8185,0.0,0.0,0.0,0.0,0.0,0.0
segment_8186,0.0,0.0,0.0,0.0,0.0,0.0
segment_8187,0.0,0.0,0.0,0.0,0.0,0.0
segment_8188,0.0,0.0,0.0,0.0,0.0,0.0
segment_8189,0.0,0.0,0.0,0.0,0.0,0.0
segment_8190,0.0,0.0,0.0,0.0,0.0,0.0
segment_8191,0.0,0.0,0.0,0.0,0.0,0.0
segment_8192,0.0,0.0,0.0,0.0,0.0,0.0
segment_8193,0.0,0.0,0.0,0.0,0.0,0.0
segment_8194,0.0,0.0,0.0,0.0,0.0,0.0
segment_8195,0.0,0.0,0.0,0.0,0.0,0.0
segment_8196,0.0,0.0,0.0,0.0,0.0,0.0
segment_8197,0.0,0.0,0.0,0.0,0.0,0.0
segment_8198,0.0,0.0,0.0,0.0,0.0,0.0
segment_8199,0.0,0.0,0.0,0.0,0.0,0.0
segment_8200,0.0,0.0,0.0,0.0,0.0,0.0
segment_8201,0.0,0.0,0.0,0.0,0.0,0.0
segment_8202,0.0,0.0,0.0,0.0,0.0,0.0
segment_8203,0.0,0.0,0.0,0.0,0.0,0.0
segment_8204,0.0,0.0,0.0,0.0,0.0,0.0
segment_8205,0.0,0.0,0.0,0.0,0.0,0.0
segment_8206,0.0,0.0,0.0,0.0,0.0,0.0
segment_8207,0.0,0.0,0.0,0.0,0.0,0.0
segment_8208,0.0,0.0,0.0,0.0,0.0,0.0
segment_8209,0.0,0.0,0.0,0.0,0.0,0.0
segment_8210,0.0,0.0,0.0,0.0,0.0,0.0
segment_8211,0.0,0.0,0.0,0.0,0.0,0.0
segment_8212,0.0,0.0,0.0,0.0,0.0,0.0
segment_8213,0.0,0.0,0.0,0.0,0.0,0.0
segment_8214,0.0,0.0,0.0,0.0,0.0,0.0
segment_8215,0.0,0.0,0.0,0.0,0.0,0.0
segment_8216,0.0,0.0,0.0,0.0,0.0,0.0
segment_8217,0.0,0.0,0.0,0.0,0.0,0.0
segment_8218,0.0,0.0,0.0,0.0,0.0,0.0
segment_8219,0.0,0.0,0.0,0.0,0.0,0.0
segment_8220,0.0,0.0,0.0,0.0,0.0,0.0
segment_8221,0.0,0.0,0.0,0.0,0.0,0.0
segment_8222,0.0,0.0,0.0,0.0,0.0,0.0
segment_8223,0.0,0.0,0.0,0.0,0.0,0.0
segment_8224,0.0,0.0,0.0,0.0,0.0,0.0
segment_8225,0.0,0.0,0.0,0.0,0.0,0.0
segment_8226,0.0,0.0,0.0,0.0,0.0,0.0
segment_8227,0.0,0.0,0.0,0.0,0.0,0.0
segment_8228,0.0,0.0,0.0,0.0,0.0,0.0
segment_8229,0.0,0.0,0.0,0.0,0.0,0.0
segment_8230,0.0,0.0,0.0,0.0,0.0,0.0
segment_8231,0.0,0.0,0.0,0.0,0.0,0.0
segment_8232,0.0,0.0,0.0,0.0,0.0,0.0
segment_8233,0.0,0.0,0.0,0.0,0.0,0.0
segment_8234,0.0,0.0,0.0,0.0,0.0,0.0
segment_8235,0.0,0.0,0.0,0.0,0.0,0.0
segment_8236,0.0,0.0,0.0,0.0,0.0,0.0
segment_8237,0.0,0.0,0.0,0.0,0.0,0.0
segment_8238,0.0,0.0,0.0,0.0,0.0,0.0
segment_8239,0.0,0.0,0.0,0.0,0.0,0.0
segment_8240,0.0,0.0,0.0,0.0,0.0,0.0
segment_8241,0.0,0.0,0.0,0.0,0.0,0.0
segment_8242,0.0,0.0,0.0,0.0,0.0,0.0
segment_8243,0.0,0.0,0.0,0.0,0.0,0.0
segment_8244,0.0,0.0,0.0,0.0,0.0,0.0
segment_8245,0.0,0.0,0.0,0.0,0.0,0.0
segment_8246,0.0,0.0,0.0,0.0,0.0,0.0
segment_8247,0.0,0.0,0.0,0.0,0.0,0.0
segment_8248,0.0,0.0,0.0,0.0,0.0,0.0
segment_8249,0.0,0.0,0.0,0.0,0.0,0.0
segment_8250,0.0,0.0,0.0,0.0,0.0,0.0
segment_8251,0.0,0.0,0.0,0.0,0.0,0.0
segment_8252,0.0,0.0,0.0,0.0,0.0,0.0
segment_8253,0.0,0.0,0.0,0.0,0.0,0.0
segment_8254,0.0,0.0,0.0,0.0,0.0,0.0
segment_8255,0.0,0.0,0.0,0.0,0.0,0.0
segment_8256,0.0,0.0,0.0,0.0,0.0,0.0
segment_8257,0.0,0.0,0.0,0.0,0.0,0.0
segment_8258,0.0,0.0,0.0,0.0,0.0,0.0
segment_8259,0.0,0.0,0.0,0.0,0.0,0.0
segment_8260,0.0,0.0,0.0,0.0,0.0,0.0
segment_8261,0.0,0.0,0.0,0.0,0.0,0.0
segment_8262,0.0,0.0,0.0,0.0,0.0,0.0
segment_8263,0.0,0.0,0.0,0.0,0.0,0.0
segment_8264,0.0,0.0,0.0,0.0,0.0,0.0
