,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_1,0.0,0.0,0.056625,0.22785,0.25,0.0891
segment_2,0.0,0.0,0.0038675,0.0675,0.2011,0.032125
segment_3,0.0,0.0,0.0047625,0.093775,0.24495,0.041
segment_4,0.0,0.0,0.0,0.05385,0.18825,0.0293
segment_5,0.0,0.0,0.0,0.080825,0.25,0.03815
segment_6,0.0,0.0,0.0001345,0.06235,0.19145,0.03135
segment_7,0.0,0.0,0.0031225,0.076575,0.202275,0.0352
segment_8,0.0,0.0,0.0049975,0.073875,0.207875,0.0343
segment_9,0.0,0.0,0.0562,0.230425,0.25,0.089575
segment_10,0.0,0.0,0.07015,0.25,0.25,0.099
segment_11,0.0,0.0,0.0696,0.25,0.25,0.098725
segment_12,0.0,0.0044575,0.127825,0.25,0.25,0.130725
segment_13,0.0,0.0,0.038925,0.185825,0.25,0.0753
segment_14,0.0,0.0,0.003345,0.0757,0.208375,0.034825
segment_15,0.0,0.0,0.0018735,0.051,0.1623,0.0277
segment_16,0.0,0.0,0.0377,0.18615,0.25,0.074475
segment_17,0.0,0.0,0.070575,0.25,0.25,0.099375
segment_18,0.0,0.0,0.07195,0.25,0.25,0.10055
segment_19,0.0,0.0,0.0153625,0.116975,0.248175,0.049625
segment_20,0.0,0.0,0.0,0.014,0.07945,0.0140875
segment_21,0.0,0.0,0.000602,0.0473,0.157475,0.0264
segment_22,0.0,0.0,0.023905,0.185025,0.25,0.06685
segment_23,0.0,0.0,0.0,0.220375,0.25,0.06825
segment_24,0.0,0.0,0.0256,0.25,0.25,0.0882
segment_25,0.0,0.0,0.01909,0.25,0.25,0.0824
segment_26,0.0,0.0,0.0,0.083825,0.25,0.0391
segment_27,0.0,0.0,0.0,0.01866,0.08935,0.01605
segment_28,0.0,0.0,0.0,0.016315,0.083925,0.015
segment_29,0.0,0.0,0.0150025,0.11675,0.248775,0.049275
segment_30,0.0,0.0123375,0.156025,0.25,0.25,0.143075
segment_31,0.0,0.0,0.0351,0.236875,0.25,0.082425
segment_32,0.0,0.0,0.011235,0.155375,0.25,0.056875
segment_33,0.0,0.0,0.034675,0.25,0.25,0.0934
segment_34,0.0,0.0,0.12865,0.25,0.25,0.12995
segment_35,0.0,0.0,0.134375,0.25,0.25,0.131675
segment_36,0.0,0.0,0.06565,0.25,0.25,0.105425
segment_37,0.0,0.0,0.007785,0.120825,0.25,0.048125
segment_38,0.0,0.0,0.026275,0.192,0.25,0.07035
segment_39,0.0,0.0110275,0.157425,0.25,0.25,0.143275
segment_40,0.0,0.0,0.0421,0.196525,0.25,0.077975
segment_41,0.0,0.0,0.00168,0.048875,0.158925,0.0267
segment_42,0.0,0.0,0.0,0.052925,0.158175,0.027425
segment_43,0.0,0.0,0.0069825,0.214275,0.25,0.067575
segment_44,0.0,0.0,0.043675,0.25,0.25,0.099
segment_45,0.0,0.0,0.045275,0.25,0.25,0.0997
segment_46,0.0,0.0,0.0,0.16805,0.25,0.058575
segment_47,0.0,0.0,0.048075,0.209025,0.25,0.083725
segment_48,0.0,0.0,0.0033725,0.069275,0.185,0.033175
segment_49,0.0,0.0,0.0414,0.1956,0.25,0.077475
segment_50,0.0,0.0,0.03,0.167025,0.25,0.0676
segment_51,0.0,0.0,0.0012485,0.028075,0.117575,0.01857
segment_52,0.0,0.0,0.027175,0.165275,0.25,0.06585
segment_53,0.0,0.0,0.0223525,0.15025,0.25,0.06095
segment_54,0.0,0.0,0.0248875,0.1575,0.25,0.0634
segment_55,0.0,0.0,0.0083725,0.091175,0.2222,0.04095
segment_56,0.0,0.0,0.02785,0.15995,0.25,0.06595
segment_57,0.0,0.0,0.037425,0.1693,0.25,0.071525
segment_58,0.0,0.0,0.025225,0.1559,0.25,0.063375
segment_59,0.0,0.0,0.036575,0.1928,0.25,0.074925
segment_60,0.0,0.0,0.01358,0.108075,0.22945,0.04595
segment_61,0.0,0.0,0.0002088,0.0169275,0.087125,0.014395
segment_62,0.0,0.0,0.0,0.00801,0.0599,0.0118125
segment_63,0.0,0.0,0.0,0.077475,0.25,0.037825
segment_64,0.0,0.0,0.0044525,0.25,0.25,0.073275
segment_65,0.0,0.0,0.0154475,0.25,0.25,0.077275
segment_66,0.0,0.0,0.0,0.054325,0.238,0.031275
segment_67,0.0,0.0,0.0,0.0176575,0.08745,0.0159175
segment_68,0.0,0.0,0.0,0.0075875,0.058225,0.01059
segment_69,0.0,0.0,0.01423,0.1106,0.235775,0.04715
segment_70,0.0,0.0,0.109,0.25,0.25,0.120225
segment_71,0.0,0.0,0.017455,0.160775,0.25,0.061275
segment_72,0.0,0.0,0.003495,0.0895,0.2275,0.038325
segment_73,0.0,0.0,0.0167725,0.25,0.25,0.081575
segment_74,0.0,0.0,0.113725,0.25,0.25,0.12485
segment_75,0.0,0.0,0.12725,0.25,0.25,0.1298
segment_76,0.0,0.0,0.0258,0.25,0.25,0.087825
segment_77,0.0,0.0,0.00464,0.0966,0.239325,0.040875
segment_78,0.0,0.0,0.0351,0.24635,0.25,0.082875
segment_79,0.0,0.0,0.110025,0.25,0.25,0.120125
