LON,LAT
-123.95,40.75
-123.95,40.8
-123.95,40.85
-123.95,40.9
-123.95,40.95
-123.95,41.0
-123.95,41.05
-123.95,41.1
-123.95,41.15
-123.95,41.2
-123.95,41.25
-123.95,41.3
-123.95,41.35
-123.95,41.4
-123.95,41.45
-123.95,41.5
-123.95,41.55
-123.95,41.6
-123.95,41.65
-123.95,41.7
-123.95,41.75
-123.95,41.8
-123.95,41.85
-123.95,41.9
-123.95,41.95
-123.95,42.0
-123.95,39.7
-123.95,39.75
-123.9,39.75
-123.9,39.7
-123.9,39.8
-123.9,39.85
-123.9,39.9
-123.9,39.95
-123.9,40.0
-123.9,40.05
-123.9,40.1
-123.9,40.15
-123.9,40.2
-123.9,40.25
-123.9,40.3
-123.9,40.35
-123.9,40.4
-123.9,40.45
-123.9,40.5
-123.9,40.55
-123.9,40.6
-123.9,40.65
-123.9,40.7
-123.9,40.75
-123.9,40.8
-123.9,40.85
-123.9,40.9
-123.9,40.95
-123.9,41.0
-123.9,41.05
-123.9,41.1
-123.9,41.15
-123.9,41.2
-123.9,41.25
-123.9,41.3
-123.9,41.35
-123.9,41.4
-123.9,41.45
-123.9,41.5
-123.9,41.55
-123.9,41.6
-123.9,41.65
-123.9,41.7
-123.9,41.75
-123.9,41.8
-123.9,41.85
-123.9,41.9
-123.9,41.95
-123.9,42.0
-123.9,39.2
-123.9,39.25
-123.85,39.25
-123.85,39.2
-123.9,39.3
-123.85,39.3
-123.9,39.35
-123.85,39.35
-123.9,39.4
-123.85,39.4
-123.9,39.45
-123.85,39.45
-123.9,39.5
-123.85,39.5
-123.9,39.55
-123.85,39.55
-123.9,39.6
-123.85,39.6
-123.9,39.65
-123.85,39.65
-123.85,39.7
-123.85,39.75
-123.85,39.8
-123.85,39.85
-123.85,39.9
-123.85,39.95
-123.85,40.0
-123.85,40.05
-123.85,40.1
-123.85,40.15
-123.85,40.2
-123.85,40.25
-123.85,40.3
-123.85,40.35
-123.85,40.4
-123.85,40.45
-123.85,40.5
-123.85,40.55
-123.85,40.6
-123.85,40.65
-123.85,40.7
-123.85,40.75
-123.85,40.8
-123.85,40.85
-123.85,40.9
-123.85,40.95
-123.85,41.0
-123.85,41.05
-123.85,41.1
-123.85,41.15
-123.85,41.2
-123.85,41.25
-123.85,41.3
-123.85,41.35
-123.85,41.4
-123.85,41.45
-123.85,41.5
-123.85,41.55
-123.85,41.6
-123.85,41.65
-123.85,41.7
-123.85,41.75
-123.85,41.8
-123.85,41.85
-123.85,41.9
-123.85,41.95
-123.85,42.0
-123.85,38.9
-123.85,38.95
-123.8,38.95
-123.8,38.9
-123.85,39.0
-123.8,39.0
-123.85,39.1
-123.85,39.15
-123.8,39.15
-123.8,39.1
-123.8,39.2
-123.8,39.25
-123.8,39.3
-123.8,39.35
-123.8,39.4
-123.8,39.45
-123.8,39.5
-123.8,39.55
-123.8,39.6
-123.8,39.65
-123.8,39.7
-123.8,39.75
-123.8,39.8
-123.8,39.85
-123.8,39.9
-123.8,39.95
-123.8,40.0
-123.8,40.05
-123.8,40.1
-123.8,40.15
-123.8,40.2
-123.8,40.25
-123.8,40.3
-123.8,40.35
-123.8,40.4
-123.8,40.45
-123.8,40.5
-123.8,40.55
-123.8,40.6
-123.8,40.65
-123.8,40.7
-123.8,40.75
-123.8,40.8
-123.8,40.85
-123.8,40.9
-123.8,40.95
-123.8,41.0
-123.8,41.05
-123.8,41.1
-123.8,41.15
-123.8,41.2
-123.8,41.25
-123.8,41.3
-123.8,41.35
-123.8,41.4
-123.8,41.45
-123.8,41.5
-123.8,41.55
-123.8,41.6
-123.8,41.65
-123.8,41.7
-123.8,41.75
-123.8,41.8
-123.8,41.85
-123.8,41.9
-123.8,41.95
-123.8,42.0
-123.8,38.85
-123.75,38.9
-123.75,38.85
-123.75,38.95
-123.75,39.0
-123.8,39.05
-123.75,39.05
-123.75,39.1
-123.75,39.15
-123.75,39.2
-123.75,39.25
-123.75,39.3
-123.75,39.35
-123.75,39.4
-123.75,39.45
-123.75,39.5
-123.75,39.55
-123.75,39.6
-123.75,39.65
-123.75,39.7
-123.75,39.75
-123.75,39.8
-123.75,39.85
-123.75,39.9
-123.75,39.95
-123.75,40.0
-123.75,40.05
-123.75,40.1
-123.75,40.15
-123.75,40.2
-123.75,40.25
-123.75,40.3
-123.75,40.35
-123.75,40.4
-123.75,40.45
-123.75,40.5
-123.75,40.55
-123.75,40.6
-123.75,40.65
-123.75,40.7
-123.75,40.75
-123.75,40.8
-123.75,40.85
-123.75,40.9
-123.75,40.95
-123.75,41.0
-123.75,41.05
-123.75,41.1
-123.75,41.15
-123.75,41.2
-123.75,41.25
-123.75,41.3
-123.75,41.35
-123.75,41.4
-123.75,41.45
-123.75,41.5
-123.75,41.55
-123.75,41.6
-123.75,41.65
-123.75,41.7
-123.75,41.75
-123.75,41.8
-123.75,41.85
-123.75,41.9
-123.75,41.95
-123.75,42.0
-123.75,38.8
-123.7,38.85
-123.7,38.8
-123.7,38.9
-123.7,38.95
-123.7,39.0
-123.7,39.05
-123.7,39.1
-123.7,39.15
-123.7,39.2
-123.7,39.25
-123.7,39.3
-123.7,39.35
-123.7,39.4
-123.7,39.45
-123.7,39.5
-123.7,39.55
