z,qt,fs,u2
0.1,0,0.002006,0
0.2,5.149,0.1511,0
0.3,5.885,0.1742,0
0.4,3.009,0.1063,0
0.5,1.772,0.0321,0
0.6,1.304,0.01605,0
0.7,1.07,0.01672,0
0.8,1.003,0.02742,0
0.9,0.802,0.02474,0
1,1.003,0.0224,0
1.1,0.869,0.00936,0
1.2,0.668,0.00802,0
1.3,0.836,0.002664,0
1.4,0.702,0.005328,0
1.5,0.869,0.01269,0
1.6,0.802,0.00733,0
1.7,0.668,0.003322,0
1.8,0.802,0.02138,0
1.9,1.538,0.06151,0
2,1.772,0.06285,0
2.1,1.638,0.0692,0
2.2,1.471,0.06686,0
2.3,1.203,0.06452,0
2.4,1.37,0.0789,0
2.5,1.404,0.0789,0
2.6,1.37,0.0876,0
2.7,1.404,0.0919,0
2.8,1.237,0.0863,0
2.9,1.27,0.0799,0
3,1.27,0.0829,0
3.1,1.437,0.0809,0
3.2,1.471,0.0809,0
3.3,1.638,0.0792,0
3.4,2.24,0.06017,0
3.5,2.474,0.06486,0
3.6,3.21,0.05281,0
3.7,3.41,0.05215,0
3.8,5.484,0.0943,0
3.9,4.414,0.1097,0
4,3.678,0.0468,0
4.1,3.41,0.04679,0
4.2,3.945,0.06819,0
4.3,4.414,0.0615,0
4.4,3.678,0.0625,0
4.5,2.641,0.1053,0
4.6,3.009,0.0976,0
4.7,3.477,0.0906,0
4.8,3.343,0.111,0
4.9,3.109,0.1254,0
5,2.741,0.1341,0
5.1,3.243,0.1103,0
5.2,3.009,0.1287,0
5.3,3.176,0.0702,0
5.4,7.09,0.1347,0
5.5,4.547,0.1281,0
5.6,3.945,0.1056,0
5.7,4.313,0.1294,0
5.8,6.387,0.1391,0
5.9,7.02,0.1117,0
6,8.03,0.0866,0
6.1,3.41,0.05447,0
6.2,1.503,0.0508,0
6.3,1.336,0.04877,0
6.4,1.303,0.04677,0
6.5,1.437,0.05547,0
6.6,1.303,0.05881,0
6.7,1.269,0.06349,0
6.8,1.37,0.05881,0
6.9,1.303,0.04811,0
7,1.737,0.0832,0
7.1,1.871,0.0802,0
7.2,1.671,0.0782,0
7.3,1.57,0.06784,0
7.4,1.436,0.0709,0
7.5,1.871,0.0735,0
7.6,2.741,0.099,0
7.7,5.518,0.05279,0
7.8,5.116,0.0856,0
7.9,3.745,0.1153,0
8,2.942,0.0983,0
8.1,5.417,0.0819,0
8.2,3.611,0.1046,0
8.3,3.678,0.0809,0
8.4,7.76,0.106,0
8.5,6.287,0.1103,0
8.6,3.611,0.111,0
8.7,3.343,0.1174,0
8.8,9.1,0.1284,0
8.9,10.4,0.1103,0
9,13.48,0.0983,0
9.1,14.89,0.0779,0
9.2,12.94,0.0829,0
9.3,5.819,0.1087,0
9.4,4.146,0.0742,0
9.5,4.815,0.1137,0
9.6,4.581,0.1147,0
9.7,4.815,0.121,0
9.8,4.38,0.1368,0
9.9,5.284,0.2104,0
10,9.23,0.2318,0
10.1,13.38,0.2438,0
10.2,7.49,0.2836,0
10.3,6.823,0.4285,0
