event_id,magnitude,annual_rate,dip,rake,dip_dir,z_tor,z_bor,fault_trace
1.0,6.6,1.0,54.1,0.0,72.5,3.0,15.944,"[[-118.283119, 34.318659, 0.0], [-118.473086, 34.375643, 0.0]]"
2.0,6.9,1.0,70.2,0.0,-52.5,1.5,20.294,"[[-122.016246, 37.196831, 0.0], [-121.66124, 36.975819, 0.0]]"
3.0,6.9,1.0,70.2,0.0,-52.5,1.5,20.294,"[[-122.016246, 37.196831, 0.0], [-121.66124, 36.975819, 0.0]]"
4.0,6.7,1.0,40.0,0.0,-60.3,5.0,20.427,"[[-118.552506, 34.446376, 0.0], [-118.386463, 34.360325, 0.0]]"
