LAT_MIDDLE,LONG_MIDDLE
37.77271585,-122.4069088
37.77442629,-122.4034518
37.77771148,-122.3970221
37.78099667,-122.3905923
37.78428186,-122.3841626
37.78756704,-122.3777328
37.79085223,-122.371303
37.79413742,-122.3648733
37.79742261,-122.3584435
37.80070779,-122.3520138
37.80399298,-122.345584
37.80727817,-122.3391543
37.81056336,-122.3327245
37.81384854,-122.3262947
37.81713373,-122.319865
37.82041892,-122.3134352
37.82370411,-122.3070055
37.8256012,-122.3000757
37.8261102,-122.2926459
37.82633698,-122.2859168
37.82628153,-122.2798883
37.82799997,-122.2733203
37.83149231,-122.266213
37.83498464,-122.2591056
37.83847698,-122.2519982
37.84196932,-122.2448909
37.84546166,-122.2377835
37.84895399,-122.2306761
37.85244633,-122.2235688
37.85540205,-122.2170453
37.85782115,-122.2111058
37.86024025,-122.2051663
37.86265935,-122.1992268
37.86507845,-122.1932873
37.86749755,-122.1873478
37.86991665,-122.1814083
37.87233575,-122.1754688
37.87475485,-122.1695293
37.87717395,-122.1635898
37.87959305,-122.1576503
37.88201215,-122.1517108
37.88443125,-122.1457713
37.88685035,-122.1398318
37.88926945,-122.1338923
37.89168855,-122.1279528
