FID,event_id,slip_dir,pgdef_m,sigma,sigma_mu,dist_type,ls_cond,amu,bmu
0,1.0,161.8,0.088,0.6,0.25,lognormal,ground_slope,1.4480465988018634,-3.4294399172111363
1,4.0,160.0,0.1402,0.6,0.25,lognormal,ground_slope,0.5248637714794856,-2.111563290376131
