CPT_FileName,CPT_Date,UTM_x,UTM_y,Datum,Longitude,Latitude,Datum.1,Mean GWT,utm_x,utm_y,gw_depth_m,slope_deg,FreefaceDist_m,FreefaceHeight_m,LH_Ratio
LAC041.csv,4/12/1995,361780,3794451,NAD 27 UTM Zone 11 N,-118.502693,34.283897,WGS84,15.0,914086.2516807207,3802800.1919000805,15.0,1.7443727254867554,521773.2836764152,2.5,208709.3134705661
LAC042.csv,4/12/1995,361781,3794385,NAD 27 UTM Zone 11 N,-118.502682,34.283302,WGS84,9.4,914090.1916951013,3802734.186587114,9.4,1.5778566598892212,521824.6381883701,2.5,208729.85527534803
LAC043.csv,4/12/1995,361779,3794357,NAD 27 UTM Zone 11 N,-118.502699,34.283049,WGS84,9.1,914089.869570697,3802706.031965026,9.1,1.6681408882141113,521845.192598275,2.5,208738.07703931
LAC044.csv,4/12/1995,361779,3794340,NAD 27 UTM Zone 11 N,-118.502697,34.282896,WGS84,8.5,914090.8063568007,3802689.0557882506,8.5,1.6681408882141113,521858.34992733935,2.5,208743.33997093575
LAC047.csv,4/13/1995,361778,3794297,NAD 27 UTM Zone 11 N,-118.5027,34.282508,WGS84,8.2,914092.4382000524,3802645.97213884,8.2,1.609433889389038,521891.23949075217,2.5,208756.49579630088
LAC048.csv,4/13/1995,361778,3794274,NAD 27 UTM Zone 11 N,-118.502697,34.2823,WGS84,7.9,914093.7376230625,3802622.8945629587,7.9,1.609433889389038,521909.1443400887,2.5,208763.65773603547
LAC049.csv,4/13/1995,361777,3794244,NAD 27 UTM Zone 11 N,-118.502703,34.28203,WGS84,7.9,914094.512656081,3802592.8977019177,7.9,1.5607753992080688,521931.8012839599,2.5,208772.72051358395
LAC051.csv,4/13/1995,361777,3794146,NAD 27 UTM Zone 11 N,-118.502687,34.281146,WGS84,7.2,914100.3346031532,3802494.8312766254,7.2,1.2180454730987549,522008.09605377,2.5,208803.238421508
LAC053.csv,4/14/1995,361776,3794077,NAD 27 UTM Zone 11 N,-118.502709,34.280524,WGS84,7.6,914101.3663675878,3802425.6940186117,7.6,1.8248696327209473,522059.8152018045,2.5,208823.9260807218
LAC054.csv,4/14/1995,361776,3794061,NAD 27 UTM Zone 11 N,-118.502706,34.28038,WGS84,8.2,914102.3509949639,3802409.721005421,8.2,1.8248696327209473,522072.26816732256,2.5,208828.90726692902
LAC055.csv,5/12/1995,361776,3794048,NAD 27 UTM Zone 11 N,-118.502704,34.280262,WGS84,8.4,914103.1156067668,3802396.630137504,8.4,1.4624578952789307,522082.4457074454,2.5,208832.97828297815
LAC057.csv,4/14/1995,361775,3794002,NAD 27 UTM Zone 11 N,-118.502697,34.279848,WGS84,10.7,914105.7966562081,3802350.70109163,10.7,1.453511118888855,522118.1533741634,2.5,208847.26134966535
LAC058.csv,4/14/1995,361775,3793886,NAD 27 UTM Zone 11 N,-118.502679,34.278838,WGS84,15.0,914112.4223433699,3802238.6557406415,15.0,2.114842653274536,522205.3275760628,2.5,208882.13103042514
