,5th_moment_ratio,16th_moment_ratio,50th_moment_ratio,84th_moment_ratio,95th_moment_ratio,mean_moment_ratio
component_1,0.0,4.276e-05,0.0003125,0.001435,0.004179,0.0009129
component_2,0.0,0.0,0.0002681,0.00329,0.01031,0.002094
