,5th_elbow,16th_elbow,50th_elbow,84th_elbow,95th_elbow,mean_elbow,elbow_worst_case_joint,5th_tee,16th_tee,50th_tee,84th_tee,95th_tee,mean_tee,tee_worst_case_joint
component_1,0.0,0.0,2.058e-08,1.249e-07,1.547e-07,7.297e-08,jointA,0.0,0.0,6.232e-07,3.56e-06,3.943e-06,2.16e-06,jointA
component_2,0.0,0.0,2.564e-09,1.782e-08,2.772e-08,1.195e-08,jointA,0.0,0.0,1.164e-07,1.07e-06,1.782e-06,8.474e-07,jointA
