,5th_elbow,16th_elbow,50th_elbow,84th_elbow,95th_elbow,mean_elbow,elbow_worst_case_joint,5th_tee,16th_tee,50th_tee,84th_tee,95th_tee,mean_tee,tee_worst_case_joint
component_1,0.0,0.0,1.931e-07,1.381e-06,1.729e-06,7.556e-07,jointA,0.0,0.0,2.104e-06,1.6e-05,1.776e-05,9.043e-06,jointA
component_2,0.0,0.0,9.061e-10,4.894e-08,8.877e-08,3.209e-08,jointA,0.0,0.0,4.047e-08,2.406e-06,4.722e-06,1.96e-06,jointA
