ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,PIPE_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING
7749,-122.2989611,38.32288119,-122.2997834,38.32271395,-122.29937225,38.32279757,0.074105,1135,101.6,7749,1,1256.4,255.1,100.0,155.10000000000002
7750,-122.2997834,38.32271395,-122.3005671,38.32257282,-122.30017525,38.322643385,0.070145,1135,101.6,7750,1,1184.1,256.7,100.0,156.69999999999996
7751,-122.3005671,38.32257282,-122.3013508,38.32243169,-122.30095895,38.322502255,0.070145,1135,101.6,7751,1,1113.8,256.7,99.0,157.69999999999996
7752,-122.3013508,38.32243169,-122.3021345,38.32229057,-122.30174265,38.32236113,0.070145,1135,101.6,7752,1,1043.6,256.7,99.0,157.69999999999996
7753,-122.3021345,38.32229057,-122.3022833,38.32230201,-122.3022089,38.32229629,0.013043,1135,101.6,7753,1,1001.9,275.1,92.0,176.89999999999998
7754,-122.3022833,38.32230201,-122.3032513,38.32214069,-122.3027673,38.32222135,0.086329,1135,101.6,7754,1,952.1,257.6,92.0,165.60000000000002
7755,-122.3032513,38.32214069,-122.3042192,38.32197936,-122.30373525,38.322060025,0.086321,1135,101.6,7755,1,865.6,257.6,79.0,178.60000000000022
7756,-122.3042192,38.32197936,-122.3050721,38.32182339,-122.30464565,38.321901375,0.076399,1135,101.6,7756,1,784.1,256.5,75.0,178.49999999999997
7757,-122.3050721,38.32182339,-122.3059251,38.32166742,-122.3054986,38.321745405,0.076407,1135,101.6,7757,1,707.6,256.5,74.0,177.50000000000006
7758,-122.3059251,38.32166742,-122.306778,38.32151145,-122.30635155,38.321589435,0.076399,1135,101.6,7758,1,631.0,256.5,74.0,177.50000000000006
7759,-122.306778,38.32151145,-122.3077274,38.32133933,-122.3072527,38.32142539,0.085006,1135,101.6,7759,1,550.2,256.6,75.0,178.4000000000002
7760,-122.3077274,38.32133933,-122.3086768,38.32116721,-122.3082021,38.32125327,0.085006,1135,101.6,7760,1,465.0,256.6,68.0,171.39999999999998
7761,-122.3086768,38.32116721,-122.3096262,38.32099509,-122.3091515,38.32108115,0.085006,1135,101.6,7761,1,379.8,256.6,77.0,179.59999999999962
7762,-122.3096262,38.32099509,-122.3103194,38.32086915,-122.3099728,38.32093212,0.062074,1135,101.6,7762,1,306.2,256.6,68.0,171.39999999999998
7763,-122.3103194,38.32086915,-122.3110479,38.32075916,-122.31068365,38.320814155,0.064719,1135,101.6,7763,1,242.6,258.7,68.0,169.30000000000007
7764,-122.3110479,38.32075916,-122.3117764,38.32064917,-122.31141215,38.320704165,0.064719,1135,101.6,7764,1,177.8,258.7,72.0,173.3000000000001
7765,-122.3117764,38.32064917,-122.3125872,38.32050387,-122.3121818,38.32057652,0.072555,1135,101.6,7765,1,109.0,256.8,70.0,173.20000000000005
7766,-122.3125872,38.32050387,-122.313398,38.32035858,-122.3129926,38.320431225,0.072555,1135,101.6,7766,1,36.3,256.8,80.0,176.80000000000015
7767,-122.2998925,38.32269431,-122.2997069,38.32237024,-122.2997997,38.322532275,0.039505,1136,101.6,7767,1,19.7,155.3,100.0,124.7
7768,-122.2997069,38.32237024,-122.2994589,38.32156909,-122.2995829,38.321969665,0.091673,1136,101.6,7768,1,85.2,165.9,100.0,114.1
7769,-122.2994589,38.32156909,-122.2992108,38.32076794,-122.29933485,38.321168515,0.091675,1136,101.6,7769,1,176.7,165.9,99.0,113.1
7770,-122.2992108,38.32076794,-122.2989628,38.3199668,-122.2990868,38.32036737,0.091672,1136,101.6,7770,1,268.2,165.9,79.0,93.09999999999998
7771,-122.2989628,38.3199668,-122.2987147,38.31916565,-122.29883875,38.319566225,0.091675,1136,101.6,7771,1,359.7,165.9,69.0,96.90000000000002
7772,-122.2987147,38.31916565,-122.2984921,38.31836957,-122.2986034,38.31876761,0.090625,1136,101.6,7772,1,450.7,167.1,60.0,107.10000000000002
7773,-122.2984921,38.31836957,-122.2982694,38.31757349,-122.29838075,38.31797153,0.090627,1136,101.6,7773,1,541.1,167.1,72.0,95.1
7774,-122.2982694,38.31757349,-122.2980467,38.31677742,-122.29815805,38.317175455,0.090626,1136,101.6,7774,1,631.6,167.1,91.0,103.9
7775,-122.2980467,38.31677742,-122.2978241,38.31598134,-122.2979354,38.31637938,0.090625,1136,101.6,7775,1,722.1,167.1,95.0,107.9
7776,-122.2978241,38.31598134,-122.2976014,38.31518527,-122.29771275,38.315583305,0.090626,1136,101.6,7776,1,806.5,167.1,95.0,107.9
7777,-122.2976014,38.31518527,-122.2973881,38.31446404,-122.29749475,38.314824655,0.082328,1136,101.6,7777,1,720.2,166.4,96.0,109.6
7778,-122.2973881,38.31446404,-122.2971749,38.31374281,-122.2972815,38.314103425,0.082326,1136,101.6,7778,1,638.0,166.5,140.0,153.5
7779,-122.2971749,38.31374281,-122.2969616,38.31302159,-122.29706825,38.3133822,0.082327,1136,101.6,7779,1,555.8,166.4,82.0,95.59999999999998
7780,-122.2969616,38.31302159,-122.2967484,38.31230036,-122.296855,38.312660975,0.082326,1136,101.6,7780,1,473.7,166.5,99.0,112.5
7781,-122.2967484,38.31230036,-122.2965351,38.31157913,-122.29664175,38.311939745,0.082328,1136,101.6,7781,1,391.5,166.4,103.0,116.6
7782,-122.2965351,38.31157913,-122.2963058,38.31081062,-122.29642045,38.311194875,0.087765,1136,101.6,7782,1,306.6,166.3,113.0,126.7
7783,-122.2963058,38.31081062,-122.2960765,38.31004211,-122.29619115,38.310426365,0.087765,1136,101.6,7783,1,219.0,166.3,121.0,134.7
7784,-122.2960765,38.31004211,-122.2958472,38.3092736,-122.29596185,38.309657855,0.087765,1136,101.6,7784,1,131.4,166.3,129.0,142.7
7785,-122.2958472,38.3092736,-122.2956179,38.30850509,-122.29573255,38.308889345,0.087765,1136,101.6,7785,1,43.8,166.3,122.0,135.7
7786,-122.2956179,38.30850509,-122.2967186,38.30830812,-122.29616825,38.308406605,0.098505,1136,101.6,7786,1,49.3,256.8,122.0,134.8
7787,-122.2967186,38.30830812,-122.2978194,38.30811115,-122.297269,38.308209635,0.098514,1136,101.6,7787,1,148.0,256.8,115.0,141.8
7788,-122.2978194,38.30811115,-122.2989201,38.30791418,-122.29836975,38.308012665,0.098506,1136,101.6,7788,1,246.7,256.8,104.0,152.8
7789,-122.2989201,38.30791418,-122.3000208,38.30771721,-122.29947045,38.307815695,0.098506,1136,101.6,7789,1,345.4,256.8,92.0,164.80000000000004
7790,-122.3000208,38.30771721,-122.3011215,38.30752024,-122.30057115,38.307618725,0.098506,1136,101.6,7790,1,444.1,256.8,82.0,174.79999999999998
7791,-122.3011215,38.30752024,-122.3022222,38.30732328,-122.30167185,38.30742176,0.098506,1136,101.6,7791,1,394.1,256.8,80.0,176.80000000000015
7792,-122.3022222,38.30732328,-122.3027934,38.30720817,-122.3025078,38.307265725,0.051457,1136,101.6,7792,1,319.0,255.2,85.0,170.2
7793,-122.3027934,38.30720817,-122.3037969,38.30706395,-122.30329515,38.30713606,0.089016,1136,101.6,7793,1,248.6,259.2,89.0,170.19999999999993
7794,-122.3037969,38.30706395,-122.3048005,38.30691974,-122.3042987,38.306991845,0.089025,1136,101.6,7794,1,159.4,259.2,97.0,162.2
7795,-122.3048005,38.30691974,-122.3055122,38.30677415,-122.30515635,38.306846945,0.064175,1136,101.6,7795,1,82.7,255.0,98.0,157.00000000000003
7796,-122.3055122,38.30677415,-122.3060761,38.30667496,-122.30579415,38.306724555,0.050424,1136,101.6,7796,1,25.3,257.0,91.0,166.00000000000003
7797,-122.3070789,38.3214569,-122.3069516,38.32097845,-122.30701525,38.321217675,0.054348,1137,101.6,7797,1,27.1,167.7,75.0,92.69999999999996
7798,-122.3069516,38.32097845,-122.3068243,38.32049999,-122.30688795,38.32073922,0.054349,1137,101.6,7798,1,81.4,167.7,86.0,98.3
7799,-122.3068243,38.32049999,-122.306605,38.31967867,-122.30671465,38.32008933,0.093309,1137,101.6,7799,1,155.1,167.7,82.0,94.3
7800,-122.306605,38.31967867,-122.3063857,38.31885734,-122.30649535,38.319268005,0.09331,1137,101.6,7800,1,248.2,167.7,82.0,94.3
7801,-122.3063857,38.31885734,-122.3060121,38.31844105,-122.3061989,38.318649195,0.056613,1137,101.6,7801,1,323.0,144.3,98.0,133.7
7802,-122.3060121,38.31844105,-122.3056386,38.31802477,-122.30582535,38.31823291,0.056607,1137,101.6,7802,1,379.6,144.3,93.0,128.7
7803,-122.3056386,38.31802477,-122.3054906,38.31775344,-122.3055646,38.317889105,0.032817,1137,101.6,7803,1,424.3,156.3,91.0,114.69999999999996
7804,-122.3054906,38.31775344,-122.3052493,38.31697416,-122.30536995,38.3173638,0.089172,1137,101.6,7804,1,485.2,165.9,91.0,105.1
7805,-122.3052493,38.31697416,-122.3050081,38.31619488,-122.3051287,38.31658452,0.08917,1137,101.6,7805,1,574.2,165.9,84.0,98.1
7806,-122.3050081,38.31619488,-122.3047668,38.3154156,-122.30488745,38.31580524,0.089173,1137,101.6,7806,1,663.2,165.9,84.0,98.1
7807,-122.3047668,38.3154156,-122.3046058,38.31497393,-122.3046863,38.315194765,0.051081,1137,101.6,7807,1,733.2,163.5,83.0,99.5
7808,-122.3046058,38.31497393,-122.3044448,38.31453226,-122.3045253,38.314753095,0.051081,1137,101.6,7808,1,784.2,163.5,83.0,99.5
7809,-122.3044448,38.31453226,-122.3044752,38.31401382,-122.30446,38.31427304,0.057709,1137,101.6,7809,1,800.1,182.2,81.0,101.2
7810,-122.3044752,38.31401382,-122.3042659,38.31334563,-122.30437055,38.313679725,0.07651,1137,101.6,7810,1,733.2,165.7,82.0,96.3
7811,-122.3042659,38.31334563,-122.3040565,38.31267743,-122.3041612,38.31301153,0.076514,1137,101.6,7811,1,656.8,165.7,91.0,105.3
7812,-122.3040565,38.31267743,-122.3038471,38.31200924,-122.3039518,38.312343335,0.076513,1137,101.6,7812,1,580.4,165.7,86.0,100.3
7813,-122.3038471,38.31200924,-122.3036691,38.31126936,-122.3037581,38.3116393,0.083724,1137,101.6,7813,1,500.5,168.8,102.0,113.2
7814,-122.3036691,38.31126936,-122.3033474,38.31089777,-122.30350825,38.311083565,0.049951,1137,101.6,7814,1,433.7,145.3,113.0,147.7
7815,-122.3033474,38.31089777,-122.3031381,38.31017971,-122.30324275,38.31053874,0.081906,1137,101.6,7815,1,367.9,166.6,106.0,119.4
7816,-122.3031381,38.31017971,-122.3029287,38.30946165,-122.3030334,38.30982068,0.081908,1137,101.6,7816,1,286.1,166.6,115.0,128.4
7817,-122.3029287,38.30946165,-122.3027193,38.30874359,-122.302824,38.30910262,0.081908,1137,101.6,7817,1,204.4,166.6,115.0,128.4
7818,-122.3027193,38.30874359,-122.30251,38.30802553,-122.30261465,38.30838456,0.081906,1137,101.6,7818,1,122.6,166.6,96.0,109.4
7819,-122.30251,38.30802553,-122.3023006,38.30730746,-122.3024053,38.307666495,0.08191,1137,101.6,7819,1,40.9,166.6,88.0,101.4
7820,-122.305687,38.29954529,-122.3064138,38.29955127,-122.3060504,38.29954828,0.063427,1138,101.6,7820,1,31.8,270.2,145.0,125.2
7821,-122.3064138,38.29955127,-122.3073066,38.29974218,-122.3068602,38.299646725,0.080749,1138,101.6,7821,1,104.0,284.8,157.0,127.8
7822,-122.3073066,38.29974218,-122.3081995,38.29993308,-122.30775305,38.29983763,0.080757,1138,101.6,7822,1,184.9,284.8,166.0,118.79999999999998
7823,-122.3081995,38.29993308,-122.3089856,38.30012723,-122.30859255,38.300030155,0.071914,1138,101.6,7823,1,224.0,287.0,169.0,118.0
7824,-122.3089856,38.30012723,-122.3097718,38.30032137,-122.3093787,38.3002243,0.071922,1138,101.6,7824,1,152.0,287.0,172.0,115.00000000000004
7825,-122.3097718,38.30032137,-122.310558,38.30051552,-122.3101649,38.300418445,0.071922,1138,101.6,7825,1,80.0,287.0,172.0,115.00000000000004
7826,-122.310558,38.30051552,-122.311044,38.30061567,-122.310801,38.300565595,0.043847,1138,101.6,7826,1,22.0,284.2,172.0,112.2
7827,-122.2709427,38.25766373,-122.2719124,38.25761893,-122.27142755,38.25764133,0.084815,1139,101.6,7827,1,42.5,266.2,215.0,128.8
7828,-122.2719124,38.25761893,-122.2728821,38.25757413,-122.27239725,38.25759653,0.084815,1139,101.6,7828,1,127.5,266.2,206.0,119.8
7829,-122.2728821,38.25757413,-122.2738518,38.25752933,-122.27336695,38.25755173,0.084815,1139,101.6,7829,1,212.5,266.2,292.0,154.19999999999996
7830,-122.2738518,38.25752933,-122.2748215,38.25748453,-122.27433665,38.25750693,0.084815,1139,101.6,7830,1,297.5,266.2,285.0,161.19999999999993
7831,-122.2748215,38.25748453,-122.2757912,38.25743973,-122.27530635,38.25746213,0.084815,1139,101.6,7831,1,382.4,266.2,239.0,152.8
7832,-122.2757912,38.25743973,-122.2767609,38.25739494,-122.27627605,38.257417335,0.084815,1139,101.6,7832,1,389.6,266.2,114.0,152.2
7833,-122.2767609,38.25739494,-122.2777514,38.25735294,-122.27725615,38.25737394,0.086611,1139,101.6,7833,1,303.8,266.5,200.0,113.50000000000004
7834,-122.2777514,38.25735294,-122.2787419,38.25731094,-122.27824665,38.25733194,0.086611,1139,101.6,7834,1,217.0,266.5,200.0,113.50000000000004
7835,-122.2787419,38.25731094,-122.2797324,38.25726895,-122.27923715,38.257289945,0.086611,1139,101.6,7835,1,130.2,266.5,210.0,123.50000000000006
7836,-122.2797324,38.25726895,-122.2807229,38.25722695,-122.28022765,38.25724795,0.086611,1139,101.6,7836,1,43.4,266.5,225.0,138.50000000000006
7837,-122.2807229,38.25722695,-122.2807403,38.25634473,-122.2807316,38.25678584,0.09811,1139,101.6,7837,1,49.0,180.4,206.0,154.4
7838,-122.2807403,38.25634473,-122.2807577,38.25546252,-122.280749,38.255903625,0.098109,1139,101.6,7838,1,146.9,180.4,196.0,164.4
7839,-122.2807577,38.25546252,-122.2807751,38.2545803,-122.2807664,38.25502141,0.09811,1139,101.6,7839,1,244.8,180.4,143.0,142.60000000000002
7840,-122.2807751,38.2545803,-122.2807926,38.25369808,-122.28078385,38.25413919,0.09811,1139,101.6,7840,1,342.7,180.5,245.0,115.5
7841,-122.2807926,38.25369808,-122.2807781,38.25301043,-122.28078535,38.253354255,0.076474,1139,101.6,7841,1,429.8,178.6,259.0,99.6
7842,-122.2807781,38.25301043,-122.2807636,38.25232278,-122.28077085,38.252666605,0.076474,1139,101.6,7842,1,506.1,178.6,319.0,140.4
7843,-122.2807636,38.25232278,-122.2808591,38.25168218,-122.28081135,38.25200248,0.071718,1139,101.6,7843,1,580.0,186.3,245.0,121.30000000000004
7844,-122.2808591,38.25168218,-122.2809547,38.25104159,-122.2809069,38.251361885,0.071718,1139,101.6,7844,1,651.6,186.3,118.0,111.69999999999996
7845,-122.2809547,38.25104159,-122.2810772,38.25050123,-122.28101595,38.25077141,0.06103,1139,101.6,7845,1,717.8,189.7,74.0,115.69999999999996
7846,-122.2810772,38.25050123,-122.2811997,38.24996086,-122.28113845,38.250231045,0.061031,1139,101.6,7846,1,778.8,189.7,145.0,135.3
7847,-122.2811997,38.24996086,-122.2814232,38.24933765,-122.28131145,38.249649255,0.071994,1139,101.6,7847,1,845.1,195.3,253.0,122.30000000000004
7848,-122.2814232,38.24933765,-122.2816467,38.24871445,-122.28153495,38.24902605,0.071993,1139,101.6,7848,1,917.0,195.3,141.0,125.69999999999996
7849,-122.2816467,38.24871445,-122.2820078,38.24815517,-122.28182725,38.24843481,0.069727,1139,101.6,7849,1,921.9,206.5,300.0,93.5
7850,-122.2820078,38.24815517,-122.2823688,38.24759589,-122.2821883,38.24787553,0.069723,1139,101.6,7850,1,852.3,206.5,300.0,93.5
7851,-122.2823688,38.24759589,-122.2828862,38.24687748,-122.2826275,38.247236685,0.091776,1139,101.6,7851,1,771.6,209.2,293.0,96.19999999999996
7852,-122.2828862,38.24687748,-122.2834036,38.24615907,-122.2831449,38.246518275,0.091776,1139,101.6,7852,1,679.9,209.2,331.0,121.80000000000004
7853,-122.2834036,38.24615907,-122.2838227,38.2456701,-122.28361315,38.245914585,0.065542,1139,101.6,7853,1,601.4,213.6,282.0,111.6
7854,-122.2838227,38.2456701,-122.2841166,38.24517057,-122.28396965,38.245420335,0.061188,1139,101.6,7854,1,538.1,204.4,301.0,96.6
7855,-122.2841166,38.24517057,-122.2844105,38.24467104,-122.28426355,38.244920805,0.061188,1139,101.6,7855,1,477.0,204.4,65.0,139.4
7856,-122.2844105,38.24467104,-122.2846804,38.2440349,-122.28454545,38.24435297,0.074559,1139,101.6,7856,1,409.2,198.1,65.0,133.10000000000002
7857,-122.2846804,38.2440349,-122.284848,38.2434938,-122.2847642,38.24376435,0.061922,1139,101.6,7857,1,341.1,193.3,286.0,92.7
7858,-122.284848,38.2434938,-122.2850156,38.24295269,-122.2849318,38.243223245,0.061923,1139,101.6,7858,1,279.3,193.3,276.0,97.30000000000004
7859,-122.2850156,38.24295269,-122.2850058,38.24236792,-122.2850107,38.242660305,0.065029,1139,101.6,7859,1,215.9,178.8,269.0,90.2
7860,-122.2850058,38.24236792,-122.284996,38.24178314,-122.2850009,38.24207553,0.06503,1139,101.6,7860,1,151.0,178.8,269.0,90.2
7861,-122.284996,38.24178314,-122.2850151,38.24124908,-122.28500555,38.24151611,0.059408,1139,101.6,7861,1,88.9,181.2,272.0,90.80000000000004
7862,-122.2850151,38.24124908,-122.2850342,38.24071503,-122.28502465,38.240982055,0.059407,1139,101.6,7862,1,29.6,181.2,273.0,91.8
7863,-122.2850342,38.24071503,-122.2846069,38.24048614,-122.28482055,38.240600585,0.045171,1139,101.6,7863,1,22.6,123.7,304.0,179.69999999999948
7864,-122.2846069,38.24048614,-122.2845688,38.23984909,-122.28458785,38.240167615,0.070915,1139,101.6,7864,1,35.4,176.9,304.0,127.09999999999997
7865,-122.2845688,38.23984909,-122.2849274,38.23973465,-122.2847481,38.23979187,0.033805,1139,101.6,7865,1,16.9,247.5,282.0,145.50000000000006
7866,-122.2849274,38.23973465,-122.284935,38.23950195,-122.2849312,38.2396183,0.025884,1139,101.6,7866,1,12.9,181.0,282.0,100.99999999999996
7867,-122.4761261,38.27675145,-122.4761818,38.27687321,-122.47615395,38.27681233,0.014386,1140,101.6,7867,1,7.2,339.8,145.0,165.19999999999993
7868,-122.5383741,37.97296292,-122.5391035,37.97319543,-122.5387388,37.973079175,0.068965,1141,101.6,7868,1,34.5,291.7,45.0,113.30000000000004
7869,-122.5391035,37.97319543,-122.5398329,37.97342795,-122.5394682,37.97331169,0.068965,1141,101.6,7869,1,103.6,291.7,359.0,112.70000000000002
7870,-122.5398329,37.97342795,-122.5405623,37.97366046,-122.5401976,37.973544205,0.068965,1141,101.6,7870,1,172.7,291.7,18.0,93.69999999999996
7871,-122.5405623,37.97366046,-122.5411632,37.97385132,-122.54086275,37.97375589,0.056786,1141,101.6,7871,1,235.6,291.6,32.0,100.4
7872,-122.5411632,37.97385132,-122.541764,37.97404217,-122.5414636,37.973946745,0.056778,1141,101.6,7872,1,292.5,291.6,174.0,117.60000000000004
7873,-122.541764,37.97404217,-122.5426156,37.97428605,-122.5421898,37.97416411,0.079419,1141,101.6,7873,1,360.7,289.6,77.0,147.4
7874,-122.5426156,37.97428605,-122.5434671,37.97452992,-122.54304135,37.974407985,0.07941,1141,101.6,7874,1,440.2,289.6,32.0,102.40000000000002
7875,-122.5434671,37.97452992,-122.5441699,37.97470075,-122.5438185,37.974615335,0.064465,1141,101.6,7875,1,512.3,286.8,155.0,131.8
