,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_1,0.0,0.0,0.00093325,0.0254,0.068625,0.0137525
segment_2,0.0,0.0,0.010355,0.1159,0.19585,0.046175
segment_3,0.0,0.0,0.0003555,0.002945,0.0035475,0.00208025
segment_4,0.0,0.0,0.00096625,0.0096775,0.032725,0.009305
segment_5,0.0,0.0,0.0,0.01346,0.129025,0.018715
segment_6,0.0,0.0,0.00117825,0.0083725,0.010065,0.00672
segment_7,0.0,0.0,0.0001704,0.00209,0.00655,0.00224475
segment_8,0.0,0.0,0.0025975,0.0657,0.138325,0.028375
segment_9,0.0,0.0,0.00194125,0.04605,0.111375,0.02189
segment_10,0.0,0.0,0.0009185,0.0240275,0.0673,0.0131575
segment_11,0.0,0.0,0.00093025,0.034575,0.092075,0.0178225
segment_12,0.0,0.0,0.0014515,0.03695,0.090575,0.0177225
segment_13,0.0,0.0,0.003225,0.064225,0.1472,0.029075
segment_14,0.0,0.0,4.8425e-05,0.00217825,0.0161525,0.00345
segment_15,0.0,0.0,0.00584,0.090325,0.158875,0.036625
segment_16,0.0,0.0,0.00182,0.04265,0.1052,0.0211225
segment_17,0.0,0.0,0.00096975,0.025825,0.0678,0.013745
segment_18,0.0,0.0,0.0009625,0.02585,0.068725,0.0138125
segment_19,0.0,0.0,0.00051525,0.00239175,0.012245,0.003495
segment_20,0.0,0.0,0.000715,0.01567,0.0483,0.0099475
segment_21,0.0,0.0,0.02036,0.1461,0.223925,0.058125
segment_22,0.0,0.0,0.0,0.032375,0.204625,0.0269
segment_23,0.0,0.0,0.0019505,0.223275,0.25,0.06615
segment_24,0.0,0.0,0.02466,0.25,0.25,0.088175
segment_25,0.0,0.0,0.0121475,0.25,0.25,0.07985
segment_26,0.0,0.0,0.0,0.035275,0.21195,0.0278
segment_27,0.0,0.0,0.0005035,0.0030025,0.003335,0.00184475
segment_28,0.0,0.0,2.33325e-05,0.00236225,0.0182625,0.0040325
segment_29,0.0,0.0,0.0004325,0.0022895,0.0105475,0.00316
segment_30,0.0,0.0,0.010045,0.12395,0.215875,0.04875
segment_31,0.0,0.0,8.615e-05,0.00204975,0.010565,0.0027675
segment_32,0.0,0.0,0.000582,0.008685,0.03895,0.0095
segment_33,0.0,0.0,0.031225,0.25,0.25,0.09285
segment_34,0.0,0.0,0.20605,0.25,0.25,0.145175
segment_35,0.0,0.0,0.175625,0.25,0.25,0.1395
segment_36,0.0,0.0,0.0218975,0.25,0.25,0.086625
segment_37,0.0,0.0,0.0006275,0.0088075,0.040025,0.009615
segment_38,0.0,0.0,0.003415,0.070275,0.136275,0.02985
segment_39,0.0,0.0,0.0120425,0.136375,0.228425,0.05195
segment_40,0.0,0.0,0.00133375,0.03045,0.080375,0.01638
segment_41,0.0,0.0,0.0195375,0.14775,0.223225,0.05805
segment_42,0.0,0.0,0.000242775,0.0085675,0.04535,0.00855
segment_43,0.0,0.0,0.0,0.182725,0.25,0.059725
segment_44,0.0,0.0,0.054375,0.25,0.25,0.102875
segment_45,0.0,0.0,0.067925,0.25,0.25,0.1064
segment_46,0.0,0.0,0.0,0.13485,0.25,0.051425
segment_47,0.0,0.0,0.00070475,0.0051225,0.00595,0.0034775
segment_48,0.0,0.0,0.0,0.0051025,0.036225,0.006935
segment_49,0.0,0.0,0.0012815,0.033375,0.08345,0.0174475
segment_50,0.0,0.0,0.00066175,0.013905,0.04955,0.01003
segment_51,0.0,0.0,0.0069275,0.094425,0.16825,0.038525
segment_52,0.0,0.0,0.000488,0.0114175,0.04505,0.0087525
segment_53,0.0,0.0,0.00039225,0.01024,0.0406,0.008385
segment_54,0.0,0.0,0.0006765,0.01469,0.05255,0.0103425
segment_55,0.0,0.0,0.00049775,0.028475,0.0836,0.0156975
segment_56,0.0,0.0,0.00072125,0.0045025,0.005495,0.003285
segment_57,0.0,0.0,0.0,0.0051475,0.0341,0.00636
segment_58,0.0,0.0,0.000766,0.0147375,0.050975,0.01039
segment_59,0.0,0.0,0.0002845,0.00882,0.03535,0.007155
segment_60,0.0,0.0,0.00018565,0.001405,0.00219775,0.00131575
segment_61,0.0,0.0,0.00127975,0.038525,0.100775,0.019125
segment_62,0.0,0.0,0.00039375,0.00213675,0.00239875,0.0012815
segment_63,0.0,0.0,0.0,0.032,0.201275,0.02675
segment_64,0.0,0.0,0.0089975,0.25,0.25,0.074875
segment_65,0.0,0.0,0.0090825,0.25,0.25,0.074975
segment_66,0.0,0.0,0.0,0.030675,0.204525,0.0268
segment_67,0.0,0.0,0.0198975,0.1456,0.224575,0.057725
segment_68,0.0,0.0,0.0208575,0.15245,0.23365,0.05975
segment_69,0.0,0.0,0.0002715,0.00168,0.0030825,0.0016115
segment_70,0.0,0.0,0.0092,0.1093,0.181925,0.043325
segment_71,0.0,0.0,7.9775e-06,6.255e-05,7.645e-05,3.425e-05
segment_72,0.0,0.0,0.000925,0.0091,0.017565,0.008075
segment_73,0.0,0.0,0.0192375,0.25,0.25,0.08575
segment_74,0.0,0.0,0.1677,0.25,0.25,0.137775
segment_75,0.0,0.0,0.169375,0.25,0.25,0.137975
segment_76,0.0,0.0,0.0186775,0.25,0.25,0.08525
segment_77,0.0,0.0,0.0009605,0.0089275,0.01445,0.007715
segment_78,0.0,0.0,3.3725e-05,0.00022785,0.00028175,0.000133125
segment_79,0.0,0.0,0.0096875,0.116125,0.188175,0.045275
