ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,section_crossed,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,beta_crossing,psi_dip,theta_rake
915,-121.9898817,38.62066414,-121.9889313,38.62065393,-121.9894065,38.620659035,0.082575,899,76.2,915,1,844.3,90.2,166.0,104.2,,,844.3,-121.9894065,38.620659035,0.25,135,15,45
916,-121.9889313,38.62065393,-121.987981,38.62064372,-121.98845615,38.620648825,0.082566,899,76.2,916,1,927.1,90.2,166.0,104.2,,,927.1,-121.98845615000002,38.620648825,0.25,135,15,45
917,-121.987981,38.62064372,-121.9870307,38.62063351,-121.98750585,38.620638615,0.082566,899,76.2,917,1,1009.8,90.2,165.0,105.2,,,1009.8,-121.98750585,38.620638615,0.25,135,15,45
918,-121.9870307,38.62063351,-121.9860804,38.6206233,-121.98655555,38.620628405,0.082566,899,76.2,918,1,1092.6,90.2,122.0,148.20000000000002,,,1092.6,-121.98655555,38.620628405000005,0.25,135,15,45
919,-121.9860804,38.6206233,-121.9851301,38.62061309,-121.98560525,38.620618195,0.082566,899,76.2,919,1,1175.3,90.2,154.0,116.2,,,1175.3,-121.98560525000002,38.620618195,0.25,135,15,45
920,-121.9851301,38.62061309,-121.9841585,38.6206032,-121.9846443,38.620608145,0.084416,899,76.2,920,1,1259.0,90.1,164.0,106.10000000000002,,,1259.0,-121.9846443,38.620608145,0.25,135,15,45
921,-121.9841585,38.6206032,-121.9831869,38.6205933,-121.9836727,38.62059825,0.084416,899,76.2,921,1,1343.6,90.1,109.0,161.10000000000002,,,1343.6,-121.9836727,38.620598249999986,0.25,135,15,45
922,-121.9831869,38.6205933,-121.9822153,38.62058341,-121.9827011,38.620588355,0.084416,899,76.2,922,1,1428.2,90.1,127.0,143.09999999999997,,,1428.2,-121.98270110000001,38.620588354999995,0.25,135,15,45
923,-121.9822153,38.62058341,-121.9813244,38.62058569,-121.98176985,38.62058455,0.077398,899,76.2,923,1,1438.8,89.2,164.0,105.20000000000002,,,1438.8,-121.98176985,38.62058454999999,0.25,135,15,45
924,-121.9813244,38.62058569,-121.9804334,38.62058798,-121.9808789,38.620586835,0.077407,899,76.2,924,1,1361.3,89.2,174.0,95.2,,,1361.3,-121.9808789,38.620586835,0.25,135,15,45
925,-121.9804334,38.62058798,-121.9795424,38.62059026,-121.9799879,38.62058912,0.077407,899,76.2,925,1,1283.7,89.2,155.0,114.2,,,1283.7,-121.9799879,38.62058912,0.25,135,15,45
926,-121.9795424,38.62059026,-121.9785266,38.62058635,-121.9790345,38.620588305,0.08825,899,76.2,926,1,1200.7,89.6,105.0,164.60000000000002,,,1200.7,-121.97903450000001,38.62058830499999,0.25,135,15,45
927,-121.9785266,38.62058635,-121.9775107,38.62058244,-121.97801865,38.620584395,0.088259,899,76.2,927,1,1112.2,89.6,149.0,120.6,,,1112.2,-121.97801865000001,38.62058439500001,0.25,135,15,45
928,-121.9775107,38.62058244,-121.97661,38.62054667,-121.97706035,38.620564555,0.07835,899,76.2,928,1,1028.8,92.3,161.0,111.3,,,1028.8,-121.97706035000002,38.62056455500001,0.25,135,15,45
929,-121.97661,38.62054667,-121.9757092,38.62051091,-121.9761596,38.62052879,0.078359,899,76.2,929,1,950.2,92.3,173.0,99.3,,,950.2,-121.97615960000002,38.62052879000001,0.25,135,15,45
930,-121.9757092,38.62051091,-121.9748084,38.62047514,-121.9752588,38.620493025,0.078359,899,76.2,930,1,871.7,92.3,166.0,106.3,,,871.7,-121.9752588,38.620493025,0.25,135,15,45
931,-121.9748084,38.62047514,-121.9739076,38.62043937,-121.974358,38.620457255,0.078359,899,76.2,931,1,793.2,92.3,166.0,106.3,,,793.2,-121.974358,38.620457255,0.25,135,15,45
932,-121.9739076,38.62043937,-121.9728181,38.62044099,-121.97336285,38.62044018,0.094652,899,76.2,932,1,706.5,89.3,145.0,124.3,,,706.5,-121.97336285000002,38.620440179999996,0.25,135,15,45
933,-121.9728181,38.62044099,-121.9717286,38.6204426,-121.97227335,38.620441795,0.094652,899,76.2,933,1,611.7,89.3,95.0,174.30000000000004,,,611.7,-121.97227335,38.620441795,0.25,135,15,45
934,-121.9717286,38.6204426,-121.9706391,38.62044422,-121.97118385,38.62044341,0.094652,899,76.2,934,1,516.8,89.2,108.0,161.20000000000002,,,516.8,-121.97118385,38.62044341,0.25,135,15,45
935,-121.9706391,38.62044422,-121.9695496,38.62044583,-121.97009435,38.620445025,0.094652,899,76.2,935,1,421.9,89.2,120.0,149.20000000000002,,,421.9,-121.97009435,38.62044502500001,0.25,135,15,45
936,-121.9695496,38.62044583,-121.9684743,38.62043615,-121.96901195,38.62044099,0.093424,899,76.2,936,1,327.7,90.0,126.0,144.0,,,327.7,-121.96901195000001,38.62044099,0.25,135,15,45
937,-121.9684743,38.62043615,-121.9673989,38.62042647,-121.9679366,38.62043131,0.093433,899,76.2,937,1,234.1,90.0,102.0,168.0,,,234.1,-121.96793660000002,38.62043131,0.25,135,15,45
938,-121.9673989,38.62042647,-121.9663235,38.62041679,-121.9668612,38.62042163,0.093433,899,76.2,938,1,140.4,90.0,102.0,168.0,,,140.4,-121.9668612,38.62042163,0.25,135,15,45
