d_pipe_mean,d_pipe_sigma,d_pipe_low,d_pipe_high,d_pipe_dist_type,soil_type,soil_density,t_pipe_mean,t_pipe_sigma,t_pipe_low,t_pipe_high,t_pipe_dist_type,sigma_y_mean,sigma_y_sigma,sigma_y_low,sigma_y_high,sigma_y_dist_type,n_param_mean,n_param_sigma,n_param_low,n_param_high,n_param_dist_type,r_param_mean,r_param_sigma,r_param_low,r_param_high,r_param_dist_type,alpha_backfill_mean,alpha_backfill_sigma,alpha_backfill_low,alpha_backfill_high,alpha_backfill_dist_type,s_u_backfill_mean,s_u_backfill_sigma,s_u_backfill_low,s_u_backfill_high,s_u_backfill_dist_type,gamma_backfill_mean,gamma_backfill_sigma,gamma_backfill_low,gamma_backfill_high,gamma_backfill_dist_type,h_pipe_mean,h_pipe_sigma,h_pipe_low,h_pipe_high,h_pipe_dist_type,phi_backfill_mean,phi_backfill_sigma,phi_backfill_low,phi_backfill_high,phi_backfill_dist_type,delta_backfill_mean,delta_backfill_sigma,delta_backfill_low,delta_backfill_high,delta_backfill_dist_type,op_press_mean,op_press_sigma,op_press_low,op_press_high,op_press_dist_type,l_anchor_mean,l_anchor_sigma,l_anchor_low,l_anchor_high,l_anchor_dist_type,beta_crossing_mean,beta_crossing_sigma,beta_crossing_low,beta_crossing_high,beta_crossing_dist_type,psi_dip_mean,psi_dip_sigma,psi_dip_low,psi_dip_high,psi_dip_dist_type,def_length_mean,def_length_sigma,def_length_low,def_length_high,def_length_dist_type,vs30_mean,vs30_sigma,vs30_low,vs30_high,vs30_dist_type,gw_depth_mean,gw_depth_sigma,gw_depth_low,gw_depth_high,gw_depth_dist_type,dist_river_mean,dist_river_sigma,dist_river_low,dist_river_high,dist_river_dist_type,dist_coast_mean,dist_coast_sigma,dist_coast_low,dist_coast_high,dist_coast_dist_type,dist_water_mean,dist_water_sigma,dist_water_low,dist_water_high,dist_water_dist_type,precip_mean,precip_sigma,precip_low,precip_high,precip_dist_type,steel_grade,level_to_run,GeologicUnit_Witter2006,GeologicUnit_BedrossianEtal2012
25.4,0.0,-inf,inf,normal,clay,soft,10.2,4.08,2.5,20.3,normal,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,6.868806528843562,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,75,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.4302225,0.293560379208524,-inf,inf,lognormal,-1.241673,0.47238072707743883,-inf,inf,lognormal,2.881465,0.14916638004195087,-inf,52.881466,lognormal,4.909731,0.14916638004195087,4.4497194,54.90973,lognormal,2.873803,0.14916638004195087,-inf,52.873802,lognormal,5.6326447,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,
25.4,0.0,-inf,inf,normal,clay,soft,10.2,4.08,2.5,20.3,normal,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,6.209193465720693,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,75,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.4302225,0.293560379208524,-inf,inf,lognormal,-0.9231088,0.47238072707743883,-inf,inf,lognormal,2.881465,0.14916638004195087,-inf,52.881466,lognormal,4.905354,0.14916638004195087,4.442777,54.905354,lognormal,2.8369882,0.14916638004195087,-inf,52.836987,lognormal,5.6326447,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,
50.8,0.0,-inf,inf,normal,clay,soft,10.2,4.08,2.5,20.3,normal,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,5.367843429196647,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,75,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.0846896,0.47238072707743883,-inf,inf,lognormal,0.6704938,0.14916638004195087,-inf,50.670494,lognormal,3.5301566,0.14916638004195087,-inf,53.530155,lognormal,0.6233321,0.14916638004195087,-inf,50.623333,lognormal,6.0679626,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,
50.8,0.0,-inf,inf,normal,clay,soft,10.2,4.08,2.5,20.3,normal,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,2.0014800002101243,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,75,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,6.103189,0.293560379208524,-inf,inf,lognormal,3.0238328,0.47238072707743883,-inf,inf,lognormal,0.7910602,0.14916638004195087,-inf,50.79106,lognormal,3.4493928,0.14916638004195087,-inf,53.449394,lognormal,0.73215806,0.14916638004195087,-inf,50.73216,lognormal,6.6359468,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,
76.2,0.0,-inf,inf,normal,clay,soft,10.2,4.08,2.5,20.3,normal,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,7.593474943713286,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,75,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.4302225,0.293560379208524,-inf,inf,lognormal,-1.0715709,0.47238072707743883,-inf,inf,lognormal,-0.039149396,0.14916638004195087,-inf,49.96085,lognormal,4.7782683,0.14916638004195087,4.232631,54.778267,lognormal,-0.58545476,0.14916638004195087,-inf,49.414547,lognormal,6.5305862,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,
76.2,0.0,-inf,inf,normal,clay,soft,10.2,4.08,2.5,20.3,normal,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,3.2068032436339315,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,75,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.4302225,0.293560379208524,-inf,inf,lognormal,0.6300178,0.47238072707743883,-inf,inf,lognormal,0.52371776,0.14916638004195087,-inf,50.523716,lognormal,4.7264466,0.14916638004195087,4.1414456,54.726448,lognormal,0.37042603,0.14916638004195087,-inf,50.370426,lognormal,6.6687365,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,
76.2,0.0,-inf,inf,normal,clay,soft,10.2,4.08,2.5,20.3,normal,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,4.539030383483547,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,75,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.4302225,0.293560379208524,-inf,inf,lognormal,-0.5814144,0.47238072707743883,-inf,inf,lognormal,0.711672,0.14916638004195087,-inf,50.711674,lognormal,4.651426,0.14916638004195087,4.002489,54.651424,lognormal,0.91371113,0.14916638004195087,-inf,50.91371,lognormal,6.6359468,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,
76.2,0.0,-inf,inf,normal,clay,soft,10.2,4.08,2.5,20.3,normal,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,4.71492104994721,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,75,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.4302225,0.293560379208524,-inf,inf,lognormal,-2.1245143,0.47238072707743883,-inf,inf,lognormal,0.711672,0.14916638004195087,-inf,50.711674,lognormal,4.642984,0.14916638004195087,3.9862726,54.642982,lognormal,0.91371113,0.14916638004195087,-inf,50.91371,lognormal,6.6359468,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,
76.2,0.0,-inf,inf,normal,clay,soft,10.2,4.08,2.5,20.3,normal,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,5.719327685991663,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,75,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,6.103189,0.293560379208524,-inf,inf,lognormal,1.0841517,0.47238072707743883,-inf,inf,lognormal,-0.3413418,0.14916638004195087,-inf,49.658657,lognormal,0.6121077,0.14916638004195087,-inf,50.612106,lognormal,-0.78776073,0.14916638004195087,-inf,49.21224,lognormal,7.3618836,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,
76.2,0.0,-inf,inf,normal,clay,soft,10.2,4.08,2.5,20.3,normal,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,2.4765384001174837,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,75,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.4302225,0.293560379208524,-inf,inf,lognormal,-1.310639,0.47238072707743883,-inf,inf,lognormal,0.9665533,0.14916638004195087,-inf,50.966553,lognormal,4.8979197,0.14916638004195087,4.430944,54.89792,lognormal,0.8063555,0.14916638004195087,-inf,50.806355,lognormal,6.731257,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,
