event_id,magnitude,annual_rate,dip,rake,dip_dir,z_tor,z_bor,fault_trace
74.0,6.25,0.00107,90.0,-6.3,52.7,0.0,12.1,"[[-116.993, 35.001, 0.0], [-117.039, 35.037, 0.0], [-117.085, 35.073, 0.0]]"
75.0,6.25,0.00107,90.0,-6.3,52.7,0.0,12.1,"[[-117.085, 35.073, 0.0], [-117.128, 35.106, 0.0], [-117.13, 35.109, 0.0], [-117.162, 35.154, 0.0], [-117.193, 35.198, 0.0]]"
76.0,6.25,0.00107,90.0,-6.3,52.7,0.0,12.1,"[[-117.193, 35.198, 0.0], [-117.214, 35.227, 0.0], [-117.225, 35.243, 0.0], [-117.257, 35.288, 0.0], [-117.289, 35.333, 0.0]]"
77.0,6.25,0.00107,90.0,-6.3,52.7,0.0,12.1,"[[-117.289, 35.333, 0.0], [-117.313, 35.366, 0.0], [-117.324, 35.375, 0.0], [-117.368, 35.412, 0.0]]"
78.0,6.75,0.000292,90.0,-6.3,52.7,0.0,12.1,"[[-116.993, 35.001, 0.0], [-117.039, 35.037, 0.0], [-117.085, 35.073, 0.0], [-117.128, 35.106, 0.0], [-117.13, 35.109, 0.0], [-117.162, 35.154, 0.0], [-117.193, 35.198, 0.0], [-117.214, 35.227, 0.0], [-117.225, 35.243, 0.0], [-117.257, 35.288, 0.0], [-117.289, 35.333, 0.0], [-117.313, 35.366, 0.0], [-117.324, 35.375, 0.0], [-117.368, 35.412, 0.0]]"
96.0,6.35,4.46e-06,60.0,-32.8,97.3,0.0,14.6,"[[-118.561, 35.372, 0.0], [-118.548, 35.404, 0.0], [-118.547, 35.419, 0.0], [-118.545, 35.439, 0.0]]"
100.0,6.55,0.000588,67.0,3.6,264.6,0.0,15.9,"[[-116.412, 34.122, 0.0], [-116.41, 34.094, 0.0], [-116.413, 34.061, 0.0], [-116.412, 34.059, 0.0], [-116.4, 34.035, 0.0], [-116.395, 34.013, 0.0], [-116.395, 33.998, 0.0], [-116.396, 33.989, 0.0]]"
105.0,6.35,0.000571,90.0,4.7,186.8,0.0,13.9,"[[-116.657, 34.932, 0.0], [-116.592, 34.911, 0.0], [-116.576, 34.906, 0.0], [-116.523, 34.899, 0.0]]"
106.0,6.35,0.000571,90.0,4.7,186.8,0.0,13.9,"[[-116.523, 34.899, 0.0], [-116.473, 34.893, 0.0], [-116.454, 34.895, 0.0], [-116.384, 34.899, 0.0], [-116.37, 34.899, 0.0]]"
107.0,6.85,0.00021,90.0,4.7,186.8,0.0,13.9,"[[-116.657, 34.932, 0.0], [-116.592, 34.911, 0.0], [-116.576, 34.906, 0.0], [-116.523, 34.899, 0.0], [-116.473, 34.893, 0.0], [-116.454, 34.895, 0.0], [-116.384, 34.899, 0.0], [-116.37, 34.899, 0.0]]"
124.0,6.35,0.000805,90.0,-9.7,52.5,0.0,13.9,"[[-116.222, 34.287, 0.0], [-116.247, 34.332, 0.0], [-116.264, 34.361, 0.0], [-116.28, 34.384, 0.0], [-116.314, 34.436, 0.0], [-116.342, 34.477, 0.0]]"
125.0,6.35,0.000805,90.0,-9.7,52.5,0.0,13.9,"[[-116.342, 34.477, 0.0], [-116.352, 34.486, 0.0], [-116.399, 34.53, 0.0], [-116.447, 34.574, 0.0], [-116.458, 34.585, 0.0]]"
126.0,6.35,0.000805,90.0,-9.7,52.5,0.0,13.9,"[[-116.458, 34.585, 0.0], [-116.486, 34.623, 0.0], [-116.495, 34.635, 0.0], [-116.527, 34.672, 0.0], [-116.529, 34.674, 0.0], [-116.561, 34.719, 0.0], [-116.564, 34.722, 0.0], [-116.596, 34.752, 0.0]]"
127.0,6.35,0.000805,90.0,-9.7,52.5,0.0,13.9,"[[-116.596, 34.752, 0.0], [-116.61, 34.768, 0.0], [-116.652, 34.816, 0.0], [-116.689, 34.857, 0.0], [-116.697, 34.862, 0.0]]"
128.0,6.35,0.000805,90.0,-9.7,52.5,0.0,13.9,"[[-116.697, 34.862, 0.0], [-116.754, 34.898, 0.0], [-116.795, 34.924, 0.0], [-116.813, 34.931, 0.0], [-116.837, 34.939, 0.0], [-116.873, 34.963, 0.0]]"
129.0,6.85,0.000171,90.0,-9.7,52.5,0.0,13.9,"[[-116.153, 34.173, 0.0], [-116.185, 34.225, 0.0], [-116.217, 34.278, 0.0], [-116.222, 34.287, 0.0], [-116.247, 34.332, 0.0], [-116.264, 34.361, 0.0], [-116.28, 34.384, 0.0], [-116.314, 34.436, 0.0], [-116.342, 34.477, 0.0], [-116.352, 34.486, 0.0], [-116.399, 34.53, 0.0], [-116.447, 34.574, 0.0], [-116.458, 34.585, 0.0]]"
130.0,6.85,0.000171,90.0,-9.7,52.5,0.0,13.9,"[[-116.458, 34.585, 0.0], [-116.486, 34.623, 0.0], [-116.495, 34.635, 0.0], [-116.527, 34.672, 0.0], [-116.529, 34.674, 0.0], [-116.561, 34.719, 0.0], [-116.564, 34.722, 0.0], [-116.596, 34.752, 0.0], [-116.61, 34.768, 0.0], [-116.652, 34.816, 0.0], [-116.689, 34.857, 0.0], [-116.697, 34.862, 0.0], [-116.754, 34.898, 0.0], [-116.795, 34.924, 0.0], [-116.813, 34.931, 0.0], [-116.837, 34.939, 0.0], [-116.873, 34.963, 0.0]]"
