,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_8253,0.0,0.0,0.0,0.0,0.0,0.0
segment_8254,0.0,0.0,0.0,0.0,0.0,0.0
segment_8255,0.0,0.0,0.0,0.0,0.0,0.0
segment_8256,0.0,0.0,0.0,0.0,0.0,0.0
segment_8257,0.0,0.0,0.0,0.0,0.0,0.0
segment_8258,0.0,0.0,0.0,0.0,0.0,0.0
segment_8259,0.0,0.0,0.0,0.0,0.0,0.0
segment_8260,0.0,0.0,0.0,0.0,0.0,0.0
segment_8261,0.0,0.0,0.0,0.0,0.0,0.0
segment_8262,0.0,0.0,0.0,0.0,0.0,0.0
segment_8263,0.0,0.0,0.0,0.0,0.0,0.0
segment_8264,0.0,0.0,0.0,0.0,0.0,0.0
segment_8265,0.0,0.0,0.0,0.0,0.0,0.0
segment_8266,0.0,0.0,0.0,0.0,0.0,0.0
segment_8267,0.0,0.0,0.0,0.0,0.0,0.0
segment_8268,0.0,0.0,0.0,0.0,0.0,0.0
segment_8269,0.0,0.0,0.0,0.0,0.0,0.0
segment_8270,0.0,0.0,0.0,0.0,0.0,0.0
segment_8271,0.0,0.0,0.0,0.0,0.0,0.0
segment_8272,0.0,0.0,0.0,0.0,0.0,0.0
segment_8273,0.0,0.0,0.0,0.0,0.0,0.0
segment_8274,0.0,0.0,0.0,0.0,0.0,0.0
segment_8275,0.0,0.0,0.0,0.0,0.0,0.0
segment_8276,0.0,0.0,0.0,0.0,0.0,0.0
segment_8277,0.0,0.0,0.0,0.0,0.0,0.0
segment_8278,0.0,0.0,0.0,0.0,0.0,0.0
segment_8279,0.0,0.0,0.0,0.0,0.0,0.0
segment_8280,0.0,0.0,0.0,0.0,0.0,0.0
segment_8281,0.0,0.0,0.0,0.0,0.0,0.0
segment_8282,0.0,0.0,0.0,0.0,0.0,0.0
segment_8283,0.0,0.0,0.0,0.0,0.0,0.0
segment_8284,0.0,0.0,0.0,0.0,0.0,0.0
segment_8285,0.0,0.0,0.0,0.0,0.0,0.0
segment_8286,0.0,0.0,0.0,0.0,0.0,0.0
segment_8287,0.0,0.0,0.0,0.0,0.0,0.0
segment_8288,0.0,0.0,0.0,0.0,0.0,0.0
segment_8289,0.0,0.0,0.0,0.0,0.0,0.0
segment_8290,0.0,0.0,0.0,0.0,0.0,0.0
segment_8291,0.0,0.0,0.0,0.0,0.0,0.0
segment_8292,0.0,0.0,0.0,0.0,0.0,0.0
segment_8293,0.0,0.0,0.0,0.0,0.0,0.0
segment_8294,0.0,0.0,0.0,0.0,0.0,0.0
segment_8295,0.0,0.0,0.0,0.0,0.0,0.0
segment_8296,0.0,0.0,0.0,0.0,0.0,0.0
segment_8297,0.0,0.0,0.0,0.0,0.0,0.0
segment_8298,0.0,0.0,0.0,0.0,0.0,0.0
segment_8299,0.0,0.0,0.0,0.0,0.0,0.0
segment_8300,0.0,0.0,0.0,0.0,0.0,0.0
segment_8301,0.0,0.0,0.0,0.0,0.0,0.0
segment_8302,0.0,0.0,0.0,0.0,0.0,0.0
segment_8303,0.0,0.0,0.0,0.0,0.0,0.0
segment_8304,0.0,0.0,0.0,0.0,0.0,0.0
segment_8305,0.0,0.0,0.0,0.0,0.0,0.0
segment_8306,0.0,0.0,0.0,0.0,0.0,0.0
segment_8307,0.0,0.0,0.0,0.0,0.0,0.0
segment_8308,0.0,0.0,0.0,0.0,0.0,0.0
segment_8309,0.0,0.0,0.0,0.0,0.0,0.0
segment_8310,0.0,0.0,0.0,0.0,0.0,0.0
segment_8311,0.0,0.0,0.0,0.0,0.0,0.0
segment_8312,0.0,0.0,0.0,0.0,0.0,0.0
segment_8313,0.0,0.0,0.0,0.0,0.0,0.0
segment_8314,0.0,0.0,0.0,0.0,0.0,0.0
segment_8315,0.0,0.0,0.0,0.0,0.0,0.0
segment_8316,0.0,0.0,0.0,0.0,0.0,0.0
segment_8317,0.0,0.0,0.0,0.0,0.0,0.0
segment_8318,0.0,0.0,0.0,0.0,0.0,0.0
segment_8319,0.0,0.0,0.0,0.0,0.0,0.0
segment_8320,0.0,0.0,0.0,0.0,0.0,0.0
segment_8321,0.0,0.0,0.0,0.0,0.0,0.0
segment_8322,0.0,0.0,0.0,0.0,0.0,0.0
segment_8323,0.0,0.0,0.0,0.0,0.0,0.0
segment_8324,0.0,0.0,0.0,0.0,0.0,0.0
segment_8325,0.0,0.0,0.0,0.0,0.0,0.0
segment_8326,0.0,0.0,0.0,0.0,0.0,0.0
segment_8327,0.0,0.0,0.0,0.0,0.0,0.0
segment_8328,0.0,0.0,0.0,0.0,0.0,0.0
segment_8329,0.0,0.0,0.0,0.0,0.0,0.0
segment_8330,0.0,0.0,0.0,0.0,0.0,0.0
segment_8331,0.0,0.0,0.0,0.0,0.0,0.0
