site_id,lon,lat,vs30,z1p0,z2p5,vs30_source
162,-118.5,34.28,351.9,0.35,3.75,0.0
163,-118.5,34.28,351.9,0.35,3.75,0.0
164,-118.5,34.28,351.9,0.35,3.75,0.0
165,-118.5,34.28,351.9,0.35,3.75,0.0
166,-118.5,34.28,351.9,0.35,3.75,0.0
167,-118.5,34.28,351.9,0.35,3.75,0.0
168,-118.5,34.28,351.9,0.35,3.75,0.0
169,-118.5,34.28,351.9,0.35,3.75,0.0
170,-118.5,34.28,351.9,0.35,3.75,0.0
171,-118.5,34.28,351.9,0.35,3.75,0.0
172,-118.5,34.28,351.9,0.35,3.75,0.0
173,-118.5,34.28,351.9,0.35,3.75,0.0
174,-118.5,34.28,351.9,0.35,3.75,0.0
175,-118.5,34.28,351.9,0.35,3.75,0.0
176,-118.5,34.28,351.9,0.35,3.75,0.0
177,-118.5,34.28,351.9,0.35,3.75,0.0
178,-118.5,34.28,351.9,0.35,3.75,0.0
