Period,e0,e1,e2,e3,e4,e5,e6,Mh,c1,c2,c3,Mref,Rref,h,Dc3Global,Dc3ChinaTrk,Dc3ItalyJapan,c,Vc,Vref,f1,f3,f4,f5,f6,f7,R1,R2,DfR,DfV,V1,V2,l1,l2,t1,t2
0.95,4.47E-01,4.75E-01,2.59E-01,4.67E-01,1.46E+00,-1.95E-01,1.64E-01,6.2,-1.19E+00,1.04E-01,-1.33E-03,4.5,1,5.72,0.00E+00,2.88E-03,-2.20E-03,-1.04E+00,1116.83,760,0,0.1,-1.12E-01,-8.41E-03,3.09E-01,1.81E-01,114.5,269.55,0.098,0.03,225,300,0.558,0.626,0.491,0.294
1,3.93E-01,4.22E-01,2.07E-01,4.12E-01,1.50E+00,-1.90E-01,1.79E-01,6.2,-1.19E+00,1.02E-01,-1.21E-03,4.5,1,5.74,0.00E+00,2.92E-03,-2.09E-03,-1.05E+00,1109.95,760,0,0.1,-1.05E-01,-8.44E-03,3.67E-01,2.08E-01,116.39,270,0.098,0.02,225,300,0.553,0.625,0.498,0.298
1.1,2.85E-01,3.14E-01,1.02E-01,3.02E-01,1.57E+00,-1.80E-01,2.10E-01,6.2,-1.20E+00,1.00E-01,-9.94E-04,4.5,1,5.82,0.00E+00,2.95E-03,-1.98E-03,-1.06E+00,1103.07,760,0,0.1,-9.38E-02,-8.47E-03,4.25E-01,2.33E-01,118.3,270.18,0.099,0.007,225,300,0.548,0.624,0.505,0.302
1.2,1.73E-01,2.03E-01,-6.20E-03,1.89E-01,1.63E+00,-1.71E-01,2.44E-01,6.2,-1.20E+00,9.85E-02,-8.03E-04,4.5,1,5.92,0.00E+00,2.98E-03,-1.86E-03,-1.06E+00,1096.04,760,0,0.1,-8.41E-02,-8.42E-03,4.81E-01,2.56E-01,120.19,269.42,0.1,0.002,225,300,0.543,0.623,0.511,0.306
1.3,6.15E-02,9.11E-02,-1.13E-01,7.43E-02,1.68E+00,-1.62E-01,2.78E-01,6.2,-1.20E+00,9.74E-02,-6.35E-04,4.5,1,6.01,0.00E+00,3.01E-03,-1.75E-03,-1.06E+00,1088.67,760,0,0.1,-7.58E-02,-8.29E-03,5.36E-01,2.76E-01,122.01,267.82,0.101,0.003,225,300,0.539,0.622,0.516,0.309
1.4,-4.58E-02,-1.57E-02,-2.16E-01,-3.61E-02,1.72E+00,-1.54E-01,3.10E-01,6.2,-1.20E+00,9.67E-02,-4.90E-04,4.5,1,6.1,0.00E+00,3.03E-03,-1.63E-03,-1.05E+00,1080.77,760,0,0.1,-6.85E-02,-8.06E-03,5.88E-01,2.94E-01,123.75,265.45,0.102,0.006,225,300,0.535,0.62,0.521,0.312
1.5,-1.50E-01,-1.19E-01,-3.14E-01,-1.44E-01,1.76E+00,-1.47E-01,3.39E-01,6.2,-1.21E+00,9.64E-02,-3.65E-04,4.5,1,6.18,0.00E+00,3.04E-03,-1.52E-03,-1.05E+00,1072.39,760,0,0.1,-6.20E-02,-7.71E-03,6.38E-01,3.09E-01,125.38,262.41,0.104,0.01,225,300,0.532,0.619,0.525,0.315
1.6,-2.49E-01,-2.17E-01,-4.07E-01,-2.47E-01,1.80E+00,-1.40E-01,3.66E-01,6.2,-1.21E+00,9.63E-02,-2.59E-04,4.5,1,6.26,0.00E+00,3.04E-03,-1.41E-03,-1.04E+00,1061.77,760,0,0.1,-5.59E-02,-7.23E-03,6.89E-01,3.24E-01,126.9,258.78,0.105,0.012,225,300,0.529,0.618,0.528,0.318
1.7,-3.41E-01,-3.08E-01,-4.93E-01,-3.45E-01,1.83E+00,-1.34E-01,3.91E-01,6.2,-1.21E+00,9.63E-02,-1.71E-04,4.5,1,6.33,0.00E+00,3.03E-03,-1.32E-03,-1.04E+00,1049.29,760,0,0.1,-5.03E-02,-6.66E-03,7.36E-01,3.37E-01,128.14,254.66,0.106,0.012,225,300,0.527,0.618,0.53,0.321
1.8,-4.30E-01,-3.96E-01,-5.74E-01,-4.38E-01,1.86E+00,-1.27E-01,4.12E-01,6.2,-1.21E+00,9.62E-02,-9.90E-05,4.5,1,6.4,0.00E+00,3.00E-03,-1.25E-03,-1.04E+00,1036.42,760,0,0.1,-4.51E-02,-6.03E-03,7.80E-01,3.50E-01,129.11,250.11,0.106,0.012,225,300,0.526,0.618,0.531,0.323
1.9,-5.13E-01,-4.77E-01,-6.49E-01,-5.27E-01,1.89E+00,-1.20E-01,4.32E-01,6.2,-1.21E+00,9.63E-02,-4.20E-05,4.5,1,6.48,0.00E+00,2.97E-03,-1.20E-03,-1.04E+00,1023.14,760,0,0.1,-4.04E-02,-5.40E-03,8.24E-01,3.64E-01,129.86,245.25,0.106,0.01,225,300,0.526,0.618,0.532,0.326
2,-5.87E-01,-5.50E-01,-7.15E-01,-6.07E-01,1.92E+00,-1.12E-01,4.48E-01,6.2,-1.22E+00,9.64E-02,0.00E+00,4.5,1,6.54,0.00E+00,2.92E-03,-1.17E-03,-1.04E+00,1009.49,760,0,0.1,-3.61E-02,-4.79E-03,8.71E-01,3.82E-01,130.37,240.14,0.105,0.008,225,300,0.526,0.618,0.532,0.329
2.2,-7.21E-01,-6.82E-01,-8.30E-01,-7.54E-01,1.97E+00,-9.80E-02,4.80E-01,6.2,-1.22E+00,9.65E-02,0.00E+00,4.5,1,6.66,0.00E+00,2.87E-03,-1.16E-03,-1.04E+00,995.52,760,0,0.1,-2.91E-02,-3.78E-03,9.20E-01,4.04E-01,130.67,229.55,0.103,0.005,225,300,0.527,0.619,0.533,0.332
2.4,-8.48E-01,-8.07E-01,-9.33E-01,-8.94E-01,2.02E+00,-8.38E-02,5.19E-01,6.2,-1.22E+00,9.62E-02,0.00E+00,4.5,1,6.73,0.00E+00,2.81E-03,-1.15E-03,-1.03E+00,981.33,760,0,0.1,-2.37E-02,-3.02E-03,9.69E-01,4.27E-01,130.81,219.05,0.1,0.003,225,300,0.528,0.619,0.533,0.335
2.5,-9.10E-01,-8.68E-01,-9.82E-01,-9.62E-01,2.04E+00,-7.63E-02,5.39E-01,6.2,-1.22E+00,9.61E-02,0.00E+00,4.5,1,6.77,0.00E+00,2.76E-03,-1.16E-03,-1.03E+00,966.94,760,0,0.1,-2.15E-02,-2.72E-03,1.02E+00,4.51E-01,130.81,214.04,0.097,0.002,225,300,0.53,0.619,0.534,0.337
2.6,-9.69E-01,-9.26E-01,-1.03E+00,-1.03E+00,2.06E+00,-6.89E-02,5.58E-01,6.2,-1.22E+00,9.61E-02,0.00E+00,4.5,1,6.81,0.00E+00,2.71E-03,-1.17E-03,-1.03E+00,952.34,760,0,0.1,-1.96E-02,-2.46E-03,1.06E+00,4.74E-01,130.72,209.32,0.094,0.001,225,300,0.531,0.62,0.535,0.34
2.8,-1.08E+00,-1.04E+00,-1.13E+00,-1.15E+00,2.10E+00,-5.52E-02,5.94E-01,6.2,-1.22E+00,9.67E-02,0.00E+00,4.5,1,6.87,0.00E+00,2.66E-03,-1.18E-03,-1.02E+00,937.52,760,0,0.1,-1.63E-02,-2.08E-03,1.10E+00,4.95E-01,130.57,201.08,0.091,0,225,300,0.532,0.619,0.536,0.342
3,-1.19E+00,-1.14E+00,-1.23E+00,-1.27E+00,2.13E+00,-4.33E-02,6.27E-01,6.2,-1.22E+00,9.76E-02,0.00E+00,4.5,1,6.93,0.00E+00,2.62E-03,-1.19E-03,-1.01E+00,922.43,760,0,0.1,-1.36E-02,-1.83E-03,1.13E+00,5.16E-01,130.36,195,0.088,0,225,300,0.534,0.619,0.537,0.344
3.2,-1.29E+00,-1.24E+00,-1.33E+00,-1.38E+00,2.15E+00,-3.44E-02,6.58E-01,6.2,-1.22E+00,9.86E-02,-2.30E-05,4.5,1,6.99,0.00E+00,2.59E-03,-1.19E-03,-1.00E+00,908.79,760,0,0.1,-1.10E-02,-1.67E-03,1.16E+00,5.34E-01,130.13,191.61,0.084,0,225,300,0.535,0.618,0.538,0.345
3.4,-1.39E+00,-1.33E+00,-1.42E+00,-1.48E+00,2.17E+00,-2.79E-02,6.88E-01,6.2,-1.22E+00,9.96E-02,-4.00E-05,4.5,1,7.08,0.00E+00,2.58E-03,-1.19E-03,-9.95E-01,896.15,760,0,0.1,-8.67E-03,-1.58E-03,1.19E+00,5.51E-01,129.9,190.73,0.081,0,225,300,0.535,0.618,0.54,0.346
3.5,-1.43E+00,-1.38E+00,-1.46E+00,-1.53E+00,2.18E+00,-2.50E-02,7.02E-01,6.2,-1.22E+00,1.00E-01,-4.50E-05,4.5,1,7.12,0.00E+00,2.57E-03,-1.17E-03,-9.91E-01,883.16,760,0,0.1,-7.57E-03,-1.55E-03,1.21E+00,5.70E-01,129.71,191.11,0.078,0,225,300,0.536,0.617,0.541,0.347
3.6,-1.48E+00,-1.42E+00,-1.50E+00,-1.58E+00,2.18E+00,-2.26E-02,7.15E-01,6.2,-1.22E+00,1.00E-01,-4.90E-05,4.5,1,7.16,0.00E+00,2.57E-03,-1.15E-03,-9.87E-01,870.05,760,0,0.1,-6.54E-03,-1.54E-03,1.23E+00,5.89E-01,129.56,191.98,0.075,0,225,300,0.536,0.616,0.542,0.348
3.8,-1.56E+00,-1.50E+00,-1.59E+00,-1.67E+00,2.19E+00,-1.84E-02,7.40E-01,6.2,-1.22E+00,1.01E-01,-5.30E-05,4.5,1,7.24,0.00E+00,2.59E-03,-1.12E-03,-9.78E-01,857.07,760,0,0.1,-4.70E-03,-1.52E-03,1.25E+00,6.09E-01,129.49,195.01,0.072,0,225,300,0.536,0.616,0.543,0.349
4,-1.64E+00,-1.57E+00,-1.67E+00,-1.75E+00,2.20E+00,-1.46E-02,7.63E-01,6.2,-1.22E+00,1.02E-01,-5.20E-05,4.5,1,7.32,0.00E+00,2.61E-03,-1.08E-03,-9.69E-01,844.48,760,0,0.1,-3.21E-03,-1.52E-03,1.27E+00,6.29E-01,129.49,199.45,0.07,0,225,300,0.536,0.616,0.543,0.349
4.2,-1.71E+00,-1.64E+00,-1.75E+00,-1.83E+00,2.21E+00,-1.22E-02,7.86E-01,6.2,-1.22E+00,1.03E-01,-4.70E-05,4.5,1,7.39,0.00E+00,2.62E-03,-1.02E-03,-9.60E-01,832.45,760,0,0.1,-2.10E-03,-1.52E-03,1.29E+00,6.52E-01,129.57,204.93,0.068,0,225,300,0.535,0.616,0.542,0.349
4.4,-1.78E+00,-1.71E+00,-1.82E+00,-1.90E+00,2.22E+00,-1.15E-02,8.08E-01,6.2,-1.22E+00,1.03E-01,-3.90E-05,4.5,1,7.46,0.00E+00,2.62E-03,-9.46E-04,-9.50E-01,821.18,760,0,0.1,-1.32E-03,-1.50E-03,1.30E+00,6.74E-01,129.71,211.09,0.066,0,225,300,0.534,0.617,0.54,0.347
4.6,-1.85E+00,-1.77E+00,-1.89E+00,-1.97E+00,2.22E+00,-1.18E-02,8.31E-01,6.2,-1.22E+00,1.03E-01,-2.70E-05,4.5,1,7.52,0.00E+00,2.62E-03,-8.44E-04,-9.41E-01,810.79,760,0,0.1,-8.04E-04,-1.48E-03,1.31E+00,6.97E-01,129.87,217.56,0.064,0,225,300,0.533,0.619,0.538,0.345
4.8,-1.91E+00,-1.83E+00,-1.96E+00,-2.03E+00,2.23E+00,-1.29E-02,8.52E-01,6.2,-1.22E+00,1.03E-01,-1.40E-05,4.5,1,7.64,0.00E+00,2.62E-03,-7.18E-04,-9.30E-01,801.41,760,0,0.1,-4.71E-04,-1.46E-03,1.32E+00,7.19E-01,130.05,223.99,0.063,0,225,300,0.531,0.621,0.535,0.341
5,-1.97E+00,-1.89E+00,-2.02E+00,-2.09E+00,2.23E+00,-1.49E-02,8.73E-01,6.2,-1.22E+00,1.04E-01,0.00E+00,4.5,1,7.78,0.00E+00,2.60E-03,-5.71E-04,-9.20E-01,793.13,760,0,0.1,-2.55E-04,-1.44E-03,1.33E+00,7.38E-01,130.22,230,0.061,0,225,300,0.528,0.622,0.532,0.335
5.5,-2.11E+00,-2.02E+00,-2.19E+00,-2.23E+00,2.24E+00,-1.95E-02,9.15E-01,6.2,-1.22E+00,1.05E-01,0.00E+00,4.5,1,8.07,0.00E+00,2.59E-03,-4.08E-04,-8.92E-01,785.73,760,0,0.1,7.24E-05,-1.40E-03,1.35E+00,7.78E-01,130.39,241.86,0.06,0,225,300,0.526,0.624,0.528,0.329
6,-2.24E+00,-2.16E+00,-2.37E+00,-2.36E+00,2.24E+00,-2.64E-02,9.49E-01,6.2,-1.22E+00,1.08E-01,0.00E+00,4.5,1,8.48,0.00E+00,2.58E-03,-2.28E-04,-8.63E-01,779.91,760,0,0.1,1.88E-04,-1.38E-03,1.35E+00,8.03E-01,130.53,249.34,0.059,0,225,300,0.524,0.625,0.524,0.321
6.5,-2.37E+00,-2.28E+00,-2.53E+00,-2.48E+00,2.22E+00,-3.95E-02,9.76E-01,6.2,-1.23E+00,1.12E-01,0.00E+00,4.5,1,8.9,0.00E+00,2.59E-03,-3.64E-05,-8.34E-01,775.6,760,0,0.1,1.59E-04,-1.37E-03,1.35E+00,8.15E-01,130.63,252.94,0.059,0,225,300,0.52,0.634,0.517,0.312
7,-2.48E+00,-2.39E+00,-2.68E+00,-2.59E+00,2.17E+00,-5.91E-02,9.98E-01,6.2,-1.24E+00,1.19E-01,0.00E+00,4.5,1,9.2,0.00E+00,2.60E-03,1.68E-04,-8.05E-01,772.68,760,0,0.1,5.59E-05,-1.37E-03,1.34E+00,8.16E-01,130.7,253.12,0.059,0,225,300,0.515,0.636,0.514,0.302
7.5,-2.59E+00,-2.49E+00,-2.82E+00,-2.69E+00,2.12E+00,-8.16E-02,1.01E+00,6.2,-1.25E+00,1.25E-01,0.00E+00,4.5,1,9.48,0.00E+00,2.60E-03,3.85E-04,-7.77E-01,771.01,760,0,0.1,-5.46E-05,-1.37E-03,1.33E+00,8.09E-01,130.72,250.39,0.058,0,225,300,0.512,0.634,0.511,0.27
8,-2.69E+00,-2.58E+00,-2.94E+00,-2.78E+00,2.06E+00,-1.04E-01,1.02E+00,6.2,-1.27E+00,1.31E-01,0.00E+00,4.5,1,9.57,0.00E+00,2.63E-03,7.20E-04,-7.50E-01,760.81,760,0,0.1,-1.17E-04,-1.37E-03,1.31E+00,7.95E-01,130.87,245.23,0.059,0,225,300,0.51,0.63,0.507,0.278
8.5,-2.78E+00,-2.68E+00,-3.06E+00,-2.88E+00,2.01E+00,-1.21E-01,1.03E+00,6.2,-1.28E+00,1.37E-01,0.00E+00,4.5,1,9.62,0.00E+00,2.67E-03,9.40E-04,-7.25E-01,764.5,760,0,0.1,-1.31E-04,-1.37E-03,1.28E+00,7.77E-01,130.71,238.13,0.059,0,225,300,0.509,0.622,0.503,0.265
9,-2.88E+00,-2.77E+00,-3.17E+00,-2.98E+00,1.96E+00,-1.34E-01,1.05E+00,6.2,-1.30E+00,1.43E-01,0.00E+00,4.5,1,9.66,0.00E+00,2.76E-03,1.13E-03,-7.02E-01,768.07,760,0,0.1,-1.08E-04,-1.37E-03,1.25E+00,7.54E-01,130.5,229.56,0.06,0,225,300,0.509,0.613,0.498,0.252
9.5,-2.98E+00,-2.86E+00,-3.28E+00,-3.08E+00,1.92E+00,-1.44E-01,1.06E+00,6.2,-1.31E+00,1.48E-01,0.00E+00,4.5,1,9.66,0.00E+00,2.89E-03,1.31E-03,-6.79E-01,771.55,760,0,0.1,-6.00E-05,-1.36E-03,1.22E+00,7.29E-01,130.26,220.02,0.06,0,225,300,0.509,0.604,0.492,0.239
10,-3.07E+00,-2.95E+00,-3.38E+00,-3.17E+00,1.88E+00,-1.51E-01,1.07E+00,6.2,-1.33E+00,1.52E-01,0.00E+00,4.5,1,9.66,0.00E+00,3.03E-03,1.49E-03,-6.56E-01,775,760,0,0.1,0.00E+00,-1.36E-03,1.18E+00,7.03E-01,130,210,0.06,0,225,300,0.51,0.604,0.487,0.239
