SectionID,SectionName,SectionTrace
1781,"San Andreas (Carrizo) rev, Subsection 6","[[-119.52903, 35.02748, 0.0], [-119.4711, 34.9878, 0.0], [-119.46673, 34.985, 0.0]]"
940,"San Andreas (Carrizo) rev, Subsection 7","[[-119.46673, 34.985, 0.0], [-119.4029, 34.9441, 0.0]]"
836,"San Andreas (Big Bend), Subsection 0","[[-119.40286, 34.94406, 0.0], [-119.36286, 34.91571, 0.0], [-119.33964, 34.90786, 0.0]]"
989,"San Andreas (Big Bend), Subsection 1","[[-119.33964, 34.90786, 0.0], [-119.26758, 34.88345, 0.0]]"
441,"San Andreas (Big Bend), Subsection 2","[[-119.26758, 34.88345, 0.0], [-119.21, 34.8639, 0.0], [-119.19479, 34.86096, 0.0]]"
282,"San Andreas (Big Bend), Subsection 3","[[-119.19479, 34.86096, 0.0], [-119.11896, 34.84625, 0.0]]"
1297,"San Andreas (Big Bend), Subsection 4","[[-119.11896, 34.84625, 0.0], [-119.04315, 34.8315, 0.0]]"
2,"San Andreas (Big Bend), Subsection 5","[[-119.04315, 34.8315, 0.0], [-119.03009, 34.82896, 0.0], [-118.96669, 34.8193, 0.0]]"
814,"San Andreas (Big Bend), Subsection 6","[[-118.96669, 34.8193, 0.0], [-118.89012, 34.8076, 0.0]]"
531,"San Andreas (Mojave N), Subsection 0","[[-118.89012, 34.8076, 0.0], [-118.88764, 34.80722, 0.0], [-118.81363, 34.78634, 0.0]]"
2191,"San Andreas (Mojave N), Subsection 1","[[-118.81363, 34.78634, 0.0], [-118.76731, 34.77325, 0.0], [-118.73733, 34.76461, 0.0]]"
1175,"San Andreas (Mojave N), Subsection 2","[[-118.73733, 34.76461, 0.0], [-118.66116, 34.74262, 0.0]]"
1090,"San Andreas (Mojave N), Subsection 3","[[-118.66116, 34.74262, 0.0], [-118.58504, 34.72058, 0.0]]"
2260,"San Andreas (Mojave N), Subsection 4","[[-118.58504, 34.72058, 0.0], [-118.50895, 34.6985, 0.0]]"
2345,"San Andreas (Mojave S), Subsection 0","[[-118.50895, 34.6985, 0.0], [-118.44398, 34.67446, 0.0]]"
1356,"San Andreas (Mojave S), Subsection 1","[[-118.44398, 34.67446, 0.0], [-118.37905, 34.65038, 0.0]]"
160,"San Andreas (Mojave S), Subsection 2","[[-118.37905, 34.65038, 0.0], [-118.31416, 34.62628, 0.0]]"
1091,"San Andreas (Mojave S), Subsection 3","[[-118.31416, 34.62628, 0.0], [-118.24931, 34.60214, 0.0]]"
431,"San Andreas (Mojave S), Subsection 4","[[-118.24931, 34.60214, 0.0], [-118.18449, 34.57796, 0.0]]"
664,"San Andreas (Mojave S), Subsection 5","[[-118.18449, 34.57796, 0.0], [-118.11971, 34.55375, 0.0]]"
432,"San Andreas (Mojave S), Subsection 6","[[-118.11971, 34.55375, 0.0], [-118.10394, 34.54785, 0.0], [-118.05582, 34.52804, 0.0]]"
1677,"San Andreas (Mojave S), Subsection 7","[[-118.05582, 34.52804, 0.0], [-117.99225, 34.50181, 0.0]]"
1795,"San Andreas (Mojave S), Subsection 8","[[-117.99225, 34.50181, 0.0], [-117.92872, 34.47556, 0.0]]"
1527,"San Andreas (Mojave S), Subsection 9","[[-117.92872, 34.47556, 0.0], [-117.86522, 34.44927, 0.0]]"
998,"San Andreas (Mojave S), Subsection 10","[[-117.86522, 34.44927, 0.0], [-117.80177, 34.42295, 0.0]]"
1997,"San Andreas (Mojave S), Subsection 11","[[-117.80177, 34.42295, 0.0], [-117.75358, 34.40293, 0.0], [-117.73841, 34.39652, 0.0]]"
927,"San Andreas (Mojave S), Subsection 12","[[-117.73841, 34.39652, 0.0], [-117.67523, 34.36981, 0.0]]"
689,"San Andreas (Mojave S), Subsection 13","[[-117.67523, 34.36981, 0.0], [-117.61209, 34.34307, 0.0]]"
462,"San Andreas (Mojave S), Subsection 14","[[-117.61209, 34.34307, 0.0], [-117.549, 34.3163, 0.0]]"
370,"San Andreas (San Bernardino N), Subsection 0","[[-117.549, 34.3163, 0.0], [-117.49307, 34.29041, 0.0]]"
1530,"San Andreas (San Bernardino N), Subsection 1","[[-117.49307, 34.29041, 0.0], [-117.451, 34.2709, 0.0], [-117.43825, 34.26312, 0.0]]"
1399,"San Andreas (San Bernardino N), Subsection 2","[[-117.43825, 34.26312, 0.0], [-117.38869, 34.23284, 0.0], [-117.38662, 34.23176, 0.0]]"
1813,"San Andreas (San Bernardino N), Subsection 3","[[-117.38662, 34.23176, 0.0], [-117.33243, 34.20354, 0.0]]"
2513,"San Andreas (San Bernardino N), Subsection 4","[[-117.33243, 34.20354, 0.0], [-117.27827, 34.17528, 0.0]]"
1766,"San Andreas (San Bernardino N), Subsection 5","[[-117.27827, 34.17528, 0.0], [-117.27416, 34.17314, 0.0], [-117.22202, 34.15003, 0.0]]"
661,"San Andreas (San Bernardino S), Subsection 0","[[-117.22202, 34.15003, 0.0], [-117.16049, 34.12724, 0.0]]"
2291,"San Andreas (San Bernardino S), Subsection 1","[[-117.16049, 34.12724, 0.0], [-117.09898, 34.10443, 0.0]]"
2067,"San Andreas (San Bernardino S), Subsection 2","[[-117.09898, 34.10443, 0.0], [-117.06767, 34.0928, 0.0], [-117.03727, 34.08204, 0.0]]"
1329,"San Andreas (San Bernardino S), Subsection 3","[[-117.03727, 34.08204, 0.0], [-117.0139, 34.07377, 0.0], [-116.97539, 34.06, 0.0]]"
1814,"San Andreas (San Bernardino S), Subsection 4","[[-116.97539, 34.06, 0.0], [-116.91357, 34.03786, 0.0]]"
2052,"San Andreas (San Bernardino S), Subsection 5","[[-116.91357, 34.03786, 0.0], [-116.90235, 34.03384, 0.0], [-116.87354, 34.01135, 0.0], [-116.86347, 34.00156, 0.0]]"
162,"San Andreas (San Bernardino S), Subsection 6","[[-116.86347, 34.00156, 0.0], [-116.8198, 33.95911, 0.0]]"
2312,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 7","[[-116.7327, 33.94076, 0.0], [-116.7786, 33.93741, 0.0], [-116.80139, 33.95315, 0.0]]"
1709,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 6","[[-116.66034, 33.93323, 0.0], [-116.68581, 33.94416, 0.0], [-116.7327, 33.94076, 0.0]]"
1694,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 5","[[-116.59092, 33.90866, 0.0], [-116.62387, 33.91757, 0.0], [-116.66034, 33.93323, 0.0]]"
539,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 4","[[-116.52041, 33.88582, 0.0], [-116.58486, 33.90702, 0.0], [-116.59092, 33.90866, 0.0]]"
2076,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 3","[[-116.45226, 33.85854, 0.0], [-116.51689, 33.88466, 0.0], [-116.52041, 33.88582, 0.0]]"
1458,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 2","[[-116.3799, 33.84715, 0.0], [-116.38301, 33.84852, 0.0], [-116.42653, 33.84812, 0.0], [-116.45226, 33.85854, 0.0]]"
418,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 1","[[-116.31307, 33.81772, 0.0], [-116.3799, 33.84715, 0.0]]"
132,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 0","[[-116.24629, 33.78825, 0.0], [-116.31307, 33.81772, 0.0]]"
353,"San Andreas (Coachella) rev, Subsection 0","[[-116.24629, 33.78825, 0.0], [-116.20499, 33.75463, 0.0]]"
2354,"San Andreas (Coachella) rev, Subsection 1","[[-116.20499, 33.75463, 0.0], [-116.16373, 33.72099, 0.0]]"
1464,"San Andreas (Coachella) rev, Subsection 2","[[-116.16373, 33.72099, 0.0], [-116.12249, 33.68734, 0.0]]"
1609,"San Andreas (Coachella) rev, Subsection 3","[[-116.12249, 33.68734, 0.0], [-116.08129, 33.65368, 0.0]]"
1747,"San Andreas (Coachella) rev, Subsection 4","[[-116.08129, 33.65368, 0.0], [-116.04012, 33.62, 0.0]]"
2559,"San Andreas (Coachella) rev, Subsection 5","[[-116.04012, 33.62, 0.0], [-115.99898, 33.58631, 0.0]]"
1100,"San Andreas (Coachella) rev, Subsection 6","[[-115.99898, 33.58631, 0.0], [-115.95788, 33.5526, 0.0]]"
1714,"San Andreas (Coachella) rev, Subsection 7","[[-115.95788, 33.5526, 0.0], [-115.91681, 33.51888, 0.0]]"
642,"San Andreas (Coachella) rev, Subsection 8","[[-115.91681, 33.51888, 0.0], [-115.87576, 33.48515, 0.0]]"
1518,"San Andreas (Coachella) rev, Subsection 9","[[-115.87576, 33.48515, 0.0], [-115.83476, 33.45141, 0.0]]"
1725,"San Andreas (Coachella) rev, Subsection 10","[[-115.83476, 33.45141, 0.0], [-115.79378, 33.41765, 0.0]]"
1982,"San Andreas (Coachella) rev, Subsection 11","[[-115.79378, 33.41765, 0.0], [-115.75283, 33.38388, 0.0]]"
869,"Brawley (Seismic Zone) alt 1, Subsection 0","[[-115.77745, 33.40201, 0.0], [-115.75491, 33.35154, 0.0]]"
2287,"Brawley (Seismic Zone) alt 1, Subsection 1","[[-115.75491, 33.35154, 0.0], [-115.7324, 33.30106, 0.0]]"
2322,"Brawley (Seismic Zone) alt 1, Subsection 2","[[-115.7324, 33.30106, 0.0], [-115.70991, 33.25058, 0.0]]"
171,"Brawley (Seismic Zone) alt 1, Subsection 3","[[-115.70991, 33.25058, 0.0], [-115.68745, 33.20009, 0.0]]"
2550,"San Andreas (Creeping Section) 2011 CFM, Subsection 12","[[-121.0623, 36.47703, 0.0], [-121.08632, 36.50079, 0.0], [-121.10374, 36.51689, 0.0]]"
2414,"San Andreas (Creeping Section) 2011 CFM, Subsection 13","[[-121.10374, 36.51689, 0.0], [-121.14618, 36.5561, 0.0]]"
1066,"San Andreas (Creeping Section) 2011 CFM, Subsection 14","[[-121.14618, 36.5561, 0.0], [-121.16568, 36.57409, 0.0], [-121.18993, 36.59435, 0.0]]"
474,"San Andreas (Creeping Section) 2011 CFM, Subsection 15","[[-121.18993, 36.59435, 0.0], [-121.20964, 36.61081, 0.0], [-121.23458, 36.63197, 0.0]]"
2320,"San Andreas (Creeping Section) 2011 CFM, Subsection 16","[[-121.23458, 36.63197, 0.0], [-121.2791, 36.66971, 0.0]]"
2540,"San Andreas (Creeping Section) 2011 CFM, Subsection 17","[[-121.2791, 36.66971, 0.0], [-121.30703, 36.69336, 0.0], [-121.32491, 36.70641, 0.0]]"
2114,"San Andreas (Creeping Section) 2011 CFM, Subsection 18","[[-121.32491, 36.70641, 0.0], [-121.37001, 36.7393, 0.0], [-121.37307, 36.74117, 0.0]]"
2084,"San Andreas (Creeping Section) 2011 CFM, Subsection 19","[[-121.37307, 36.74117, 0.0], [-121.42469, 36.77262, 0.0]]"
1979,"San Andreas (Creeping Section) 2011 CFM, Subsection 20","[[-121.42469, 36.77262, 0.0], [-121.47635, 36.80405, 0.0]]"
