FID,event_id,slip_dir,pgdef_m,sigma,sigma_mu,dist_type,ls_cond,amu,bmu
0,418.0,200.2,0.4536,0.6,0.25,lognormal,ground_slope,1.8026705042343227,-1.870666984989867
1,421.0,199.2,0.1047,0.6,0.25,lognormal,na,11.01701728134453,-3.4618893971751907
2,929.0,199.2,0.1881,0.6,0.25,lognormal,ground_slope,14.248306051214232,-4.258322127897982
