ID,LON,LAT,vs30,z1p0,z2p5,vs30source,vs30_ref,z1p0_ref,z2p5_ref
35,-122.0,38.6,468.4,0.604,3.42,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
36,-122.0,38.6,468.4,0.604,3.42,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
37,-122.0,38.6,468.4,0.604,3.42,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
38,-122.0,38.6,468.4,0.604,3.42,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
39,-122.0,38.6,468.4,0.604,3.42,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
40,-122.0,38.6,468.4,0.604,3.42,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
41,-121.95,38.6,228.2,0.642,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
42,-121.95,38.6,228.2,0.642,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
43,-121.95,38.6,228.2,0.642,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
44,-121.95,38.6,228.2,0.642,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
45,-121.95,38.6,228.2,0.642,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
46,-121.95,38.6,228.2,0.642,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
47,-121.95,38.6,228.2,0.642,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
48,-121.95,38.6,228.2,0.642,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
49,-121.95,38.6,228.2,0.642,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
50,-121.95,38.6,228.2,0.642,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
51,-123.1,38.95,571.6,0.0,0.885333313,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
52,-123.1,38.95,571.6,0.0,0.885333313,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
53,-123.1,38.95,571.6,0.0,0.885333313,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
54,-123.1,38.95,571.6,0.0,0.885333313,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
55,-122.63,38.25,293.5,0.190540543,0.875,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
56,-122.63,38.25,293.5,0.190540543,0.875,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
57,-122.63,38.25,293.5,0.190540543,0.875,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
58,-122.63,38.25,293.5,0.190540543,0.875,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
