,5th_moment_ratio,16th_moment_ratio,50th_moment_ratio,84th_moment_ratio,95th_moment_ratio,mean_moment_ratio
component_1,0.0,3.144e-05,0.0003414,0.002183,0.005606,0.001291
component_2,0.0,9.928e-05,0.0003502,0.004663,0.01367,0.00292
