,5th_elbow,16th_elbow,50th_elbow,84th_elbow,95th_elbow,mean_elbow,elbow_worst_case_joint,5th_tee,16th_tee,50th_tee,84th_tee,95th_tee,mean_tee,tee_worst_case_joint
component_1,0.0,0.0,1.742e-07,1.548e-06,2.002e-06,9.7e-07,jointA,0.0,0.0,2.29e-06,1.973e-05,2.263e-05,1.265e-05,jointA
component_2,0.0,0.0,3.221e-08,2.312e-07,4e-07,1.787e-07,jointA,0.0,0.0,1.48e-06,7.743e-06,1.462e-05,7.393e-06,jointA
