CPT_Name,UTM_x,UTM_y,Longitude,Latitude,utm_x,utm_y,CA_WaterTableDepth_[m],CA_Slope_[deg]
ALC063,560358,4188034,-122.314043,37.83959178,560356.4983800687,4188239.2845498286,,1.877616047859192
ALC064,561419,4187765,-122.3020086,37.83709652,561417.4721858506,4187970.278366173,0.5077947378158569,0.8264840245246887
ALC065,561795,4187823,-122.2977309,37.83759385,561793.464220912,4188028.279251193,0.5077947378158569,1.416117548942566
ALC072,561915,4188571,-122.2963032,37.84432718,561913.4616300389,4188776.295601656,0.5077947378158569,0.3779849112033844
