event_id,magnitude,annual_rate,dip,rake,dip_dir,z_tor,z_bor,fault_trace
360.0,6.95,0.00054,20.0,76.3,247.2,9.0,14.0,"[[-122.278, 39.117, 9.0], [-122.249, 39.064, 9.0], [-122.22, 39.01, 9.0], [-122.191, 38.957, 9.0], [-122.163, 38.904, 9.0], [-122.134, 38.85, 9.0], [-122.105, 38.797, 9.0], [-122.077, 38.743, 9.0]]"
361.0,6.15,0.00113,20.0,89.7,59.7,3.0,6.0,"[[-121.878, 38.624, 3.0], [-121.889, 38.658, 3.0], [-121.901, 38.692, 3.0], [-121.908, 38.712, 3.0], [-121.919, 38.723, 3.0]]"
362.0,6.15,0.00113,20.0,89.7,59.7,3.0,6.0,"[[-121.919, 38.723, 3.0], [-121.948, 38.75, 3.0], [-121.976, 38.777, 3.0], [-122.005, 38.805, 3.0]]"
363.0,6.45,3.22e-05,20.0,89.7,59.7,3.0,6.0,"[[-121.878, 38.624, 3.0], [-121.889, 38.658, 3.0], [-121.901, 38.692, 3.0], [-121.908, 38.712, 3.0], [-121.919, 38.723, 3.0], [-121.948, 38.75, 3.0], [-121.976, 38.777, 3.0], [-122.005, 38.805, 3.0]]"
364.0,6.45,8.72e-05,20.0,78.9,245.0,9.0,14.0,"[[-122.092, 38.688, 9.0], [-122.061, 38.636, 9.0], [-122.03, 38.584, 9.0]]"
365.0,6.45,0.000328,20.0,78.3,251.8,9.0,14.0,"[[-122.047, 38.528, 9.0], [-122.035, 38.465, 9.0], [-122.029, 38.44, 9.0], [-122.01, 38.405, 9.0], [-121.978, 38.346, 9.0]]"
366.0,6.95,0.000214,20.0,78.3,251.8,9.0,14.0,"[[-122.047, 38.528, 9.0], [-122.035, 38.465, 9.0], [-122.029, 38.44, 9.0], [-122.01, 38.405, 9.0], [-121.978, 38.346, 9.0]]"
367.0,6.25,0.00184,55.0,9.9,78.1,0.0,10.8,"[[-121.905, 38.037, 0.0], [-121.888, 38.082, 0.0], [-121.888, 38.083, 0.0], [-121.909, 38.126, 0.0], [-121.931, 38.17, 0.0]]"
368.0,6.25,0.000935,90.0,70.9,248.9,10.0,20.0,"[[-121.976, 38.284, 10.0], [-121.957, 38.246, 10.0], [-121.938, 38.208, 10.0], [-121.919, 38.169, 10.0]]"
369.0,6.25,0.000935,90.0,70.9,248.9,10.0,20.0,"[[-121.919, 38.169, 10.0], [-121.901, 38.131, 10.0], [-121.882, 38.093, 10.0], [-121.863, 38.054, 10.0]]"
370.0,6.75,0.000272,90.0,70.9,248.9,10.0,20.0,"[[-121.976, 38.284, 10.0], [-121.957, 38.246, 10.0], [-121.938, 38.208, 10.0], [-121.919, 38.169, 10.0], [-121.901, 38.131, 10.0], [-121.882, 38.093, 10.0], [-121.863, 38.054, 10.0]]"
371.0,6.65,0.000494,47.0,82.4,256.9,1.0,15.0,"[[-121.82, 38.429, 1.0], [-121.773, 38.361, 1.0], [-121.741, 38.314, 1.0], [-121.729, 38.292, 1.0], [-121.709, 38.255, 1.0]]"
372.0,6.65,0.000494,47.0,82.4,256.9,1.0,15.0,"[[-121.709, 38.255, 1.0], [-121.689, 38.221, 1.0], [-121.657, 38.167, 1.0], [-121.653, 38.15, 1.0], [-121.634, 38.083, 1.0], [-121.633, 38.074, 1.0]]"
373.0,6.65,0.000494,47.0,82.4,256.9,1.0,15.0,"[[-121.633, 38.074, 1.0], [-121.617, 37.998, 1.0], [-121.628, 37.921, 1.0], [-121.629, 37.907, 1.0]]"
374.0,7.05,9.4e-05,47.0,82.4,256.9,1.0,15.0,"[[-121.82, 38.429, 1.0], [-121.773, 38.361, 1.0], [-121.741, 38.314, 1.0], [-121.729, 38.292, 1.0], [-121.709, 38.255, 1.0], [-121.689, 38.221, 1.0], [-121.657, 38.167, 1.0], [-121.653, 38.15, 1.0], [-121.634, 38.083, 1.0], [-121.633, 38.074, 1.0], [-121.617, 37.998, 1.0], [-121.628, 37.921, 1.0], [-121.629, 37.907, 1.0]]"
375.0,6.95,8.45e-05,30.0,68.1,267.3,2.0,16.0,"[[-121.655, 38.166, 2.0], [-121.65, 38.066, 2.0], [-121.647, 37.995, 2.0], [-121.644, 37.966, 2.0]]"
376.0,7.45,6.64e-05,30.0,68.1,267.3,2.0,16.0,"[[-121.655, 38.166, 2.0], [-121.65, 38.066, 2.0], [-121.647, 37.995, 2.0], [-121.644, 37.966, 2.0]]"
377.0,6.15,0.0015,20.0,82.7,230.6,7.0,9.6,"[[-121.524, 37.734, 7.0], [-121.498, 37.709, 7.0], [-121.471, 37.684, 7.0], [-121.445, 37.658, 7.0], [-121.418, 37.633, 7.0]]"
378.0,6.15,0.0015,20.0,82.7,230.6,7.0,9.6,"[[-121.418, 37.633, 7.0], [-121.392, 37.607, 7.0], [-121.366, 37.582, 7.0], [-121.339, 37.556, 7.0], [-121.313, 37.531, 7.0]]"
379.0,6.15,0.0015,20.0,82.7,230.6,7.0,9.6,"[[-121.313, 37.531, 7.0], [-121.287, 37.505, 7.0], [-121.261, 37.48, 7.0], [-121.234, 37.455, 7.0], [-121.208, 37.429, 7.0], [-121.182, 37.404, 7.0]]"
380.0,6.15,0.0015,20.0,82.7,230.6,7.0,9.6,"[[-121.182, 37.404, 7.0], [-121.156, 37.378, 7.0], [-121.129, 37.353, 7.0], [-121.103, 37.327, 7.0], [-121.077, 37.302, 7.0]]"
381.0,6.65,0.000308,20.0,82.7,230.6,7.0,9.6,"[[-121.524, 37.734, 7.0], [-121.498, 37.709, 7.0], [-121.471, 37.684, 7.0], [-121.445, 37.658, 7.0], [-121.418, 37.633, 7.0], [-121.392, 37.607, 7.0], [-121.366, 37.582, 7.0], [-121.339, 37.556, 7.0], [-121.313, 37.531, 7.0], [-121.287, 37.505, 7.0], [-121.261, 37.48, 7.0], [-121.234, 37.455, 7.0], [-121.208, 37.429, 7.0], [-121.182, 37.404, 7.0], [-121.156, 37.378, 7.0], [-121.129, 37.353, 7.0], [-121.103, 37.327, 7.0], [-121.077, 37.302, 7.0]]"
382.0,6.35,0.000189,25.0,66.6,241.1,0.0,6.0,"[[-121.095, 37.245, 0.0], [-121.06, 37.194, 0.0], [-121.025, 37.143, 0.0]]"
383.0,6.85,0.000115,25.0,66.6,241.1,0.0,6.0,"[[-121.095, 37.245, 0.0], [-121.06, 37.194, 0.0], [-121.025, 37.143, 0.0]]"
396.0,6.45,0.00289,84.0,3.9,254.1,0.0,14.0,"[[-122.223, 38.415, 0.0], [-122.205, 38.362, 0.0], [-122.187, 38.309, 0.0], [-122.169, 38.255, 0.0], [-122.161, 38.233, 0.0]]"
397.0,6.45,0.00289,84.0,3.9,254.1,0.0,14.0,"[[-122.161, 38.233, 0.0], [-122.15, 38.202, 0.0], [-122.133, 38.154, 0.0], [-122.13, 38.149, 0.0], [-122.11, 38.109, 0.0], [-122.107, 38.097, 0.0]]"
398.0,6.95,0.00105,84.0,3.9,254.1,0.0,14.0,"[[-122.223, 38.415, 0.0], [-122.205, 38.362, 0.0], [-122.187, 38.309, 0.0], [-122.169, 38.255, 0.0], [-122.161, 38.233, 0.0], [-122.15, 38.202, 0.0], [-122.133, 38.154, 0.0], [-122.13, 38.149, 0.0], [-122.11, 38.109, 0.0], [-122.107, 38.097, 0.0]]"
399.0,6.25,0.000654,84.0,10.1,54.2,0.0,14.9,"[[-121.542, 37.507, 0.0], [-121.58, 37.565, 0.0], [-121.618, 37.622, 0.0]]"
400.0,6.25,0.000654,84.0,10.1,54.2,0.0,14.9,"[[-121.618, 37.622, 0.0], [-121.663, 37.671, 0.0], [-121.666, 37.675, 0.0], [-121.715, 37.727, 0.0]]"
401.0,6.25,0.000654,84.0,10.1,54.2,0.0,14.9,"[[-121.715, 37.727, 0.0], [-121.765, 37.779, 0.0], [-121.773, 37.788, 0.0], [-121.802, 37.827, 0.0], [-121.81, 37.832, 0.0]]"
402.0,6.75,0.000854,84.0,10.1,54.2,0.0,14.9,"[[-121.542, 37.507, 0.0], [-121.58, 37.565, 0.0], [-121.618, 37.622, 0.0], [-121.663, 37.671, 0.0], [-121.666, 37.675, 0.0], [-121.715, 37.727, 0.0], [-121.765, 37.779, 0.0], [-121.773, 37.788, 0.0], [-121.802, 37.827, 0.0], [-121.81, 37.832, 0.0]]"
403.0,7.25,0.000589,84.0,10.1,54.2,0.0,14.9,"[[-121.542, 37.507, 0.0], [-121.58, 37.565, 0.0], [-121.618, 37.622, 0.0], [-121.663, 37.671, 0.0], [-121.666, 37.675, 0.0], [-121.715, 37.727, 0.0], [-121.765, 37.779, 0.0], [-121.773, 37.788, 0.0], [-121.802, 37.827, 0.0], [-121.81, 37.832, 0.0]]"
404.0,6.15,0.00103,87.0,1.8,77.2,0.0,10.6,"[[-121.469, 37.254, 0.0], [-121.474, 37.298, 0.0], [-121.475, 37.302, 0.0], [-121.488, 37.34, 0.0]]"
405.0,6.15,0.00103,87.0,1.8,77.2,0.0,10.6,"[[-121.488, 37.34, 0.0], [-121.502, 37.382, 0.0], [-121.511, 37.425, 0.0], [-121.519, 37.463, 0.0], [-121.521, 37.467, 0.0]]"
406.0,6.65,0.000372,87.0,1.8,77.2,0.0,10.6,"[[-121.469, 37.254, 0.0], [-121.474, 37.298, 0.0], [-121.475, 37.302, 0.0], [-121.488, 37.34, 0.0], [-121.502, 37.382, 0.0], [-121.511, 37.425, 0.0], [-121.519, 37.463, 0.0], [-121.521, 37.467, 0.0]]"
