FID,event_id,slip_dir,pgdef_m,sigma,sigma_mu,dist_type,ls_cond,amu,bmu
0,198.0,176.6,0.051,0.6,0.25,lognormal,na,32.773622551966014,-4.647518539447029
1,418.0,200.2,0.5338,0.6,0.25,lognormal,ground_slope,1.484261660366197,-1.9406682253790244
2,421.0,199.2,0.1003,0.6,0.25,lognormal,na,5.370593520846059,-2.8499785104453017
3,929.0,199.2,0.1092,0.6,0.25,lognormal,na,6.411592338594601,-2.923500233007824
