ID,LON,LAT,vs30,z1p0,z2p5,vs30source,vs30_ref,z1p0_ref,z2p5_ref
139,-121.05,38.65,710.1,0.048886417,0.055554565,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
140,-121.15,38.7,710.1,0.008886419,0.015554567,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
141,-121.1,38.65,710.1,0.0,0.0,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
142,-121.1,38.65,710.1,0.0,0.0,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
143,-121.15,38.65,468.4,0.0,0.0,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
144,-124.1,40.85,184.4923544,0.019138344,0.885,Inferred,Global Vs30 from Topographic S,USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
145,-124.1,40.9,228.2,0.019047165,0.904,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
146,-122.15,39.8,228.2,0.576,3.301132324,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
147,-121.7,39.55,228.2,0.356571411,0.949189209,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
148,-121.7,39.35,228.2,0.331666687,1.327804932,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
149,-121.65,39.25,228.2,0.337647064,1.028571411,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
150,-121.6,39.15,228.2,0.411891907,0.90930481,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
151,-121.7,39.7,468.4,0.361666687,0.770196045,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
