z,qt,fs,u2
0.05,83.83,0.2993,0
0.1,64.24,0.439,0
0.15,34.49,0.5049,0
0.2,21.01,0.5663,0
0.25,15.4,0.4938,0
0.3,11.71,0.3043,0
0.35,8.5,0.1417,0
0.4,5.72,0.0864,0
0.45,3.29,0.0568,0
0.5,2.47,0.0138,0
0.55,2.1,0.0011,0
0.6,2.14,0.0011,0
0.65,2.01,0.0104,0
0.7,1.87,0.016,0
0.75,5.14,0.0512,0
0.8,7.31,0.0627,0
0.85,10.37,0.3274,0
0.9,2.38,0.2097,0
0.95,0.44,0.0707,0
1,0.9,0.0591,0
1.05,0.58,0.0499,0
1.1,0.68,0.0502,0
1.15,0.25,0.0517,0
1.2,0.81,0.0524,0
1.25,1.23,0.0911,0
1.3,5,0.1151,0
1.35,5.39,0.0961,0
1.4,4.13,0.0812,0
1.45,2.47,0.1106,0
1.5,3.62,0.1689,0
1.55,9.49,0.724,0
1.6,21.09,0.7309,0
1.65,27.82,0.4239,0
1.7,18.09,0.2801,0
1.75,10.36,0.3031,0
1.8,5.19,0.2059,0
1.85,2.47,0.1335,0
1.9,2.33,0.0746,0
1.95,2.21,0.0759,0
2,1.6,0.0791,0
2.05,6.12,0.1061,0
2.1,9.27,0.2176,0
2.15,10.82,0.3711,0
2.2,3.62,0.2775,0
2.25,0.71,0.1149,0
2.3,1.09,0.0656,0
2.35,0.41,0.0557,0
2.4,0.2,0.0425,0
2.45,0.22,0.0373,0
2.5,0.36,0.0385,0
2.55,0.37,0.0308,0
2.6,0.45,0.0228,0
2.65,0.67,0.0334,0
2.7,1.02,0.0633,0
2.75,1.18,0.0534,0
2.8,1.73,0.0402,0
2.85,1.22,0.0155,0
2.9,0.86,0.0107,0
2.95,0.83,0.0099,0
3,0.67,0.0113,0
3.05,0.71,0.0098,0
3.1,0.8,0.0082,0
3.15,0.69,0.0126,0
3.2,0.67,0.052,0
3.25,0.69,0.0685,0
3.3,8.14,0.0966,0
3.35,8.37,0.1126,0
3.4,8.6,0.1191,0
3.45,8.76,0.1227,0
3.5,8.69,0.1184,0
3.55,8.68,0.1149,0
3.6,8.88,0.1016,0
3.65,8.52,0.0986,0
3.7,7.72,0.0828,0
3.75,8.07,0.0749,0
3.8,8.23,0.069,0
3.85,7.4,0.0611,0
3.9,7.06,0.0542,0
3.95,6.62,0.0601,0
4,6.23,0.06,0
4.05,5.96,0.0489,0
4.1,5.57,0.0392,0
4.15,4.76,0.0461,0
4.2,3.42,0.0526,0
4.25,2.06,0.0356,0
4.3,1.32,0.026,0
4.35,0.89,0.028,0
4.4,1.35,0.0255,0
4.45,2.32,0.0337,0
4.5,2.48,0.0404,0
4.55,2.87,0.0487,0
4.6,3.23,0.0421,0
4.65,4.08,0.0382,0
4.7,3.61,0.0446,0
4.75,2.91,0.0283,0
4.8,2.7,0.0309,0
4.85,2.34,0.0414,0
4.9,2.25,0.0528,0
4.95,2.31,0.0472,0
5,2.54,0.0512,0
5.05,2.22,0.0545,0
5.1,2.36,0.0523,0
5.15,2.06,0.0574,0
5.2,1.89,0.0696,0
5.25,1.85,0.0717,0
5.3,2.34,0.0722,0
5.35,2.65,0.0838,0
5.4,2.97,0.0846,0
5.45,2.99,0.0993,0
5.5,2.9,0.1151,0
5.55,3.8,0.1137,0
5.6,3.4,0.1764,0
5.65,7.09,0.2509,0
5.7,20.69,0.3257,0
5.75,27.65,0.4026,0
5.8,29.89,0.5377,0
5.85,31.16,0.5868,0
5.9,30.67,0.5036,0
5.95,28.4,0.3477,0
6,25.52,0.4306,0
6.05,19.54,0.6042,0
6.1,13.61,0.5694,0
