z,qt,fs,u2
0.05,3.64,0.0149,0
0.1,18.04,0.1355,0
0.15,26.88,0.2783,0
0.2,29.54,0.3943,0
0.25,25.41,0.4154,0
0.3,27.02,0.4098,0
0.35,23.38,0.4847,0
0.4,18.73,0.4925,0
0.45,13.88,0.3015,0
0.5,13.52,0.2203,0
0.55,15.11,0.1308,0
0.6,14.21,0.1362,0
0.65,16.92,0.1285,0
0.7,17.72,0.3464,0
0.75,25.42,0.4967,0
0.8,32.55,0.4859,0
0.85,18.79,0.3388,0
0.9,16.59,0.4063,0
0.95,17.17,0.4883,0
1,21.12,0.39,0
1.05,29.2,0.5691,0
1.1,25.87,0.4338,0
1.15,15.96,0.3956,0
1.2,11.72,0.2292,0
1.25,6.75,0.2902,0
1.3,6.96,0.256,0
1.35,4.13,0.0527,0
1.4,3.57,0.1107,0
1.45,10.86,0.287,0
1.5,5.85,0.2663,0
1.55,2.7,0.1389,0
1.6,4.52,0.114,0
1.65,5.36,0.1162,0
1.7,4.37,0.105,0
1.75,3.36,0.1235,0
1.8,3.15,0.1237,0
1.85,1.51,0.1725,0
1.9,5.5,0.1719,0
1.95,4.7,0.1472,0
2,6.96,0.2535,0
2.05,8.72,0.1815,0
2.1,7.39,0.2052,0
2.15,11.68,0.3687,0
2.2,10.03,0.3302,0
2.25,5.17,0.3647,0
2.3,7.25,0.2938,0
2.35,8.11,0.309,0
2.4,7.84,0.3154,0
2.45,6.9,0.2485,0
2.5,4.58,0.1354,0
2.55,4.91,0.1169,0
2.6,4.73,0.3642,0
2.65,9.84,0.4911,0
2.7,21.41,0.3309,0
2.75,32.06,0.2959,0
2.8,20.75,0.2618,0
2.85,15.32,0.321,0
2.9,10.53,0.2172,0
2.95,4.2,0.1329,0
3,2.14,0.052,0
3.05,1.56,0.0143,0
3.1,1.48,0.0116,0
3.15,0.9,0.013,0
3.2,0.9,0.0097,0
3.25,1.27,0.0154,0
3.3,1.06,0.019,0
3.35,1.12,0.0193,0
3.4,1.57,0.0271,0
3.45,1.16,0.0379,0
3.5,2.15,0.032,0
3.55,2.99,0.091,0
3.6,2.4,0.0669,0
3.65,2.06,0.0319,0
3.7,2.76,0.0244,0
3.75,3.64,0.0442,0
3.8,2.53,0.0151,0
3.85,3.46,0.0734,0
3.9,1.64,0.0976,0
3.95,6.75,0.0654,0
4,8.08,0.1092,0
4.05,12.9,0.1308,0
4.1,9.19,0.1712,0
4.15,8.16,0.0792,0
4.2,7.47,0.1238,0
4.25,6.86,0.1167,0
4.3,4.66,0.1087,0
4.35,3.59,0.1098,0
4.4,2.18,0.0701,0
4.45,2.34,0.4874,0
4.5,9.91,0.4078,0
4.55,20.95,0.2288,0
4.6,18.63,0.33,0
4.65,15.49,0.219,0
4.7,11.85,0.143,0
4.75,18.48,0.117,0
4.8,18.32,0.0697,0
4.85,12.21,0.112,0
4.9,10.56,0.1026,0
4.95,6.73,0.0951,0
5,6.75,0.0767,0
5.05,6.3,0.0819,0
5.1,4.22,0.0746,0
5.15,2.47,0.0535,0
5.2,2.3,0.0578,0
5.25,1.62,0.0481,0
5.3,0.96,0.03,0
5.35,0.73,0.0305,0
5.4,2.23,0.0789,0
5.45,4.06,0.1137,0
5.5,4.65,0.1448,0
5.55,6.07,0.1323,0
5.6,3.09,0.1152,0
5.65,2.02,0.0674,0
5.7,0.86,0.0312,0
5.75,0.9,0.0166,0
5.8,0.79,0.0191,0
5.85,0.78,0.0258,0
5.9,0.72,0.0245,0
5.95,0.69,0.0297,0
6,6.96,0.1809,0
6.05,2.58,0.2067,0
6.1,12.04,0.1564,0
6.15,29.44,0.2946,0
6.2,45.15,0.3656,0
6.25,36.9,0.6054,0
6.3,33.46,0.574,0
6.35,30.36,0.3713,0
6.4,20.15,0.2249,0
6.45,12.68,0.1761,0
6.5,9.37,0.6743,0
6.55,34.36,0.5853,0
6.6,5.2,0.00023,0
6.65,4.65,0.00023,0
