,5th_elbow,16th_elbow,50th_elbow,84th_elbow,95th_elbow,mean_elbow,elbow_worst_case_joint,5th_tee,16th_tee,50th_tee,84th_tee,95th_tee,mean_tee,tee_worst_case_joint
component_1,0.0,0.0,0.0004534,0.007145,0.009411,0.004866,jointA,0.0,0.0,9.475e-05,0.009526,0.05924,0.01319,jointA
component_2,0.0,0.0,0.0003684,0.002631,0.004146,0.002187,jointA,0.0,0.0,0.001347,0.02779,0.1241,0.02335,jointA
