,5th_moment_ratio,16th_moment_ratio,50th_moment_ratio,84th_moment_ratio,95th_moment_ratio,mean_moment_ratio
component_1,0.0,0.04953,0.2852,0.6523,0.8673,0.3402
component_2,0.0,0.1312,0.5987,0.9741,1.0,0.5667
