SegmentID,SegmentName,SegmentTrace
2864,"San Andreas (Parkfield), Subsection 7","[[-120.52819, 35.97134, 0.0], [-120.56089, 36.00265, 0.0]]"
635,"San Andreas (Parkfield), Subsection 6","[[-120.49552, 35.94003, 0.0], [-120.52819, 35.97134, 0.0]]"
530,"San Andreas (Parkfield), Subsection 5","[[-120.46288, 35.90871, 0.0], [-120.49552, 35.94003, 0.0]]"
1967,"San Andreas (Parkfield), Subsection 4","[[-120.43026, 35.87738, 0.0], [-120.46288, 35.90871, 0.0]]"
454,"San Andreas (Parkfield), Subsection 3","[[-120.39767, 35.84605, 0.0], [-120.43026, 35.87738, 0.0]]"
1962,"San Andreas (Parkfield), Subsection 2","[[-120.3651, 35.8147, 0.0], [-120.39767, 35.84605, 0.0]]"
116,"San Andreas (Parkfield), Subsection 1","[[-120.33256, 35.78335, 0.0], [-120.3651, 35.8147, 0.0]]"
1581,"San Andreas (Parkfield), Subsection 0","[[-120.30005, 35.75198, 0.0], [-120.33256, 35.78335, 0.0]]"
269,"San Andreas (Cholame) rev, Subsection 10","[[-120.26086, 35.71193, 0.0], [-120.30005, 35.75198, 0.0]]"
447,"San Andreas (Cholame) rev, Subsection 9","[[-120.22172, 35.67186, 0.0], [-120.26086, 35.71193, 0.0]]"
1944,"San Andreas (Cholame) rev, Subsection 8","[[-120.18261, 35.63178, 0.0], [-120.22172, 35.67186, 0.0]]"
415,"San Andreas (Cholame) rev, Subsection 7","[[-120.14355, 35.59169, 0.0], [-120.18261, 35.63178, 0.0]]"
2660,"San Andreas (Cholame) rev, Subsection 6","[[-120.10452, 35.55158, 0.0], [-120.14355, 35.59169, 0.0]]"
854,"San Andreas (Cholame) rev, Subsection 5","[[-120.06546, 35.51151, 0.0], [-120.08676, 35.53331, 0.0], [-120.10452, 35.55158, 0.0]]"
1403,"San Andreas (Cholame) rev, Subsection 4","[[-120.02638, 35.47146, 0.0], [-120.06546, 35.51151, 0.0]]"
637,"San Andreas (Cholame) rev, Subsection 3","[[-119.98734, 35.43141, 0.0], [-120.02638, 35.47146, 0.0]]"
1878,"San Andreas (Cholame) rev, Subsection 2","[[-119.94735, 35.392, 0.0], [-119.9703, 35.41391, 0.0], [-119.98734, 35.43141, 0.0]]"
1993,"San Andreas (Cholame) rev, Subsection 1","[[-119.90663, 35.35309, 0.0], [-119.94735, 35.392, 0.0]]"
837,"San Andreas (Cholame) rev, Subsection 0","[[-119.86595, 35.31417, 0.0], [-119.90663, 35.35309, 0.0]]"
2358,"San Andreas (Carrizo) rev, Subsection 0","[[-119.8659, 35.3142, 0.0], [-119.81331, 35.26354, 0.0]]"
2507,"San Andreas (Carrizo) rev, Subsection 1","[[-119.81331, 35.26354, 0.0], [-119.76078, 35.21287, 0.0]]"
833,"San Andreas (Carrizo) rev, Subsection 2","[[-119.76078, 35.21287, 0.0], [-119.70832, 35.16217, 0.0]]"
2624,"San Andreas (Carrizo) rev, Subsection 3","[[-119.70832, 35.16217, 0.0], [-119.7068, 35.1607, 0.0], [-119.64909, 35.11676, 0.0]]"
1457,"San Andreas (Carrizo) rev, Subsection 4","[[-119.64909, 35.11676, 0.0], [-119.58972, 35.07149, 0.0]]"
2735,"San Andreas (Carrizo) rev, Subsection 5","[[-119.58972, 35.07149, 0.0], [-119.5583, 35.0475, 0.0], [-119.52903, 35.02748, 0.0]]"
835,"San Andreas (Carrizo) rev, Subsection 6","[[-119.52903, 35.02748, 0.0], [-119.4711, 34.9878, 0.0], [-119.46673, 34.985, 0.0]]"
1749,"San Andreas (Carrizo) rev, Subsection 7","[[-119.46673, 34.985, 0.0], [-119.4029, 34.9441, 0.0]]"
2222,"San Andreas (Big Bend), Subsection 0","[[-119.40286, 34.94406, 0.0], [-119.36286, 34.91571, 0.0], [-119.33964, 34.90786, 0.0]]"
199,"San Andreas (Big Bend), Subsection 1","[[-119.33964, 34.90786, 0.0], [-119.26758, 34.88345, 0.0]]"
2720,"San Andreas (Big Bend), Subsection 2","[[-119.26758, 34.88345, 0.0], [-119.21, 34.8639, 0.0], [-119.19479, 34.86096, 0.0]]"
2655,"San Andreas (Big Bend), Subsection 3","[[-119.19479, 34.86096, 0.0], [-119.11896, 34.84625, 0.0]]"
1224,"San Andreas (Big Bend), Subsection 4","[[-119.11896, 34.84625, 0.0], [-119.04315, 34.8315, 0.0]]"
1255,"San Andreas (Big Bend), Subsection 5","[[-119.04315, 34.8315, 0.0], [-119.03009, 34.82896, 0.0], [-118.96669, 34.8193, 0.0]]"
2085,"San Andreas (Big Bend), Subsection 6","[[-118.96669, 34.8193, 0.0], [-118.89012, 34.8076, 0.0]]"
1582,"San Andreas (Mojave N), Subsection 0","[[-118.89012, 34.8076, 0.0], [-118.88764, 34.80722, 0.0], [-118.81363, 34.78634, 0.0]]"
1552,"San Andreas (Mojave N), Subsection 1","[[-118.81363, 34.78634, 0.0], [-118.76731, 34.77325, 0.0], [-118.73733, 34.76461, 0.0]]"
2045,"San Andreas (Mojave N), Subsection 2","[[-118.73733, 34.76461, 0.0], [-118.66116, 34.74262, 0.0]]"
1806,"San Andreas (Mojave N), Subsection 3","[[-118.66116, 34.74262, 0.0], [-118.58504, 34.72058, 0.0]]"
2692,"San Andreas (Mojave N), Subsection 4","[[-118.58504, 34.72058, 0.0], [-118.50895, 34.6985, 0.0]]"
1948,"San Andreas (Mojave S), Subsection 0","[[-118.50895, 34.6985, 0.0], [-118.44398, 34.67446, 0.0]]"
445,"San Andreas (Mojave S), Subsection 1","[[-118.44398, 34.67446, 0.0], [-118.37905, 34.65038, 0.0]]"
1501,"San Andreas (Mojave S), Subsection 2","[[-118.37905, 34.65038, 0.0], [-118.31416, 34.62628, 0.0]]"
1538,"San Andreas (Mojave S), Subsection 3","[[-118.31416, 34.62628, 0.0], [-118.24931, 34.60214, 0.0]]"
425,"San Andreas (Mojave S), Subsection 4","[[-118.24931, 34.60214, 0.0], [-118.18449, 34.57796, 0.0]]"
909,"San Andreas (Mojave S), Subsection 5","[[-118.18449, 34.57796, 0.0], [-118.11971, 34.55375, 0.0]]"
