SourceIndex,Longitude,Latitude,Depth
355321,-114.4,32.2,0
355322,-114.3,32.2,0
355323,-114.2,32.2,0
355324,-114.1,32.2,0
355325,-114,32.2,0
355326,-113.9,32.2,0
355327,-113.8,32.2,0
355328,-113.7,32.2,0
355329,-118.1,32.3,0
355330,-118,32.3,0
355331,-117.9,32.3,0
355332,-117.8,32.3,0
355333,-117.7,32.3,0
355334,-117.6,32.3,0
355335,-117.5,32.3,0
355336,-117.4,32.3,0
355337,-117.3,32.3,0
355338,-117.2,32.3,0
355339,-117.1,32.3,0
355340,-117,32.3,0
355341,-116.9,32.3,0
355342,-116.8,32.3,0
355343,-116.7,32.3,0
355344,-116.6,32.3,0
355345,-116.5,32.3,0
355346,-116.4,32.3,0
355347,-116.3,32.3,0
355348,-116.2,32.3,0
355349,-116.1,32.3,0
355350,-116,32.3,0
355351,-115.9,32.3,0
355352,-115.8,32.3,0
355353,-115.7,32.3,0
355354,-115.6,32.3,0
355355,-115.5,32.3,0
355356,-115.4,32.3,0
355357,-115.3,32.3,0
355358,-115.2,32.3,0
355359,-115.1,32.3,0
355360,-115,32.3,0
355361,-114.9,32.3,0
355362,-114.8,32.3,0
355363,-114.7,32.3,0
355364,-114.6,32.3,0
355365,-114.5,32.3,0
355366,-114.4,32.3,0
355367,-114.3,32.3,0
355368,-114.2,32.3,0
355369,-114.1,32.3,0
355370,-114,32.3,0
355371,-113.9,32.3,0
355372,-113.8,32.3,0
355373,-113.7,32.3,0
355374,-113.6,32.3,0
355375,-118.1,32.4,0
355376,-118,32.4,0
355377,-117.9,32.4,0
355378,-117.8,32.4,0
355379,-117.7,32.4,0
355380,-117.6,32.4,0
355381,-117.5,32.4,0
355382,-117.4,32.4,0
355383,-117.3,32.4,0
355384,-117.2,32.4,0
355385,-117.1,32.4,0
355386,-117,32.4,0
355387,-116.9,32.4,0
355388,-116.8,32.4,0
355389,-116.7,32.4,0
355390,-116.6,32.4,0
355391,-116.5,32.4,0
355392,-116.4,32.4,0
355393,-116.3,32.4,0
355394,-116.2,32.4,0
355395,-116.1,32.4,0
355396,-116,32.4,0
355397,-115.9,32.4,0
355398,-115.8,32.4,0
355399,-115.7,32.4,0
355400,-115.6,32.4,0
355401,-115.5,32.4,0
355402,-115.4,32.4,0
355403,-115.3,32.4,0
355404,-115.2,32.4,0
355405,-115.1,32.4,0
355406,-115,32.4,0
355407,-114.9,32.4,0
355408,-114.8,32.4,0
355409,-114.7,32.4,0
355410,-114.6,32.4,0
355411,-114.5,32.4,0
355412,-114.4,32.4,0
355413,-114.3,32.4,0
355414,-114.2,32.4,0
355415,-114.1,32.4,0
355416,-114,32.4,0
355417,-113.9,32.4,0
355418,-113.8,32.4,0
355419,-113.7,32.4,0
355420,-113.6,32.4,0
355421,-118.2,32.5,0
355422,-118.1,32.5,0
355423,-118,32.5,0
355424,-117.9,32.5,0
355425,-117.8,32.5,0
355426,-117.7,32.5,0
355427,-117.6,32.5,0
355428,-117.5,32.5,0
355429,-117.4,32.5,0
355430,-117.3,32.5,0
355431,-117.2,32.5,0
355432,-117.1,32.5,0
355433,-117,32.5,0
355434,-116.9,32.5,0
355435,-116.8,32.5,0
355436,-116.7,32.5,0
355437,-116.6,32.5,0
355438,-116.5,32.5,0
355439,-116.4,32.5,0
355440,-116.3,32.5,0
355441,-116.2,32.5,0
355442,-116.1,32.5,0
355443,-116,32.5,0
355444,-115.9,32.5,0
355445,-115.8,32.5,0
355446,-115.7,32.5,0
355447,-115.6,32.5,0
355448,-115.5,32.5,0
355449,-115.4,32.5,0
355450,-115.3,32.5,0
355451,-115.2,32.5,0
355452,-115.1,32.5,0
355453,-115,32.5,0
355454,-114.9,32.5,0
355455,-114.8,32.5,0
355456,-114.7,32.5,0
355457,-114.6,32.5,0
355458,-114.5,32.5,0
355459,-114.4,32.5,0
355460,-114.3,32.5,0
355461,-114.2,32.5,0
355462,-114.1,32.5,0
355463,-114,32.5,0
355464,-113.9,32.5,0
355465,-113.8,32.5,0
355466,-113.7,32.5,0
355467,-113.6,32.5,0
355468,-118.2,32.6,0
355469,-118.1,32.6,0
355470,-118,32.6,0
355471,-117.9,32.6,0
355472,-117.8,32.6,0
355473,-117.7,32.6,0
355474,-117.6,32.6,0
355475,-117.5,32.6,0
355476,-117.4,32.6,0
355477,-117.3,32.6,0
355478,-117.2,32.6,0
355479,-117.1,32.6,0
355480,-117,32.6,0
355481,-116.9,32.6,0
355482,-116.8,32.6,0
355483,-116.7,32.6,0
355484,-116.6,32.6,0
355485,-116.5,32.6,0
355486,-116.4,32.6,0
355487,-116.3,32.6,0
355488,-116.2,32.6,0
355489,-116.1,32.6,0
355490,-116,32.6,0
355491,-115.9,32.6,0
355492,-115.8,32.6,0
355493,-115.7,32.6,0
355494,-115.6,32.6,0
355495,-115.5,32.6,0
355496,-115.4,32.6,0
355497,-115.3,32.6,0
355498,-115.2,32.6,0
355499,-115.1,32.6,0
355500,-115,32.6,0
355501,-114.9,32.6,0
355502,-114.8,32.6,0
355503,-114.7,32.6,0
355504,-114.6,32.6,0
355505,-114.5,32.6,0
355506,-114.4,32.6,0
355507,-114.3,32.6,0
355508,-114.2,32.6,0
355509,-114.1,32.6,0
355510,-114,32.6,0
355511,-113.9,32.6,0
355512,-113.8,32.6,0
355513,-113.7,32.6,0
355514,-113.6,32.6,0
355515,-118.3,32.7,0
355516,-118.2,32.7,0
355517,-118.1,32.7,0
355518,-118,32.7,0
355519,-117.9,32.7,0
355520,-117.8,32.7,0
355521,-117.7,32.7,0
355522,-117.6,32.7,0
355523,-117.5,32.7,0
355524,-117.4,32.7,0
355525,-117.3,32.7,0
355526,-117.2,32.7,0
355527,-117.1,32.7,0
355528,-117,32.7,0
355529,-116.9,32.7,0
355530,-116.8,32.7,0
355531,-116.7,32.7,0
355532,-116.6,32.7,0
355533,-116.5,32.7,0
355534,-116.4,32.7,0
355535,-116.3,32.7,0
355536,-116.2,32.7,0
355537,-116.1,32.7,0
355538,-116,32.7,0
355539,-115.9,32.7,0
355540,-115.8,32.7,0
355541,-115.7,32.7,0
355542,-115.6,32.7,0
355543,-115.5,32.7,0
355544,-115.4,32.7,0
355545,-115.3,32.7,0
355546,-115.2,32.7,0
355547,-115.1,32.7,0
355548,-115,32.7,0
355549,-114.9,32.7,0
355550,-114.8,32.7,0
355551,-114.7,32.7,0
355552,-114.6,32.7,0
355553,-114.5,32.7,0
355554,-114.4,32.7,0
355555,-114.3,32.7,0
355556,-114.2,32.7,0
355557,-114.1,32.7,0
355558,-114,32.7,0
355559,-113.9,32.7,0
355560,-113.8,32.7,0
355561,-113.7,32.7,0
355562,-113.6,32.7,0
355563,-118.4,32.8,0
355564,-118.3,32.8,0
355565,-118.2,32.8,0
355566,-118.1,32.8,0
355567,-118,32.8,0
355568,-117.9,32.8,0
355569,-117.8,32.8,0
355570,-117.7,32.8,0
355571,-117.6,32.8,0
355572,-117.5,32.8,0
355573,-117.4,32.8,0
355574,-117.3,32.8,0
355575,-117.2,32.8,0
355576,-117.1,32.8,0
355577,-117,32.8,0
355578,-116.9,32.8,0
355579,-116.8,32.8,0
355580,-116.7,32.8,0
355581,-116.6,32.8,0
355582,-116.5,32.8,0
355583,-116.4,32.8,0
355584,-116.3,32.8,0
355585,-116.2,32.8,0
355586,-116.1,32.8,0
355587,-116,32.8,0
355588,-115.9,32.8,0
355589,-115.8,32.8,0
355590,-115.7,32.8,0
355591,-115.6,32.8,0
355592,-115.5,32.8,0
355593,-115.4,32.8,0
355594,-115.3,32.8,0
355595,-115.2,32.8,0
355596,-115.1,32.8,0
355597,-115,32.8,0
355598,-114.9,32.8,0
355599,-114.8,32.8,0
355600,-114.7,32.8,0
355601,-114.6,32.8,0
355602,-114.5,32.8,0
355603,-114.4,32.8,0
355604,-114.3,32.8,0
355605,-114.2,32.8,0
355606,-114.1,32.8,0
355607,-114,32.8,0
355608,-113.9,32.8,0
355609,-113.8,32.8,0
355610,-113.7,32.8,0
355611,-113.6,32.8,0
355612,-118.6,32.9,0
355613,-118.5,32.9,0
355614,-118.4,32.9,0
355615,-118.3,32.9,0
355616,-118.2,32.9,0
355617,-118.1,32.9,0
355618,-118,32.9,0
355619,-117.9,32.9,0
355620,-117.8,32.9,0
355621,-117.7,32.9,0
355622,-117.6,32.9,0
355623,-117.5,32.9,0
355624,-117.4,32.9,0
355625,-117.3,32.9,0
355626,-117.2,32.9,0
355627,-117.1,32.9,0
355628,-117,32.9,0
355629,-116.9,32.9,0
355630,-116.8,32.9,0
355631,-116.7,32.9,0
355632,-116.6,32.9,0
