ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,psi_dip,beta_crossing
19,-118.501942461846,34.286329871650025,-118.50195343098582,34.28552461370892,-118.5019479464,34.2859272427,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,1,,44.8,-119.24210624750104,8.252329486337223,0.25,45,90
20,-118.50195343098582,34.28552461370892,-118.50196440012564,34.28471935576782,-118.5019589156,34.2851219847,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,2,,134.3,-119.24207926083749,8.252355867681839,0.25,45,90
21,-118.50196440012564,34.28471935576782,-118.50197536926548,34.283914097826724,-118.5019698847,34.2843167268,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,3,,223.9,-119.242052275017,8.252382248195325,0.25,45,90
22,-118.50197536926548,34.283914097826724,-118.50198633840532,34.28310883988562,-118.5019808538,34.2835114689,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,4,,313.4,-119.24202529011944,8.252408627799648,0.25,45,90
23,-118.50198633840532,34.28310883988562,-118.50206997547808,34.282929638723424,-118.5020281569,34.2830192393,0.021357,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,5,,368.9,-119.24204300946177,8.252391305917378,0.25,45,90
24,-118.50206997547808,34.282929638723424,-118.5020721472376,34.28213439633941,-118.5020710614,34.2825320175,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,6,,423.8,-119.24205724790528,8.252377386852205,0.25,45,90
25,-118.5020721472376,34.28213439633941,-118.50207431899716,34.2813391539554,-118.5020732331,34.2817367751,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,7,,397.9,-119.24202330214035,8.252410571186493,0.25,45,90
26,-118.50207431899716,34.2813391539554,-118.5020764907567,34.280543911571385,-118.5020754049,34.2809415328,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,8,,309.5,-119.24198935722343,8.252443754680764,0.25,45,90
27,-118.5020764907567,34.280543911571385,-118.50207866251624,34.27974866918737,-118.5020775766,34.2801462904,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,9,,221.1,-119.24195541297706,8.252476937508531,0.25,45,90
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,,132.6,-119.24192146957427,8.252510119500668,0.25,45,90
29,-118.50208083427576,34.27895342680336,-118.50208300603532,34.27815818441935,-118.5020819202,34.2785558056,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,11,,44.2,-119.24188752693081,8.25254330073951,0.25,45,90
30,-118.50214856234126,34.28635373468247,-118.5021557256807,34.28553207065808,-118.502152144,34.2859429027,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,1,,45.7,-119.24227903320752,8.252160576101256,0.25,45,90
31,-118.5021557256807,34.28553207065808,-118.50216288902014,34.284710406633685,-118.5021593074,34.2851212386,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,2,,137.1,-119.2422481028454,8.252190812736488,0.25,45,90
32,-118.50216288902014,34.284710406633685,-118.50217005235956,34.28388874260929,-118.5021664707,34.2842995746,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,3,,228.4,-119.24221717329672,8.252221048567405,0.25,45,90
