LON,LAT
-122.88,38.52
-122.88,38.53
-122.88,38.54
-122.88,38.55
-122.88,38.56
-122.88,38.57
-122.88,38.58
-122.88,38.59
-122.88,38.6
-122.88,38.61
-122.88,38.62
-122.88,38.63
-122.88,38.64
-122.88,38.65
-122.88,38.66
-122.88,38.67
-122.88,38.68
-122.89,38.69
-122.88,38.69
-122.88,38.26
-122.88,38.27
-122.87,38.27
-122.87,38.26
-122.87,38.28
-122.87,38.29
-122.87,38.3
-122.87,38.31
-122.87,38.32
-122.87,38.33
-122.87,38.34
-122.87,38.35
-122.87,38.36
-122.87,38.37
-122.87,38.38
-122.87,38.39
-122.87,38.4
-122.87,38.41
-122.87,38.42
-122.87,38.43
-122.87,38.44
-122.87,38.45
-122.87,38.46
-122.87,38.47
-122.87,38.48
-122.87,38.49
-122.87,38.5
-122.87,38.51
-122.87,38.52
-122.87,38.53
-122.87,38.54
-122.87,38.55
-122.87,38.56
-122.87,38.57
-122.87,38.58
-122.87,38.59
-122.87,38.6
-122.87,38.61
-122.87,38.62
-122.87,38.63
-122.87,38.64
-122.87,38.65
-122.87,38.66
-122.87,38.67
-122.87,38.68
-122.87,38.69
-122.88,38.7
-122.87,38.7
-122.87,38.24
-122.87,38.25
-122.86,38.25
-122.86,38.24
-122.86,38.26
-122.86,38.27
-122.86,38.28
-122.86,38.29
-122.86,38.3
-122.86,38.31
-122.86,38.32
-122.86,38.33
-122.86,38.34
-122.86,38.35
-122.86,38.36
-122.86,38.37
-122.86,38.38
-122.86,38.39
-122.86,38.4
-122.86,38.41
-122.86,38.42
-122.86,38.43
-122.86,38.44
-122.86,38.45
-122.86,38.46
-122.86,38.47
-122.86,38.48
-122.86,38.49
-122.86,38.5
-122.86,38.51
-122.86,38.52
-122.86,38.53
-122.86,38.54
-122.86,38.55
-122.86,38.56
-122.86,38.57
-122.86,38.58
-122.86,38.59
-122.86,38.6
-122.86,38.61
-122.86,38.62
-122.86,38.63
-122.86,38.64
-122.86,38.65
-122.86,38.66
-122.86,38.67
-122.86,38.68
-122.86,38.69
-122.86,38.7
-122.87,38.71
-122.86,38.71
-122.86,38.23
-122.85,38.24
-122.85,38.23
-122.85,38.25
-122.85,38.26
-122.85,38.27
-122.85,38.28
-122.85,38.29
-122.85,38.3
-122.85,38.31
-122.85,38.32
-122.85,38.33
-122.85,38.34
-122.85,38.35
-122.85,38.36
-122.85,38.37
-122.85,38.38
-122.85,38.39
-122.85,38.4
-122.85,38.41
-122.85,38.42
-122.85,38.43
-122.85,38.44
-122.85,38.45
-122.85,38.46
-122.85,38.47
-122.85,38.48
-122.85,38.49
-122.85,38.5
-122.85,38.51
-122.85,38.52
-122.85,38.53
-122.85,38.54
-122.85,38.55
-122.85,38.56
-122.85,38.57
-122.85,38.58
-122.85,38.59
-122.85,38.6
-122.85,38.61
-122.85,38.62
-122.85,38.63
-122.85,38.64
-122.85,38.65
-122.85,38.66
-122.85,38.67
-122.85,38.68
-122.85,38.69
-122.85,38.7
-122.85,38.71
-122.86,38.72
-122.85,38.72
-122.86,38.73
-122.85,38.73
-122.85,38.21
-122.85,38.22
-122.84,38.22
-122.84,38.21
-122.84,38.23
-122.84,38.24
-122.84,38.25
-122.84,38.26
-122.84,38.27
-122.84,38.28
-122.84,38.29
-122.84,38.3
-122.84,38.31
-122.84,38.32
-122.84,38.33
-122.84,38.34
-122.84,38.35
-122.84,38.36
-122.84,38.37
-122.84,38.38
-122.84,38.39
-122.84,38.4
-122.84,38.41
-122.84,38.42
-122.84,38.43
-122.84,38.44
-122.84,38.45
-122.84,38.46
-122.84,38.47
-122.84,38.48
-122.84,38.49
-122.84,38.5
-122.84,38.51
-122.84,38.52
-122.84,38.53
-122.84,38.54
-122.84,38.55
-122.84,38.56
-122.84,38.57
-122.84,38.58
-122.84,38.59
-122.84,38.6
-122.84,38.61
-122.84,38.62
-122.84,38.63
-122.84,38.64
-122.84,38.65
-122.84,38.66
-122.84,38.67
-122.84,38.68
-122.84,38.69
-122.84,38.7
-122.84,38.71
-122.84,38.72
-122.84,38.73
-122.85,38.74
-122.84,38.74
-122.84,38.19
-122.84,38.2
-122.83,38.2
-122.83,38.19
-122.83,38.21
-122.83,38.22
-122.83,38.23
-122.83,38.24
-122.83,38.25
-122.83,38.26
-122.83,38.27
-122.83,38.28
-122.83,38.29
-122.83,38.3
-122.83,38.31
-122.83,38.32
-122.83,38.33
-122.83,38.34
-122.83,38.35
-122.83,38.36
-122.83,38.37
-122.83,38.38
-122.83,38.39
-122.83,38.4
-122.83,38.41
-122.83,38.42
-122.83,38.43
-122.83,38.44
-122.83,38.45
-122.83,38.46
-122.83,38.47
-122.83,38.48
-122.83,38.49
-122.83,38.5
-122.83,38.51
-122.83,38.52
-122.83,38.53
-122.83,38.54
-122.83,38.55
-122.83,38.56
-122.83,38.57
-122.83,38.58
-122.83,38.59
-122.83,38.6
-122.83,38.61
-122.83,38.62
-122.83,38.63
-122.83,38.64
-122.83,38.65
-122.83,38.66
-122.83,38.67
-122.83,38.68
-122.83,38.69
-122.83,38.7
-122.83,38.71
-122.83,38.72
-122.83,38.73
-122.83,38.74
-122.84,38.75
-122.83,38.75
-122.83,38.17
-122.83,38.18
-122.82,38.18
-122.82,38.17
-122.82,38.19
-122.82,38.2
-122.82,38.21
-122.82,38.22
-122.82,38.23
-122.82,38.24
-122.82,38.25
-122.82,38.26
-122.82,38.27
-122.82,38.28
-122.82,38.29
-122.82,38.3
-122.82,38.31
-122.82,38.32
-122.82,38.33
-122.82,38.34
-122.82,38.35
-122.82,38.36
-122.82,38.37
-122.82,38.38
-122.82,38.39
-122.82,38.4
-122.82,38.41
-122.82,38.42
-122.82,38.43
-122.82,38.44
-122.82,38.45
-122.82,38.46
-122.82,38.47
-122.82,38.48
-122.82,38.49
-122.82,38.5
-122.82,38.51
-122.82,38.52
-122.82,38.53
-122.82,38.54
-122.82,38.55
-122.82,38.56
-122.82,38.57
-122.82,38.58
-122.82,38.59
-122.82,38.6
-122.82,38.61
-122.82,38.62
-122.82,38.63
-122.82,38.64
-122.82,38.65
-122.82,38.66
-122.82,38.67
-122.82,38.68
-122.82,38.69
-122.82,38.7
-122.82,38.71
-122.82,38.72
-122.82,38.73
-122.82,38.74
-122.82,38.75
-122.83,38.76
-122.82,38.76
-122.82,38.15
-122.82,38.16
-122.81,38.16
-122.81,38.15
-122.81,38.17
-122.81,38.18
-122.81,38.19
-122.81,38.2
-122.81,38.21
-122.81,38.22
-122.81,38.23
-122.81,38.24
-122.81,38.25
-122.81,38.26
-122.81,38.27
-122.81,38.28
-122.81,38.29
-122.81,38.3
-122.81,38.31
-122.81,38.32
-122.81,38.33
-122.81,38.34
-122.81,38.35
-122.81,38.36
-122.81,38.37
-122.81,38.38
-122.81,38.39
-122.81,38.4
-122.81,38.41
-122.81,38.42
-122.81,38.43
-122.81,38.44
-122.81,38.45
-122.81,38.46
-122.81,38.47
-122.81,38.48
-122.81,38.49
-122.81,38.5
-122.81,38.51
-122.81,38.52
-122.81,38.53
-122.81,38.54
-122.81,38.55
-122.81,38.56
-122.81,38.57
-122.81,38.58
-122.81,38.59
-122.81,38.6
-122.81,38.61
-122.81,38.62
-122.81,38.63
-122.81,38.64
-122.81,38.65
-122.81,38.66
-122.81,38.67
-122.81,38.68
-122.81,38.69
-122.81,38.7
