ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING
8438,-121.3961027,38.40889238,-121.3954747,38.40889487,-121.3957887,38.408893625,0.05472,1154,101.6,8438,1,545.4,88.7,242.0,153.3
8479,-121.2525368,37.87316286,-121.2519137,37.87275056,-121.25222525,37.87295671,0.071366,1159,101.6,8479,1,132.4,128.8,326.0,162.80000000000004
8757,-122.1291932,38.06912445,-122.1288241,38.06867213,-122.12900865,38.06889829,0.05978,1173,101.6,8757,1,39.8,146.6,232.0,94.59999999999997
9189,-121.4226456,38.11985938,-121.4226456,38.11911212,-121.4226456,38.11948575,0.083092,1176,101.6,9189,1,422.3,179.0,257.0,102.00000000000001
9240,-121.399598,38.14031483,-121.3995836,38.13960411,-121.3995908,38.13995947,0.079038,1177,101.6,9240,1,683.9,178.1,262.0,96.09999999999998
9359,-121.4315114,38.09809452,-121.4319665,38.09760411,-121.43173895,38.097849315,0.067525,1179,101.6,9359,1,33.7,215.3,245.0,150.30000000000004
9382,-121.4246297,38.085268,-121.4242635,38.0845937,-121.4244466,38.08493085,0.081542,1179,101.6,9382,1,203.6,155.8,179.0,156.79999999999998
9513,-121.3466515,38.00021253,-121.3468454,38.00024584,-121.34674845,38.000229185,0.017389,1185,101.6,9513,1,303.1,281.2,238.0,136.80000000000004
9726,-121.3114001,37.94027118,-121.3113893,37.93999995,-121.3113947,37.940135565,0.030174,1191,101.6,9726,1,314.0,177.2,298.0,120.80000000000001
9787,-121.2453556,37.90503354,-121.2446326,37.90522927,-121.2449941,37.905131405,0.067063,1193,101.6,9787,1,916.4,70.1,308.0,122.1
10029,-121.4532121,37.84418483,-121.4533642,37.84361452,-121.45328815,37.843899675,0.064807,1203,101.6,10029,1,182.1,191.0,338.0,147.0
10146,-121.5542564,37.82919979,-121.5550919,37.82905579,-121.55467415,37.82912779,0.075106,1203,101.6,10146,1,37.6,256.9,179.0,102.10000000000007
10187,-121.5819895,37.8168397,-121.5819818,37.81676337,-121.58198565,37.816801535,0.008514,1203,101.6,10187,1,4.2,174.6,36.0,138.6
11299,-120.0568965,36.82952719,-120.0570004,36.82902972,-120.05694845,36.829278455,0.056084,1248,101.6,11299,1,28.0,187.8,299.0,111.19999999999996
11540,-120.060319,36.70223466,-120.0604,36.70223814,-120.0603595,36.7022364,0.007232,1253,101.6,11540,1,3.6,271.3,265.0,173.70000000000002
11594,-120.0609156,36.66161138,-120.0609183,36.66092602,-120.06091695,36.6612687,0.076209,1253,101.6,11594,1,4548.9,178.4,227.0,131.40000000000003
11928,-119.5891671,36.67771765,-119.588082,36.67772329,-119.58862455,36.67772047,0.09677,1267,101.6,11928,1,2866.1,87.6,187.0,99.40000000000003
12159,-121.8082775,37.34069796,-121.8074337,37.34096384,-121.8078556,37.3408309,0.080241,1277,101.6,12159,1,206.0,67.7,136.0,111.7
12417,-119.3689817,35.52888772,-119.3680804,35.52889012,-119.36853105,35.52888892,0.081562,1285,101.6,12417,1,653.8,87.7,208.0,120.3
12786,-117.5217746,34.90922361,-117.5215565,34.90843589,-117.52166555,34.90882975,0.08982,1293,101.6,12786,1,1539.9,164.0,106.0,122.00000000000003
13011,-117.4654289,34.72583736,-117.4651482,34.7250119,-117.46528855,34.72542463,0.095304,1293,101.6,13011,1,14169.0,161.2,82.0,100.8
13052,-117.4538439,34.69174501,-117.4535743,34.6909515,-117.4537091,34.691348255,0.091613,1293,101.6,13052,1,10231.8,161.2,81.0,99.8
13830,-122.1072933,39.10441879,-122.1072838,39.10517245,-122.10728855,39.10479562,0.083807,1322,127.0,13830,1,41.8,360.0,115.0,115.00000000000003
