,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_152738,0.0,0.0,0.0115925,0.055225,0.0908,0.0244
segment_152739,0.0,0.0,0.012495,0.059325,0.095025,0.025875
segment_152740,0.0,0.0,0.0114525,0.06005,0.096875,0.025525
segment_152741,0.0,0.0,0.0094575,0.056875,0.094075,0.0234525
segment_152742,0.0,0.0,0.0064975,0.04885,0.087075,0.0198475
segment_152743,0.0,0.0,0.00139025,0.023025,0.055625,0.0105925
segment_152744,0.0,0.0,0.0,0.00089575,0.0072,0.00142725
segment_152745,0.0,0.0,6.355e-08,7.79e-07,1.6225e-06,3.9725e-07
segment_152746,0.0,0.0,0.0,0.0,0.0,0.0
segment_152747,0.0,0.0,0.0,0.0,0.0,0.0
segment_152748,0.0,0.0,0.0,0.0,0.0,0.0
segment_152749,0.0,0.0,0.0,0.0,0.0,0.0
segment_152750,0.0,0.0,0.0,0.0,0.0,0.0
segment_152751,0.0,0.0,0.0,0.0,0.0,0.0
segment_152752,0.0,0.0,0.0,0.0,0.0,0.0
segment_152753,0.0,0.0,0.0,0.000878,0.0040575,0.00102
segment_152754,0.0,0.0,0.00093925,0.0204825,0.052225,0.0098825
segment_152755,0.0,0.0,0.0045025,0.042775,0.08115,0.017595
segment_152756,0.0,0.0,0.00973,0.057575,0.0946,0.02376
segment_152757,0.0,0.0,0.011575,0.0612,0.096625,0.026
segment_152758,0.0,0.0,0.01287,0.057075,0.092775,0.025525
segment_152759,0.0,0.0,0.0100725,0.049225,0.083725,0.022355
segment_152760,0.0,0.0,0.009125,0.04345,0.0731,0.0203225
segment_152761,0.0,0.0,0.0076575,0.0405,0.070625,0.018755
segment_152762,0.0,0.0,0.0060525,0.0345,0.062875,0.0158675
segment_152763,0.0,0.0,0.0069975,0.025225,0.04455,0.0124825
segment_152764,0.0,0.0,0.0060175,0.0215125,0.037925,0.0106175
segment_152765,0.0,0.0,0.004225,0.0160675,0.0293,0.0080675
segment_152766,0.0,0.0,0.0043375,0.015185,0.02715,0.0076775
segment_152767,0.0,0.0,0.003205,0.011735,0.0219525,0.0060175
segment_152768,0.0,0.0,0.0027475,0.0098375,0.0186075,0.0051325
segment_152769,0.0,0.0,0.00241475,0.0085925,0.0167625,0.004505
segment_152770,0.0,0.0,0.002625,0.0094875,0.0182075,0.004955
segment_152771,0.0,0.0,0.0031475,0.0113275,0.020995,0.00584
segment_152772,0.0,0.0,0.003355,0.0127475,0.023895,0.0064775
segment_152773,0.0,0.0,0.0040025,0.0151425,0.027775,0.007645
segment_152774,0.0,0.0,0.0047325,0.01816,0.032825,0.00902
segment_152775,0.0,0.0,0.005955,0.0220025,0.03915,0.0108825
segment_152776,0.0,0.0,0.00743,0.027425,0.048325,0.013525
segment_152777,0.0,0.0,0.0065575,0.036425,0.06565,0.0168125
segment_152778,0.0,0.0,0.0084475,0.04235,0.0722,0.01971
segment_152779,0.0,0.0,0.0102675,0.049275,0.083725,0.022425
segment_152780,0.0,0.0,0.013065,0.058,0.0925,0.02575
segment_152781,0.0,0.0,0.01354,0.062675,0.0965,0.02695
segment_152782,0.0,0.0,0.00927,0.056575,0.093875,0.0233225
segment_152783,0.0,0.0,0.005315,0.0464,0.0848,0.0189525
segment_152784,0.0,0.0,0.00104675,0.0212025,0.052925,0.0099825
segment_152785,0.0,0.0,3.1625e-05,0.00078875,0.00231225,0.00071825
segment_152786,0.0,0.0,0.0,0.0,0.0,0.0
segment_152787,0.0,0.0,0.0,0.0,0.0,0.0
segment_152788,0.0,0.0,0.0,0.0,0.0,0.0
segment_152789,0.0,0.0,0.0,0.0,0.0,0.0
segment_152790,0.0,0.0,0.0,0.0,0.0,0.0
segment_152791,0.0,0.0,1.47325e-07,1.5075e-06,3.1275e-06,7.855e-07
segment_152792,0.0,0.0,0.0,0.00091375,0.007005,0.00141275
segment_152793,0.0,0.0,0.00093725,0.02043,0.051525,0.00968
segment_152794,0.0,0.0,0.0044025,0.0421,0.079725,0.017235
segment_152795,0.0,0.0,0.0097075,0.057375,0.09395,0.0236425
segment_152796,0.0,0.0,0.011865,0.06095,0.095925,0.02595
segment_152797,0.0,0.0,0.01143,0.05595,0.092475,0.0247225
segment_152798,0.0,0.0,0.009995,0.0485,0.083125,0.0220875
segment_152799,0.0,0.0,0.00744,0.0395,0.06915,0.0183375
segment_152800,0.0,0.0,0.006025,0.0347,0.063375,0.0159675
segment_152801,0.0,0.0,0.0051025,0.030275,0.0573,0.01403
segment_152802,0.0,0.0,0.0060075,0.022745,0.0408,0.011255
segment_152803,0.0,0.0,0.0046875,0.018175,0.033225,0.0090325
segment_152804,0.0,0.0,0.004855,0.0165725,0.02935,0.00839
segment_152805,0.0,0.0,0.0039575,0.01377,0.02466,0.0070125
segment_152806,0.0,0.0,0.0029425,0.0108225,0.02026,0.00559
segment_152807,0.0,0.0,0.0025275,0.00896,0.01724,0.0046975
segment_152808,0.0,0.0,0.00247675,0.0082525,0.01584,0.004375
segment_152809,0.0,0.0,0.0023475,0.0075975,0.0145025,0.003985
segment_152810,0.0,0.0,0.00160925,0.005655,0.0111025,0.0029375
segment_152811,0.0,0.0,0.00145475,0.00504,0.0101,0.0026575
segment_152812,0.0,0.0,0.00131125,0.0044675,0.0088975,0.0023515
segment_152813,0.0,0.0,0.00132875,0.0043425,0.0084325,0.00228
segment_152814,0.0,0.0,0.00131875,0.0041525,0.0081725,0.00220925
segment_152815,0.0,0.0,0.0011225,0.0036225,0.0072175,0.0019315
segment_152816,0.0,0.0,0.00093875,0.0031325,0.00626,0.00165525
segment_152817,0.0,0.0,0.00116,0.0037925,0.00763,0.00201675
segment_152818,0.0,0.0,0.001207,0.004015,0.0080425,0.00211225
segment_152819,0.0,0.0,0.001449,0.00481,0.0094275,0.00254
segment_152820,0.0,0.0,0.001771,0.00597,0.01157,0.0031
segment_152821,0.0,0.0,0.001722,0.0060475,0.011745,0.00312
segment_152822,0.0,0.0,0.001886,0.006585,0.01291,0.00344
segment_152823,0.0,0.0,0.00200425,0.0068875,0.013625,0.00362
segment_152824,0.0,0.0,0.002299,0.008115,0.01577,0.004255
segment_152825,0.0,0.0,0.00243475,0.0088875,0.017345,0.004655
segment_152826,0.0,0.0,0.0025675,0.00997,0.0192225,0.005135
segment_152827,0.0,0.0,0.003185,0.01184,0.0221575,0.0060375
segment_152828,0.0,0.0,0.003705,0.0140675,0.025975,0.0070825
segment_152829,0.0,0.0,0.0042025,0.01618,0.02985,0.0081275
segment_152830,0.0,0.0,0.0056875,0.0204325,0.036225,0.01014
segment_152831,0.0,0.0,0.00663,0.024215,0.042725,0.0119525
segment_152832,0.0,0.0,0.00753,0.028125,0.049325,0.013835
segment_152833,0.0,0.0,0.01005,0.03355,0.0558,0.0166125
segment_152834,0.0,0.0,0.009065,0.04645,0.08125,0.0210025
segment_152835,0.0,0.0,0.011595,0.054925,0.08895,0.024365
segment_152836,0.0,0.0,0.0116425,0.059825,0.094525,0.0255
segment_152837,0.0,0.0,0.010435,0.058425,0.09505,0.024375
segment_152838,0.0,0.0,0.007175,0.051125,0.08905,0.0208425
segment_152839,0.0,0.0,0.002655,0.0327,0.069125,0.0139575
segment_152840,0.0,0.0,0.0,0.0058275,0.024985,0.004325
segment_152841,0.0,0.0,1.834e-05,0.00026375,0.0005055,0.000170475
segment_152842,0.0,0.0,0.0,0.0,0.0,0.0
segment_152843,0.0,0.0,0.0,0.0,0.0,0.0
segment_152844,0.0,0.0,0.0,0.0,0.0,0.0
segment_165229,0.0,0.0,0.0,0.0,0.0,0.0
segment_165230,0.0,0.0,0.0,0.0,0.0,0.0
segment_165231,0.0,0.0,0.0,0.0,0.0,0.0
segment_165232,0.0,0.0,0.0,0.0,0.0,0.0
segment_165233,0.0,0.0,0.0,0.0,0.0,0.0
segment_165234,0.0,0.0,1.0605e-05,0.000538,0.0011865,0.000433
segment_165235,0.0,0.0,0.0,0.0046475,0.0208925,0.0035425
segment_165236,0.0,0.0,0.001558,0.0231325,0.052925,0.01026
segment_165237,0.0,0.0,0.0058125,0.04305,0.0758,0.0174725
