,5th_elbow,16th_elbow,50th_elbow,84th_elbow,95th_elbow,mean_elbow,elbow_worst_case_joint,5th_tee,16th_tee,50th_tee,84th_tee,95th_tee,mean_tee,tee_worst_case_joint
component_1,0.0,0.0,0.001168,0.005497,0.006701,0.004433,jointA,0.0,0.0,0.001716,0.009146,0.03884,0.01273,jointA
component_2,0.0,0.0,0.0005847,0.002761,0.004594,0.002626,jointA,0.0,0.0,0.0007896,0.03027,0.1238,0.02436,jointA
