,5th_moment_ratio,16th_moment_ratio,50th_moment_ratio,84th_moment_ratio,95th_moment_ratio,mean_moment_ratio
component_1,0.0,0.04202,0.2859,0.6874,0.9156,0.3516
component_2,0.0,0.1745,0.6162,0.9748,1.0,0.5813
