,5th_elbow,16th_elbow,50th_elbow,84th_elbow,95th_elbow,mean_elbow,elbow_worst_case_joint,5th_tee,16th_tee,50th_tee,84th_tee,95th_tee,mean_tee,tee_worst_case_joint
component_1,0.0,0.0,0.0004139,0.001906,0.00232,0.001084,jointA,0.0,0.0,0.0006499,0.007425,0.009089,0.005501,jointA
component_2,0.0,0.0,7.277e-05,0.0008717,0.001261,0.0005185,jointA,0.0,0.0,7.657e-05,0.004582,0.02611,0.006095,jointA
