ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,psi_dip,beta_crossing
5159,-121.4417041,38.63247933,-121.4417167,38.63295956,-121.4417104,38.632719445,0.05341,1061,101.6,5159,1,26.7,357.8,23.0,154.80000000000004,,26.7,-121.77506627385603,5.749268686135909,0.25,75,90
5246,-121.6975508,40.87259545,-121.6975323,40.87298912,-121.69754155,40.872792285,0.043802,1063,101.6,5246,1,21.9,1.2,230.0,131.20000000000005,,21.9,-122.00919205179592,5.515607598635483,0.25,75,90
5571,-124.1751469,40.62870137,-124.1751602,40.62875068,-124.17515355,40.628726025,0.005597,1067,101.6,5571,1,2.8,349.2,144.0,154.8,,2.8,-123.89489622769545,3.623990102631821,0.25,75,90
5926,-124.1534183,40.63252208,-124.1528735,40.63271282,-124.1531459,40.63261745,0.05063,1074,101.6,5926,1,80.6,66.1,94.0,152.1,,80.6,-123.87810341810263,3.6408947819571,0.25,75,90
5952,-124.1421028,40.62902525,-124.1418178,40.62872103,-124.1419603,40.62887314,0.041506,1075,101.6,5952,1,100.1,145.2,228.0,97.2,,100.1,-123.86964298968,3.64941126976017,0.25,75,90
6177,-121.4758696,41.06226401,-121.4752023,41.06220782,-121.47553595,41.062235915,0.056295,1078,101.6,6177,1,5191.3,95.3,67.0,151.70000000000002,,5191.3,-121.84331022877372,5.68119329750731,0.25,75,90
6594,-122.0094442,39.74037882,-122.0090351,39.73979029,-122.00923965,39.740084555,0.074204,1090,101.6,6594,1,1382.4,151.1,41.0,110.1,,1382.4,-122.233880800504,5.291073126604926,0.25,75,90
6899,-122.0791388,39.53452149,-122.0782492,39.53453657,-122.078694,39.53452903,0.076309,1102,101.6,6899,1,38.2,88.2,130.0,138.2,,38.2,-122.28553234158656,5.239418461841301,0.25,75,90
6906,-122.0653562,39.51752891,-122.0653626,39.51677323,-122.0653594,39.51715107,0.08403,1103,101.6,6906,1,125.8,179.8,207.0,152.8,,125.8,-122.27499895158323,5.249953631324969,0.25,75,90
6938,-122.0108211,39.45724769,-122.0099056,39.45724055,-122.01036335,39.45724412,0.078603,1105,101.6,6938,1,39.4,89.9,28.0,118.1,,39.4,-122.23162781925829,5.293325922448182,0.25,75,90
