z,qt,fs,u2
0.1,3.58,0.01,0
0.2,3.58,0.03881,0
0.3,1.974,0.06691,0
0.4,3.446,0.1054,0
0.5,10.91,0.2432,0
0.6,13.51,0.2566,0
0.7,7.39,0.1512,0
0.8,3.646,0.03279,0
0.9,2.643,0.02276,0
1,2.208,0.01572,0
1.1,4.148,0.0729,0
1.2,3.881,0.05152,0
1.3,3.646,0.03747,0
1.4,3.379,0.03011,0
1.5,3.58,0.03011,0
1.6,3.111,0.02542,0
1.7,3.078,0.03814,0
1.8,2.777,0.03613,0
1.9,2.911,0.05754,0
2,3.044,0.0743,0
2.1,2.877,0.0703,0
2.2,3.044,0.1037,0
2.3,4.048,0.0843,0
2.4,3.68,0.0843,0
2.5,2.743,0.0977,0
2.6,2.777,0.1044,0
2.7,2.141,0.1074,0
2.8,2.007,0.1362,0
2.9,2.375,0.1261,0
3,2.308,0.0963,0
3.1,2.208,0.1251,0
3.2,2.409,0.1465,0
3.3,2.342,0.1459,0
3.4,2.442,0.1071,0
3.5,3.245,0.0455,0
3.6,3.78,0.04048,0
3.7,4.182,0.0709,0
3.8,3.947,0.05018,0
3.9,4.048,0.0465,0
4,4.115,0.04349,0
4.1,3.981,0.03814,0
4.2,4.182,0.05821,0
4.3,4.048,0.04617,0
4.4,4.349,0.04081,0
4.5,4.182,0.03747,0
4.6,4.449,0.04683,0
4.7,4.65,0.06557,0
4.8,4.583,0.0923,0
4.9,6.557,0.05419,0
5,4.115,0.06155,0
5.1,2.442,0.0749,0
5.2,1.639,0.0703,0
5.3,1.505,0.06627,0
5.4,1.273,0.06259,0
5.5,1.206,0.04888,0
5.6,1.139,0.0432,0
5.7,1.407,0.0529,0
5.8,1.139,0.04421,0
5.9,1.173,0.03485,0
6,0.805,0.02481,0
6.1,0.738,0.01377,0
6.2,0.805,0.01912,0
6.3,1.206,0.03418,0
6.4,1.273,0.04154,0
6.5,1.273,0.0275,0
6.6,1.139,0.04154,0
6.7,1.574,0.04756,0
6.8,1.407,0.03653,0
6.9,1.507,0.03285,0
7,1.641,0.03419,0
7.1,1.273,0.0275,0
7.2,1.373,0.02951,0
7.3,0.671,0.02015,0
7.4,0.739,0.01781,0
7.5,0.772,0.02683,0
7.6,0.738,0.02416,0
7.7,0.739,0.02616,0
7.8,0.906,0.03352,0
7.9,0.839,0.02717,0
8,1.006,0.03084,0
8.1,1.307,0.0382,0
8.2,1.574,0.03151,0
8.3,1.507,0.0576,0
8.4,2.644,0.086,0
8.5,1.474,0.06362,0
8.6,4.315,0.1589,0
8.7,9.33,0.2378,0
8.8,11.1,0.1686,0
8.9,13.01,0.1024,0
9,14.61,0.1355,0
9.1,13.74,0.2765,0
9.2,16.42,0.3056,0
9.3,14.81,0.1435,0
9.4,16.85,0.06729,0
9.5,14.07,0.1565,0
9.6,17.99,0.1341,0
9.7,17.62,0.05025,0
9.8,17.35,0.06128,0
9.9,15.28,0.1442,0
10,15.98,0.1682,0
10.1,19.99,0.06897,0
10.2,19.42,0.1181,0
10.3,19.46,0.2174,0
