z,qt,fs,u2
0.1,0,0.01,0
0.2,3.884,0.04754,0
0.3,3.549,0.05993,0
0.4,1.574,0.04219,0
0.5,1.105,0.03348,0
0.6,0.937,0.01272,0
0.7,0.937,0.01071,0
0.8,0.971,0.002678,0
0.9,1.005,0.002009,0
1,1.239,0.006361,0
1.1,1.172,0.006696,0
1.2,1.004,0.005357,0
1.3,1.004,0.006696,0
1.4,1.105,0.01038,0
1.5,1.339,0.01641,0
1.6,1.239,0.02411,0
1.7,1.205,0.03348,0
1.8,1.708,0.04353,0
1.9,1.875,0.04386,0
2,1.473,0.03013,0
2.1,1.406,0.0452,0
2.2,1.741,0.06094,0
2.3,1.708,0.0683,0
2.4,2.377,0.05759,0
2.5,2.477,0.1389,0
2.6,2.477,0.141,0
2.7,2.444,0.1296,0
2.8,2.41,0.1232,0
2.9,2.344,0.1272,0
3,2.477,0.1363,0
3.1,2.477,0.1309,0
3.2,2.31,0.1085,0
3.3,2.277,0.1091,0
3.4,2.109,0.1051,0
3.5,2.41,0.0974,0
3.6,3.013,0.0777,0
3.7,3.047,0.1085,0
3.8,3.315,0.0961,0
3.9,3.147,0.0911,0
4,2.98,0.0964,0
4.1,3.649,0.05891,0
4.2,3.951,0.05925,0
4.3,4.286,0.0636,0
4.4,4.821,0.04552,0
4.5,5.089,0.05958,0
4.6,5.357,0.05557,0
4.7,5.525,0.05824,0
4.8,4.821,0.0636,0
4.9,4.051,0.077,0
5,2.544,0.1242,0
5.1,3.013,0.1256,0
5.2,3.214,0.1587,0
5.3,3.415,0.1416,0
5.4,4.185,0.1209,0
5.5,4.252,0.1353,0
5.6,4.62,0.1671,0
5.7,7.63,0.2237,0
5.8,3.348,0.1225,0
5.9,1.406,0.04552,0
6,1.272,0.0492,0
6.1,1.439,0.04786,0
6.2,1.272,0.04451,0
6.3,1.272,0.04217,0
6.4,1.439,0.04552,0
6.5,1.975,0.071,0
6.6,2.075,0.0914,0
6.7,2.075,0.0924,0
6.8,2.075,0.1031,0
6.9,2.477,0.1276,0
7,2.477,0.1373,0
7.1,2.042,0.1152,0
7.2,1.506,0.0944,0
7.3,1.439,0.06761,0
7.4,1.171,0.05321,0
7.5,1.405,0.03948,0
7.6,3.08,0.0964,0
7.7,2.678,0.0951,0
7.8,2.544,0.075,0
7.9,4.554,0.05824,0
8,4.286,0.06593,0
8.1,5.089,0.0733,0
8.2,4.52,0.083,0
8.3,3.08,0.1219,0
8.4,3.147,0.0924,0
8.5,1.372,0.03144,0
8.6,1.271,0.02407,0
8.7,2.845,0.06627,0
8.8,4.888,0.1721,0
8.9,7.6,0.2043,0
9,13.5,0.3067,0
9.1,10.58,0.3188,0
9.2,8.04,0.288,0
9.3,9.78,0.3322,0
9.4,6.228,0.2672,0
9.5,5.089,0.1956,0
9.6,4.051,0.1353,0
9.7,3.817,0.1229,0
9.8,3.951,0.1302,0
9.9,4.018,0.1473,0
10,4.554,0.1714,0
10.1,5.022,0.2167,0
10.2,4.821,0.2237,0
