z,qt,fs,u2
0.1,0.034,0.000669,0
0.2,0.803,0.01971,0
0.3,2.708,0.0979,0
0.4,1.906,0.0896,0
0.5,1.171,0.0585,0
0.6,0.87,0.03643,0
0.7,0.702,0.02239,0
0.8,0.669,0.02139,0
0.9,0.702,0.02507,0
1,0.702,0.01839,0
1.1,0.87,0.02073,0
1.2,1.237,0.02073,0
1.3,0.97,0.0107,0
1.4,1.037,0.0117,0
1.5,1.137,0.00969,0
1.6,1.371,0.01371,0
1.7,1.572,0.01638,0
1.8,2.207,0.0458,0
1.9,2.14,0.02775,0
2,2.341,0.02708,0
2.1,2.474,0.03577,0
2.2,2.675,0.04446,0
2.3,2.14,0.0351,0
2.4,2.107,0.0712,0
2.5,1.739,0.0829,0
2.6,1.672,0.0769,0
2.7,1.572,0.1066,0
2.8,1.471,0.1043,0
2.9,1.539,0.1043,0
3,1.672,0.1103,0
3.1,1.839,0.119,0
3.2,1.973,0.1224,0
3.3,1.772,0.0946,0
3.4,1.539,0.0933,0
3.5,1.839,0.0722,0
3.6,2.174,0.0949,0
3.7,2.809,0.0893,0
3.8,2.408,0.108,0
3.9,2.742,0.0749,0
4,4.079,0.0772,0
4.1,4.882,0.1133,0
4.2,3.678,0.05249,0
4.3,3.678,0.03845,0
4.4,3.143,0.04513,0
4.5,2.742,0.0458,0
4.6,2.475,0.06118,0
4.7,2.408,0.0766,0
4.8,2.542,0.0732,0
4.9,2.742,0.04914,0
5,2.809,0.0729,0
5.1,2.675,0.098,0
5.2,2.241,0.1183,0
5.3,2.207,0.0842,0
5.4,3.01,0.0819,0
5.5,2.742,0.1,0
5.6,2.809,0.1063,0
5.7,2.675,0.1183,0
5.8,3.277,0.0916,0
5.9,3.478,0.0575,0
6,4.28,0.0759,0
6.1,2.675,0.1304,0
6.2,1.271,0.06051,0
6.3,1.438,0.06954,0
6.4,1.505,0.0799,0
6.5,1.739,0.0923,0
6.6,2.341,0.1324,0
6.7,2.475,0.1357,0
6.8,2.475,0.1304,0
6.9,2.408,0.123,0
7,2.341,0.121,0
7.1,2.475,0.117,0
7.2,2.542,0.1123,0
7.3,2.341,0.1053,0
7.4,2.174,0.11,0
7.5,1.739,0.0959,0
7.6,1.438,0.0746,0
7.7,1.071,0.04849,0
7.8,1.204,0.04781,0
7.9,1.171,0.04914,0
8,1.405,0.04981,0
8.1,1.739,0.06888,0
8.2,1.739,0.05985,0
8.3,1.472,0.06654,0
8.4,1.906,0.0779,0
8.5,1.873,0.0863,0
8.6,1.505,0.05985,0
8.7,1.305,0.03846,0
8.8,1.606,0.06119,0
8.9,1.271,0.03512,0
9,1.906,0.04849,0
9.1,1.672,0.02075,0
9.2,1.372,0.01339,0
9.3,2.274,0.04648,0
9.4,2.809,0.03311,0
9.5,3.21,0.0849,0
9.6,3.277,0.1224,0
9.7,2.943,0.0819,0
9.8,3.143,0.1297,0
9.9,2.341,0.0729,0
10,2.475,0.04916,0
10.1,2.809,0.0859,0
10.2,3.01,0.12,0
10.3,3.143,0.1926,0
10.4,2.842,0.1344,0
10.5,4.146,0.223,0
10.6,2.475,0.1661,0
10.7,1.84,0.1331,0
10.8,4.28,0.2494,0
10.9,5.082,0.2601,0
11,3.244,0.1491,0
11.1,1.94,0.04715,0
11.2,2.007,0.02275,0
11.3,4.547,0.1284,0
