z,qt,fs,u2
10.8,1.63,0.0409,0
10.85,2.44,0.0039,0
10.9,2.7,0.0427,0
10.95,1,0.0915,0
11,4.24,0.2354,0
11.05,5.86,0.3119,0
11.1,5.17,0.3645,0
11.15,5.75,0.3281,0
11.2,4.91,0.2354,0
11.25,3.33,0.1017,0
11.3,2.46,0.0753,0
11.35,3.28,0.1003,0
11.4,3.86,0.169,0
11.45,4.96,0.1859,0
11.5,4.77,0.1443,0
11.55,3.47,0.1056,0
11.6,3.31,0.1179,0
11.65,4.69,0.244,0
11.7,7.33,0.393,0
11.75,8.05,0.4188,0
11.8,6.14,0.3028,0
11.85,5.85,0.2564,0
11.9,5.8,0.2572,0
11.95,7.18,0.3319,0
12,8.58,0.4341,0
12.05,7.28,0.4463,0
12.1,7.21,0.3525,0
12.15,7,0.2515,0
12.2,7.06,0.228,0
12.25,5.37,0.32,0
12.3,7.52,0.3853,0
12.35,7.21,0.3394,0
12.4,6.29,0.312,0
12.45,6.38,0.3126,0
12.5,6.63,0.363,0
12.55,8.32,0.449,0
12.6,9.01,0.508,0
12.65,9.11,0.4752,0
12.7,8.18,0.4767,0
12.75,8.56,0.4373,0
12.8,8.47,0.4075,0
12.85,7.86,0.3678,0
12.9,7.16,0.3167,0
12.95,5.89,0.3327,0
13,9.76,0.3998,0
13.05,10.17,0.4346,0
13.1,10.48,0.4286,0
13.15,10.85,0.3866,0
13.2,10.64,0.3927,0
13.25,10.72,0.4411,0
13.3,9.19,0.4505,0
13.35,8.88,0.3841,0
13.4,9.84,0.375,0
13.45,13.2,0.4329,0
13.5,13.64,0.5183,0
13.55,13.61,0.5332,0
13.6,12.46,0.4938,0
13.65,11.08,0.511,0
13.7,10.26,0.4828,0
13.75,10.21,0.4818,0
13.8,13.16,0.4981,0
13.85,18.25,0.4737,0
13.9,18.52,0.4295,0
13.95,14.68,0.28,0
14,13.04,0.2663,0
14.05,12.36,0.2988,0
14.1,12.28,0.3242,0
14.15,11.44,0.3751,0
14.2,12.19,0.4013,0
14.25,13.49,0.3174,0
14.3,14.02,0.2577,0
14.35,11.03,0.289,0
14.4,6.32,0.1987,0
14.45,3.29,0.1027,0
14.5,2.69,0.1029,0
14.55,3.42,0.563,0
14.6,12.98,0.5451,0
14.65,12.5,0.53,0
14.7,12.8,0.4889,0
14.75,12.05,0.4549,0
14.8,12.53,0.5021,0
14.85,15.17,0.5493,0
14.9,13.73,0.6495,0
14.95,6.83,0.4742,0
15,17.68,0.4298,0
15.05,15.84,0.4701,0
15.1,7.55,0.3732,0
15.15,3.86,0.2568,0
15.2,3.26,0.1972,0
15.25,4.44,0.2321,0
15.3,5.01,0.1755,0
15.35,2.85,0.0974,0
15.4,2.09,0.1784,0
15.45,4.74,0.4377,0
15.5,15.65,0.5755,0
15.55,13.61,0.6094,0
15.6,7.35,0.3498,0
15.65,4.32,0.3312,0
15.7,12.04,0.332,0
15.75,12.89,0.3624,0
15.8,15.29,0.2856,0
