ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER
6790,-122.0631966,39.56851862,-122.062051,39.56851911,-122.0626238,39.56851886,0.098193,1097,101.6,317,16,604.1
6805,-122.0497182,39.56890871,-122.0486639,39.56890871,-122.049191,39.56890871,0.090375,1097,101.6,317,31,247.4
6811,-122.0463028,39.56893539,-122.0463028,39.56941509,-122.0463028,39.56917524,0.053339,1097,101.6,317,37,29.7
6845,-122.0923653,39.53997394,-122.0933313,39.53997622,-122.0928483,39.53997508,0.082837,1099,101.6,319,19,41.5
6849,-122.0886964,39.54059351,-122.0887103,39.53971202,-122.0887033,39.54015277,0.098024,1100,101.6,320,1,48.9
6854,-122.0887532,39.53623503,-122.0887542,39.5354025,-122.0887537,39.53581876,0.092573,1100,101.6,320,6,530
6873,-122.0898515,39.52167827,-122.0909601,39.52168277,-122.0904058,39.52168052,0.095085,1100,101.6,320,25,142.9
6902,-122.062468,39.51824523,-122.0634286,39.51825836,-122.0629483,39.5182518,0.08241,1103,101.6,323,3,206.5
6915,-122.0310108,39.45779418,-122.030858,39.45762302,-122.0309344,39.4577086,0.023115,1105,101.6,325,1,11.6
6948,-122.1921652,39.5183922,-122.1921511,39.51769025,-122.1921582,39.51804123,0.078063,1106,101.6,326,10,116.9
7018,-122.1927356,39.46659742,-122.1927266,39.46574735,-122.1927311,39.46617238,0.094527,1106,101.6,326,80,47.2
7036,-121.6913698,39.41509236,-121.6924826,39.41508892,-121.6919262,39.41509064,0.095589,1108,101.6,328,4,335.3
7039,-121.694708,39.41508204,-121.6958207,39.41507859,-121.6952644,39.41508031,0.095589,1108,101.6,328,7,576
7088,-121.9664843,39.39743472,-121.966503,39.39810908,-121.9664936,39.3977719,0.075002,1114,101.6,334,1,37.4
7115,-121.9666744,39.418088,-121.9666716,39.41884416,-121.966673,39.41846608,0.084081,1114,101.6,334,28,1399.4
7185,-121.6059672,39.15797579,-121.6052665,39.15861552,-121.6056168,39.15829566,0.093326,1116,101.6,336,3,233.3
7207,-121.5980198,39.16978684,-121.5969663,39.16981124,-121.597493,39.16979904,0.090862,1116,101.6,336,25,409.8
7217,-121.5901392,39.17049686,-121.5900726,39.17095184,-121.5901059,39.17072435,0.050917,1116,101.6,336,35,95.7
7225,-121.5907585,39.17511034,-121.5910025,39.17597505,-121.5908805,39.1755427,0.098424,1116,101.6,336,43,147.4
7248,-121.5939917,39.18766239,-121.5939695,39.18766643,-121.5939806,39.18766441,0.001965,1116,101.6,336,66,1
7250,-121.5941511,39.18836964,-121.5943328,39.18907285,-121.594242,39.18872125,0.079745,1116,101.6,336,68,119.4
7261,-121.5947552,39.1940271,-121.5947772,39.19470237,-121.5947662,39.19436474,0.075111,1116,101.6,336,79,187.4
7269,-121.5948578,39.19960308,-121.5948558,39.20038052,-121.5948568,39.1999918,0.086447,1117,101.6,337,4,253.4
7303,-121.5998269,39.21598978,-121.6000584,39.21647812,-121.5999426,39.21623395,0.057846,1117,101.6,337,38,34.2
7349,-121.5998366,39.24365785,-121.5997789,39.24442254,-121.5998077,39.2440402,0.085175,1117,101.6,337,84,891.1
7369,-121.5984264,39.2587399,-121.5982971,39.25944629,-121.5983618,39.25909309,0.079332,1117,101.6,337,104,2567.4
7389,-121.5958565,39.2732915,-121.5958346,39.27400895,-121.5958455,39.27365022,0.0798,1117,101.6,337,124,1691.9
7406,-121.594684,39.28521188,-121.594652,39.28577669,-121.594668,39.28549428,0.062864,1117,101.6,337,141,372.5
7414,-121.5968857,39.209095,-121.5967026,39.20914841,-121.5967941,39.2091217,0.016857,1118,101.6,338,3,8.4
7504,-122.0791397,39.101017,-122.0791702,39.10099411,-122.079155,39.10100555,0.003662,1121,101.6,341,3,1.8
7552,-122.1122211,39.10107608,-122.1131542,39.10109072,-122.1126876,39.1010834,0.080539,1121,101.6,341,51,231.1
7559,-122.1191559,39.10113211,-122.1202905,39.10112353,-122.1197232,39.10112782,0.097907,1121,101.6,341,58,839.5
7572,-122.1329609,39.10126311,-122.1334627,39.1015673,-122.1332118,39.1014152,0.054948,1121,101.6,341,71,82.5
7577,-121.7815933,39.1501503,-121.7815827,39.15082463,-121.781588,39.15048747,0.074988,1123,101.6,343,2,37.4
7598,-121.78803,39.16099978,-121.7883896,39.16177426,-121.7882098,39.16138702,0.091529,1123,101.6,343,23,502.7
7621,-121.6297705,39.1707814,-121.6308974,39.17076295,-121.630334,39.17077217,0.097163,1124,101.6,344,7,581.5
7625,-121.6342908,39.17072917,-121.6354305,39.17073229,-121.6348606,39.17073073,0.09825,1124,101.6,344,11,625.9
7692,-122.7134122,38.38987426,-122.7144928,38.3898657,-122.7139525,38.38986998,0.094182,1131,101.6,351,1,47.2
7698,-122.7198957,38.38982286,-122.7209763,38.38981429,-122.720436,38.38981858,0.094183,1131,101.6,351,7,251.5
7769,-122.2994589,38.32156909,-122.2992108,38.32076794,-122.2993348,38.32116852,0.091674,1136,101.6,356,3,176.7
7845,-122.2809547,38.25104159,-122.2810772,38.25050123,-122.2810159,38.25077141,0.061031,1139,101.6,359,19,717.8
7864,-122.2846069,38.24048614,-122.2845688,38.23984909,-122.2845879,38.24016762,0.070916,1139,101.6,359,38,35.4
7904,-122.5626221,37.97646084,-122.5629875,37.9765578,-122.5628048,37.97650932,0.033792,1141,101.6,361,37,16.9
7925,-122.5193151,37.95398705,-122.5189765,37.95394977,-122.5191458,37.95396841,0.029977,1142,101.6,362,21,334.5
7931,-122.5175488,37.95344711,-122.5173808,37.95346677,-122.5174648,37.95345694,0.014893,1142,101.6,362,27,152.6
7962,-122.0404893,38.25972101,-122.0404963,38.2603511,-122.0404928,38.26003606,0.070066,1143,101.6,363,27,266.9
7969,-122.0386514,38.2632102,-122.0378067,38.26358472,-122.038229,38.26339746,0.084696,1143,101.6,363,34,228
7972,-122.036284,38.26424872,-122.0361165,38.26430715,-122.0362002,38.26427794,0.016007,1143,101.6,363,37,186.4
7983,-122.0318456,38.26547199,-122.0310754,38.26545998,-122.0314605,38.26546598,0.067259,1143,101.6,363,48,227.9
8039,-122.1697153,38.13652461,-122.1696925,38.13670149,-122.1697039,38.13661305,0.01977,1145,101.6,365,40,538.9
8040,-122.1696925,38.13670149,-122.1697139,38.13679669,-122.1697032,38.13674909,0.010751,1145,101.6,365,41,523.7
8046,-122.170503,38.13824203,-122.1705189,38.13846968,-122.1705109,38.13835585,0.025352,1145,101.6,365,47,329.9
8051,-122.1707511,38.13971182,-122.1706328,38.14013675,-122.1706919,38.13992428,0.048371,1145,101.6,365,52,153
8054,-122.1706132,38.14058931,-122.1708492,38.14099682,-122.1707312,38.14079306,0.049791,1145,101.6,365,55,53.1
