lon	lat	depth_m
-118.582981	34.448304	1577.04
-118.58298	34.448305	1584.66
-118.582979	34.448305	1592.28
-118.582977	34.448306	1599.9
-118.582976	34.448307	1607.52
-118.582975	34.448307	1615.14
-118.582975	34.448308	1622.76
-118.582974	34.448309	1630.38
-118.582973	34.44831	1638.0
-118.582973	34.44831	1645.62
-118.582972	34.448311	1653.24
-118.582972	34.448312	1660.86
-118.582972	34.448312	1668.48
-118.582971	34.448313	1676.1
-118.582971	34.448313	1683.72
-118.582971	34.448314	1691.34
-118.582972	34.448314	1698.96
-118.582972	34.448314	1706.58
-118.582972	34.448314	1714.2
-118.582973	34.448314	1721.82
-118.582974	34.448314	1729.44
-118.582974	34.448315	1737.06
-118.582975	34.448315	1744.68
-118.582976	34.448315	1752.3
-118.582977	34.448316	1759.92
-118.582978	34.448316	1767.54
-118.582979	34.448316	1775.16
-118.58298	34.448316	1782.78
-118.582981	34.448315	1790.4
-118.582982	34.448315	1798.02
-118.582983	34.448315	1805.64
-118.582984	34.448315	1813.26
-118.582985	34.448315	1820.88
-118.582986	34.448315	1828.5
-118.582987	34.448315	1836.12
-118.582988	34.448315	1843.74
-118.58299	34.448315	1851.36
-118.582991	34.448315	1858.98
-118.582993	34.448315	1866.6
-118.582994	34.448315	1874.22
-118.582996	34.448315	1881.84
-118.582997	34.448315	1889.46
-118.582999	34.448314	1897.08
-118.583001	34.448314	1904.7
-118.583003	34.448315	1912.32
-118.583005	34.448315	1919.94
-118.583006	34.448316	1927.56
-118.583008	34.448316	1935.18
-118.58301	34.448317	1942.8
-118.583012	34.448318	1950.42
-118.583014	34.448319	1958.04
-118.583015	34.448319	1965.66
-118.583017	34.44832	1973.28
-118.583019	34.448321	1980.9
-118.583021	34.448323	1988.52
-118.583023	34.448324	1996.14
-118.583025	34.448326	2003.76
-118.583027	34.448328	2011.38
-118.583029	34.44833	2019.0
-118.583031	34.448332	2026.62
-118.583033	34.448334	2034.24
-118.583035	34.448335	2041.86
-118.583037	34.448337	2049.48
-118.583038	34.448338	2057.1
-118.58304	34.448339	2064.72
-118.583042	34.448341	2072.34
-118.583044	34.448342	2079.96
-118.583046	34.448343	2087.58
-118.583048	34.448345	2095.2
-118.58305	34.448347	2102.82
-118.583052	34.448349	2110.44
-118.583054	34.44835	2118.06
-118.583055	34.448352	2125.68
-118.583057	34.448354	2133.3
-118.583059	34.448355	2140.92
-118.58306	34.448357	2148.54
-118.583061	34.448358	2156.16
-118.583063	34.448359	2163.78
-118.583065	34.44836	2171.4
-118.583066	34.448362	2179.02
-118.583068	34.448363	2186.64
-118.583069	34.448364	2194.26
-118.583071	34.448365	2201.88
-118.583073	34.448365	2209.5
-118.583074	34.448366	2217.12
-118.583075	34.448367	2224.74
-118.583077	34.448368	2232.36
-118.583078	34.448369	2239.98
-118.58308	34.44837	2247.6
-118.583081	34.448371	2255.22
-118.583083	34.448372	2262.84
-118.583084	34.448374	2270.46
-118.583086	34.448375	2278.08
-118.583087	34.448376	2285.7
-118.583089	34.448377	2293.32
