EventID,EventName,Magnitude,AnnualRate,Rake,ParentID,Dip,UpperDepth,LowerDepth,DipDir,seg_id_crossed_primary,prob_crossing_for_seg_primary,norm_dist_for_seg_primary,seg_id_crossed_secondary,prob_crossing_for_seg_secondary,norm_dist_for_seg_secondary,seg_id_crossed,prob_crossing,norm_dist
397,397,6.45,0.00289,3.9,623,84.0,0.0,14.0,254.1,"[165284, 165283, 165282, 165281, 165280, 165279, 165278, 165294, 165293, 165292, 165291, 165290, 165289, 165288, 165287, 165286, 165285]","[0.1392, 0.0928, 0.0928, 0.0321, 0.2343, 0.2343, 0.2343, 0.0653, 0.0519, 0.0519, 0.0574, 0.0574, 0.0375, 0.0375, 0.0818, 0.0818, 0.0818]","[0.3777, 0.3717, 0.3676, 0.363, 0.3599, 0.3591, 0.3567, 0.4165, 0.4133, 0.4101, 0.4054, 0.4008, 0.3975, 0.3943, 0.3888, 0.3832, 0.3777]",[],[],[],"[165284, 165283, 165282, 165281, 165280, 165279, 165278, 165294, 165293, 165292, 165291, 165290, 165289, 165288, 165287, 165286, 165285]","[0.1392, 0.0928, 0.0928, 0.0321, 0.2343, 0.2343, 0.2343, 0.0653, 0.0519, 0.0519, 0.0574, 0.0574, 0.0375, 0.0375, 0.0818, 0.0818, 0.0818]","[0.3777, 0.3717, 0.3676, 0.363, 0.3599, 0.3591, 0.3567, 0.4165, 0.4133, 0.4101, 0.4054, 0.4008, 0.3975, 0.3943, 0.3888, 0.3832, 0.3777]"
398,398,6.95,0.00105,3.9,623,84.0,0.0,14.0,254.1,"[165284, 165283, 165282, 165281, 165280, 165279, 165278, 165294, 165293, 165292, 165291, 165290, 165289, 165288, 165287, 165286, 165285]","[0.1392, 0.0928, 0.0928, 0.0321, 0.2343, 0.2343, 0.2343, 0.0653, 0.0519, 0.0519, 0.0574, 0.0574, 0.0375, 0.0375, 0.0818, 0.0818, 0.0818]","[0.2679, 0.2704, 0.2722, 0.2742, 0.2756, 0.2759, 0.2769, 0.2511, 0.2525, 0.2539, 0.2559, 0.2579, 0.2593, 0.2607, 0.2631, 0.2655, 0.2679]",[],[],[],"[165284, 165283, 165282, 165281, 165280, 165279, 165278, 165294, 165293, 165292, 165291, 165290, 165289, 165288, 165287, 165286, 165285]","[0.1392, 0.0928, 0.0928, 0.0321, 0.2343, 0.2343, 0.2343, 0.0653, 0.0519, 0.0519, 0.0574, 0.0574, 0.0375, 0.0375, 0.0818, 0.0818, 0.0818]","[0.2679, 0.2704, 0.2722, 0.2742, 0.2756, 0.2759, 0.2769, 0.2511, 0.2525, 0.2539, 0.2559, 0.2579, 0.2593, 0.2607, 0.2631, 0.2655, 0.2679]"
693,693,6.45,0.000651,21.7,235,88.0,0.0,15.0,48.8,[],[],[],"[201738, 201736, 201737, 201735, 201734, 201733, 201732, 201731, 201730]","[0.3219, 0.2528, 0.2529, 0.1828, 0.1806, 0.1806, 0.2731, 0.2731, 0.2205]","[0.1611, 0.1596, 0.1603, 0.1564, 0.154, 0.1515, 0.1479, 0.1443, 0.1417]","[201738, 201736, 201737, 201735, 201734, 201733, 201732, 201731, 201730]","[0.3219, 0.2528, 0.2529, 0.1828, 0.1806, 0.1806, 0.2731, 0.2731, 0.2205]","[0.1611, 0.1596, 0.1603, 0.1564, 0.154, 0.1515, 0.1479, 0.1443, 0.1417]"
694,694,6.95,8.83e-05,21.7,235,88.0,0.0,15.0,48.8,[],[],[],"[201738, 201736, 201737, 201735, 201734, 201733, 201732, 201731, 201730]","[0.3219, 0.2528, 0.2529, 0.1828, 0.1806, 0.1806, 0.2731, 0.2731, 0.2205]","[0.0597, 0.0592, 0.0594, 0.058, 0.0571, 0.0562, 0.0548, 0.0535, 0.0525]","[201738, 201736, 201737, 201735, 201734, 201733, 201732, 201731, 201730]","[0.3219, 0.2528, 0.2529, 0.1828, 0.1806, 0.1806, 0.2731, 0.2731, 0.2205]","[0.0597, 0.0592, 0.0594, 0.058, 0.0571, 0.0562, 0.0548, 0.0535, 0.0525]"
695,695,7.45,0.000235,21.7,235,88.0,0.0,15.0,48.8,[],[],[],"[201738, 201736, 201737, 201735, 201734, 201733, 201732, 201731, 201730]","[0.3219, 0.2528, 0.2529, 0.1828, 0.1806, 0.1806, 0.2731, 0.2731, 0.2205]","[0.0597, 0.0592, 0.0594, 0.058, 0.0571, 0.0562, 0.0548, 0.0535, 0.0525]","[201738, 201736, 201737, 201735, 201734, 201733, 201732, 201731, 201730]","[0.3219, 0.2528, 0.2529, 0.1828, 0.1806, 0.1806, 0.2731, 0.2731, 0.2205]","[0.0597, 0.0592, 0.0594, 0.058, 0.0571, 0.0562, 0.0548, 0.0535, 0.0525]"
1129,1129,6.85,0.000435,67.7,227,55.0,0.0,16.3,9.0,"[79280, 79281, 79282, 79283, 79284, 79285, 79286, 79287, 79288, 79289, 79290]","[0.4924, 0.0392, 0.0209, 0.1818, 0.1818, 0.003, 0.1285, 0.0916, 0.0916, 0.1173, 0.1173]","[0.1367, 0.1382, 0.1389, 0.1396, 0.1403, 0.1424, 0.1439, 0.1449, 0.146, 0.1461, 0.1469]",[],[],[],"[79280, 79281, 79282, 79283, 79284, 79285, 79286, 79287, 79288, 79289, 79290]","[0.4924, 0.0392, 0.0209, 0.1818, 0.1818, 0.003, 0.1285, 0.0916, 0.0916, 0.1173, 0.1173]","[0.1367, 0.1382, 0.1389, 0.1396, 0.1403, 0.1424, 0.1439, 0.1449, 0.146, 0.1461, 0.1469]"
1167,1167,6.25,5.93e-05,2.8,664,75.0,0.0,11.1,51.7,"[176013, 176014, 176015, 176016]","[0.3195, 0.4281, 0.4281, 0.3197]","[0.3489, 0.3506, 0.352, 0.3523]",[],[],[],"[176013, 176014, 176015, 176016]","[0.3195, 0.4281, 0.4281, 0.3197]","[0.3489, 0.3506, 0.352, 0.3523]"
1168,1168,6.75,3.08e-05,2.8,664,75.0,0.0,11.1,51.7,"[176013, 176014, 176015, 176016]","[0.3195, 0.4281, 0.4281, 0.3197]","[0.0909, 0.0913, 0.0917, 0.0918]",[],[],[],"[176013, 176014, 176015, 176016]","[0.3195, 0.4281, 0.4281, 0.3197]","[0.0909, 0.0913, 0.0917, 0.0918]"
