,5th_moment_ratio,16th_moment_ratio,50th_moment_ratio,84th_moment_ratio,95th_moment_ratio,mean_moment_ratio
component_1,0.0,3.96e-05,0.0003614,0.002027,0.005071,0.00118
component_2,0.0,9.362e-05,0.0003367,0.005175,0.01711,0.003447
