,5th_elbow,16th_elbow,50th_elbow,84th_elbow,95th_elbow,mean_elbow,elbow_worst_case_joint,5th_tee,16th_tee,50th_tee,84th_tee,95th_tee,mean_tee,tee_worst_case_joint
component_1,0.0,0.0,9.287e-06,0.0001398,0.0001567,7.809e-05,jointA,0.0,0.0,4.779e-05,0.0006307,0.0006914,0.0003804,jointA
component_2,0.0,0.0,4.635e-09,6.206e-08,9.314e-08,3.695e-08,jointA,0.0,0.0,1.261e-07,2.755e-06,4.139e-06,1.803e-06,jointA
